Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: CVLX Ballarat
Report Date: 10/01/2024
Comparison Date: 06/09/2023
Total Yarding: 238 (+98)
Commentary
"Agents penned 238 cattle of mixed quality with a large portion of the yarding secondary plainer types. All of the usual buying group attended and operated in a strong market across most weights and graded. Young cattle sold 15c to 30 stronger. Grown steers sold to 20c dearer and heifers sold mostly firm. Cows sold well to gain 15 to 20c/kg. Heavy bulls sold to 15c stronger in places.

Young cattle to the trade sold from 220c to 270c for the better quality and restockers and feeders paid from 212c to 328c and the plainer types made from 168c to 214c/kg. Grown Steers made from 234c to 298c, grown heifers sold from 150c to 232c/kg. Manufacturing Beef steers made from 220c to 244c, and the dairy steers sold from 120c to 244c/kg

Heavy cows sold from 202c to 250c/kg. Medium weight cows sold from 172c to 182c and light weight cows made from 50c to 140c/kg.  Heavy bulls sold from 180c to 232c and the lighter and young bulls from 140c to 240c/kg.

Market Reporter, Sheona Lamb"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,0-200,Feeder,D,2,1,NQ,200.0,200.0,200,NQ,384.6,384.6,384.6,400.0,400.0,400
Yearling Steer,200-280,Feeder,C,3,3,NQ,262.0,262.0,262,NQ,503.8,503.8,503.8,733.6,733.6,733.5999348958334
Yearling Steer,280-330,Feeder,C,2,4,NQ,290.0,290.0,290,NQ,557.7,557.7,557.7,826.5,826.5,826.5
Yearling Steer,280-330,Processor,D,2,2,NQ,200.0,204.0,202,NQ,384.6,392.3,388.5,600.0,652.8,626.3999938964844
Yearling Steer,330-400,Feeder,C,3,5,NQ,258.0,290.0,277.6,NQ,486.8,547.2,523.8,980.4,1116.5,1068.7800048828126
Yearling Steer,330-400,Processor,C,3,3,NQ,272.0,272.0,272,NQ,523.1,523.1,523.1,1047.2,1047.2,1047.199951171875
Yearling Steer,400+,Feeder,C,3,1,NQ,262.0,262.0,262,NQ,494.3,494.3,494.3,1139.7,1139.7,1139.699951171875
Yearling Steer,400+,Processor,C,3,5,1,260.0,272.0,264.8,-12.7,490.6,513.2,499.6,1066.0,1319.2,1195.87998046875
Yearling Heifer,0-200,Feeder,D,2,1,NQ,185.0,185.0,185,NQ,355.8,355.8,355.8,370.0,370.0,370
Yearling Heifer,200-280,Feeder,D,2,1,-1,140.0,140.0,140,-12.0,269.2,269.2,269.2,336.0,336.0,336
Yearling Heifer,200-280,Feeder,E,2,1,NQ,114.0,114.0,114,NQ,228.0,228.0,228.0,250.8,250.8,250.8000030517578
