Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Moss Vale
Report Date: 22/01/2025
Comparison Date: 15/01/2025
Total Yarding: 1562 (+35)
Commentary
"Numbers remained similar,  for a total yarding of 1547 fair, to outstanding quality cattle. Young cattle suiting the restockers were well supplied, along with a few good pens of feeder steers, and there were some outstanding runs of high yielding yearlings to suit the trade. There were a few good pens of heavy grown cattle, and there were 210 cows. All the usual buyers were operating, selling to a cheaper market.

Prime yearlings were up to 12c cheaper, making from 285c to 436c/kg. Feeder steers slipped 10c overall, despite topping at 418c, to average 348c/kg. Heifers to feed were slightly cheaper, ranging from 285c to 358c, to average 298c/kg.  There was still strong competition for well-bred weaners returning to the paddock, with the steers selling from 296c to  438c, and the heifers sold from 272c to 440c/kg.

Heavy grown steers were back 10c, making from 290c to 346c, and grown heifers, price unchanged, made from 275c to 344c/kg. Lighter and leaner cows were firm to few cents better, to average 250c, and heavy 3 and 4 score cows slipped 8c, selling from 265c to 313c/kg. There were 60 bulls to process, ranging from 240c to 320c/kg.
David Kent Market Reporter"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Vealer Steer,200-280,Restocker,B,2,10,NQ,383.0,415.0,395.8,NQ,660.3,715.5,682.4,1015.0,1079.0,1040.57001953125
Vealer Steer,200-280,Restocker,C,2,80,49,350.0,438.0,402.2625,-17.2,625.0,782.1,716.0,820.0,1198.4,1009.9031204223633
Vealer Steer,200-280,Restocker,D,2,5,NQ,304.0,304.0,304,NQ,573.6,573.6,573.6,790.4,790.4,790.4
Vealer Steer,280-330,Processor,B,3,1,NQ,408.0,408.0,408,NQ,703.4,703.4,703.4,1285.2,1285.2,1285.199951171875
Vealer Steer,280-330,Processor,C,3,1,NQ,344.0,344.0,344,NQ,614.3,614.3,614.3,1066.4,1066.4,1066.4000244140625
Vealer Steer,280-330,Restocker,B,2,10,NQ,418.0,428.0,423,NQ,708.5,737.9,723.2,1254.0,1348.2,1301.1
Vealer Steer,280-330,Restocker,C,2,71,49,330.0,418.0,387.38028169014086,-12.9,600.0,746.4,692.4,973.5,1216.9,1153.4605798855634
Vealer Steer,280-330,Restocker,D,2,2,NQ,296.0,296.0,296,NQ,548.1,548.1,548.1,873.2,873.2,873.2000122070312
Vealer Heifer,0-200,Restocker,C,2,1,NQ,280.0,280.0,280,NQ,528.3,528.3,528.3,490.0,490.0,490
Vealer Heifer,0-200,Restocker,D,2,2,NQ,220.0,220.0,220,NQ,423.1,423.1,423.1,396.0,396.0,396
Vealer Heifer,200-280,Restocker,B,2,18,NQ,344.0,436.0,387.22222222222223,NQ,614.3,726.7,668.4,840.0,1220.8,1024.044460720486
Vealer Heifer,200-280,Restocker,C,2,82,15,272.0,352.0,319.5243902439024,-19.4,513.2,640.0,586.3,667.8,877.3,793.0914619259718
Vealer Heifer,200-280,Restocker,D,2,8,NQ,258.0,270.0,267,NQ,496.2,509.4,506.1,567.6,742.5,698.7749938964844
Vealer Heifer,280-330,Feeder,C,2,2,-9,322.0,322.0,322,2.4,585.5,585.5,585.5,966.0,966.0,966
Vealer Heifer,280-330,Processor,C,3,3,-2,290.0,340.0,323.3333333333333,-19.9,527.3,607.1,580.5,899.0,1071.0,1013.6666666666666
Vealer Heifer,280-330,Restocker,B,2,12,NQ,346.0,440.0,361.6666666666667,NQ,617.9,733.3,637.1,986.1,1342.0,1045.4166666666667
Vealer Heifer,280-330,Restocker,C,2,43,17,294.0,322.0,310.1162790697674,-17.4,544.4,596.3,571.3,837.9,998.2,913.0720938749091
Grown Steer,400-500,Dairy,D,2,9,NQ,260.0,260.0,260,NQ,509.8,509.8,509.8,1235.0,1235.0,1235
Grown Steer,500-600,Feeder,C,2,8,-4,310.0,320.0,312.5,-19.2,563.6,581.8,573.4,1612.0,1712.0,1660.25
Grown Steer,500-600,Processor,C,3,10,1,325.0,346.0,335.7,3.7,590.9,629.6,614.9,1699.5,2006.8,1852.560009765625
Grown Steer,600-750,Feeder,C,2,3,NQ,290.0,290.0,290,NQ,537.0,537.0,537.0,1798.0,1798.0,1798
Grown Steer,600-750,Processor,C,3,33,-7,305.0,345.0,326.24242424242425,-16.1,564.8,627.3,598.3,1891.0,2447.6,2214.6969696969695
Grown Steer,600-750,Processor,C,4,1,NQ,315.0,315.0,315,NQ,572.7,572.7,572.7,2220.8,2220.8,2220.75
Grown Steer,600-750,Processor,D,3,6,NQ,290.0,305.0,300,NQ,517.9,575.5,556.3,1812.5,2165.5,2047.8333333333333
Grown Steer,750+,Processor,C,3,3,2,322.0,330.0,324.6666666666667,-23.3,585.5,600.0,590.3,2431.1,2491.5,2451.2333984375
