Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: TRLX Tamworth
Report Date: 20/05/2024
Comparison Date: 13/05/2024
Total Yarding: 2250 (+775)
Commentary
"With the first frost of the season in the forecast the numbers increased sharply. It was a very mixed quality penning with secondary and plain quality cattle in greater numbers. Well bred good quality cattle were also well supplied through all categories. The condition of the offering also varied greatly with some very good yearlings, heavy grown steers and cows presented. There was a similar buying group in attendance.

Demand was still high despite the increased supply with restocker steer weaners selling to a slightly dearer trend. The heifer portion however were cheaper. Medium and heavy weight yearling steers to restock and feed saw little but quality related price change on a solid market trend. The plain and secondary quality young cattle attracted limited competition throughout. The well bred well presented yearling heifers also experienced little change for the most part however there was an odd slightly dearer sale.

Well finished heavy weight grown steers carrying 2 or more teeth sold to a dearer trend with a limited supply and an improvement in quality contributing. This trend carrying into the grown heifers to process. Feeder heifers with 2 or more teeth were keenly sought. Well finished heavy weight cows sold to a slightly cheaper trend. The balance selling on a mostly firm market trend."
Yearling Heifer,330-400,Feeder,C,2,105,42,280.0,346.0,327.0761904761905,-5.0,538.5,665.4,627.7,1057.5,1274.3,1181.797619047619
Yearling Heifer,330-400,Feeder,C,3,13,NQ,317.0,339.0,335.84615384615387,NQ,603.8,639.6,634.6,1077.8,1305.2,1280.8038799579326
Yearling Heifer,330-400,Processor,C,3,4,-3,300.0,352.0,320.5,-13.8,576.9,651.9,604.4,1080.0,1302.4,1194.1000061035156
Yearling Heifer,330-400,Restocker,C,2,26,NQ,249.0,250.0,249.73076923076923,NQ,478.8,480.8,480.3,875.0,900.0,882.6846266526443
Yearling Heifer,400+,Feeder,C,2,26,25,278.0,330.0,310.2307692307692,40.0,534.6,634.6,596.6,1195.4,1376.0,1308.607684795673
Yearling Heifer,400+,Feeder,C,3,30,NQ,290.0,337.0,321.76666666666665,NQ,557.7,635.8,613.3,1247.0,1685.0,1413.9200032552083
Yearling Heifer,400+,Processor,C,3,27,NQ,318.0,337.0,335.9259259259259,NQ,600.0,635.8,633.8,1478.4,1685.0,1669.8074092158565
Vealer Steer,200-280,Restocker,C,2,21,-48,330.0,422.0,401.1904761904762,47.8,634.6,811.5,771.5,759.0,1131.3,1015.980962844122
Vealer Steer,280-330,Restocker,C,2,53,15,310.0,418.0,366.1509433962264,-16.0,596.2,803.8,704.1,992.0,1254.0,1151.4151035524765
Vealer Steer,330+,Restocker,C,2,12,NQ,350.0,368.0,359,NQ,673.1,707.7,690.4,1225.0,1232.8,1228.9000244140625
Vealer Heifer,200-280,Restocker,C,2,53,-17,250.0,286.0,270.1320754716981,-38.0,480.8,550.0,519.5,561.0,757.9,688.196247604658
Vealer Heifer,280-330,Processor,C,2,2,1,305.0,305.0,305,-31.2,586.5,586.5,586.5,915.0,915.0,915
Vealer Heifer,280-330,Processor,C,3,1,NQ,330.0,330.0,330,NQ,634.6,634.6,634.6,1056.0,1056.0,1056
Vealer Heifer,280-330,Restocker,C,2,3,-24,290.0,290.0,290,-41.4,557.7,557.7,557.7,826.5,826.5,826.5
Vealer Heifer,280-330,Restocker,C,3,6,NQ,285.0,285.0,285,NQ,548.1,548.1,548.1,897.8,897.8,897.75
Manufacturing Steer,0-540,Processor,D,2,17,NQ,150.0,186.0,164.8235294117647,NQ,300.0,372.0,329.6,540.0,781.2,639.3176413143383
Grown Steer,400-500,Feeder,C,2,6,NQ,260.0,285.0,276.6666666666667,NQ,500.0,548.1,532.1,1300.0,1425.0,1383.3333333333333
Grown Steer,400-500,Processor,C,2,1,NQ,270.0,270.0,270,NQ,519.2,519.2,519.2,1242.0,1242.0,1242
Grown Steer,400-500,Processor,C,3,1,NC,270.0,270.0,270,60.0,500.0,500.0,500.0,1350.0,1350.0,1350
Grown Steer,600-750,Processor,C,3,5,NC,302.0,330.0,311.2,30.0,559.3,611.1,576.3,1872.4,2046.0,1929.4400390625
Grown Steer,600-750,Processor,C,4,4,NQ,309.0,309.0,309,NQ,572.2,572.2,572.2,2008.5,2008.5,2008.5
Grown Heifer,0-540,Feeder,C,2,30,25,240.0,280.0,268.1666666666667,-1.8,461.5,538.5,515.7,900.0,1232.0,1118.7333333333333
Grown Heifer,0-540,Feeder,C,3,28,NQ,260.0,334.0,287.9642857142857,NQ,500.0,630.2,550.1,1196.0,1770.2,1366.51069859096
Grown Heifer,0-540,Feeder,D,2,8,NQ,196.0,196.0,196,NQ,392.0,392.0,392.0,803.6,803.6,803.5999755859375
Grown Heifer,0-540,Processor,C,3,20,18,255.0,284.0,270.2,-19.8,490.4,536.5,514.2,1173.0,1506.6,1360.5725036621093
Grown Heifer,0-540,Processor,C,4,1,NQ,269.0,269.0,269,NQ,517.3,517.3,517.3,1452.6,1452.6,1452.5999755859375
Grown Heifer,0-540,Processor,D,2,12,9,166.0,196.0,177,-23.0,332.0,392.0,354.0,531.2,714.0,615.4333292643229
Grown Heifer,0-540,Processor,D,3,29,NQ,204.0,250.0,221.24137931034483,NQ,400.0,490.2,437.3,918.0,1350.0,1075.448275862069
Grown Heifer,0-540,Restocker,D,2,28,NQ,177.0,260.0,205.14285714285714,NQ,354.0,520.0,410.3,566.4,939.8,699.0928780691964
Grown Heifer,540+,Feeder,C,3,1,NQ,334.0,334.0,334,NQ,630.2,630.2,630.2,1820.3,1820.3,1820.300048828125
Grown Heifer,540+,Processor,C,3,11,-4,264.0,330.0,297.27272727272725,33.2,498.1,622.6,560.9,1504.2,1848.0,1664.236328125
Grown Heifer,540+,Processor,C,4,1,NQ,255.0,255.0,255,NQ,481.1,481.1,481.1,1479.0,1479.0,1479
Cows,0-400,Processor,D,2,11,6,165.0,165.0,165,-6.1,366.7,366.7,366.7,660.0,660.0,660
Cows,400-520,Processor,D,2,56,37,136.0,210.0,175,-17.6,302.2,453.3,388.5,571.2,1092.0,794.062497820173
Cows,400-520,Processor,D,3,50,48,188.0,228.0,211.68,-16.5,400.0,475.0,445.7,806.4,1140.0,1001.077001953125
Cows,400-520,Processor,D,4,2,NQ,215.0,215.0,215,NQ,457.4,457.4,457.4,1118.0,1118.0,1118
Cows,400-520,PTIC,D,2,8,NQ,220.0,220.0,220,NQ,488.9,488.9,488.9,1067.0,1067.0,1067
Cows,400-520,Restocker,D,2,27,NC,180.0,206.0,194.8148148148148,-9.2,400.0,457.8,432.9,774.0,978.5,887.6333188657408
Cows,520+,Processor,C,4,33,NQ,246.0,248.0,246.6060606060606,NQ,473.1,476.9,474.2,1549.8,1612.0,1568.648555871212
Cows,520+,Processor,D,3,48,-24,195.0,240.0,222.25,-5.1,414.9,481.3,458.8,1033.5,1485.0,1243.7625325520833
Cows,520+,Processor,D,4,77,-57,212.0,241.0,232.62337662337663,-8.2,441.7,483.3,468.4,1208.4,1527.5,1348.1480554357752
Cows,520+,Processor,D,5,1,-2,226.0,226.0,226,26.0,470.8,470.8,470.8,1536.8,1536.8,1536.800048828125
Cows,520+,Restocker,D,2,1,NQ,191.0,191.0,191,NQ,424.4,424.4,424.4,1012.3,1012.3,1012.2999877929688
Bulls,0-450,Processor,C,2,7,6,180.0,300.0,244.28571428571428,-11.9,346.2,576.9,465.2,684.0,1050.0,902.5714285714286
Bulls,0-450,Restocker,C,2,1,-1,246.0,246.0,246,-64.2,473.1,473.1,473.1,984.0,984.0,984
Bulls,450-600,Processor,C,2,10,NQ,175.0,240.0,200.8,NQ,324.1,444.4,371.9,920.0,1185.6,1052.9599975585938
Bulls,600+,Processor,B,2,9,6,214.0,246.0,232.77777777777777,99.4,382.1,439.3,415.7,1391.0,2082.5,1845.5833333333333
Bulls,600+,Processor,C,2,9,NQ,202.0,235.0,213,NQ,374.1,435.2,394.4,1344.0,1785.0,1603.0666639539932
