Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: TRLX Tamworth
Report Date: 20/05/2024
Comparison Date: 13/05/2024
Total Yarding: 2250 (+775)
Commentary
"With the first frost of the season in the forecast the numbers increased sharply. It was a very mixed quality penning with secondary and plain quality cattle in greater numbers. Well bred good quality cattle were also well supplied through all categories. The condition of the offering also varied greatly with some very good yearlings, heavy grown steers and cows presented. There was a similar buying group in attendance.

Demand was still high despite the increased supply with restocker steer weaners selling to a slightly dearer trend. The heifer portion however were cheaper. Medium and heavy weight yearling steers to restock and feed saw little but quality related price change on a solid market trend. The plain and secondary quality young cattle attracted limited competition throughout. The well bred well presented yearling heifers also experienced little change for the most part however there was an odd slightly dearer sale.

Well finished heavy weight grown steers carrying 2 or more teeth sold to a dearer trend with a limited supply and an improvement in quality contributing. This trend carrying into the grown heifers to process. Feeder heifers with 2 or more teeth were keenly sought. Well finished heavy weight cows sold to a slightly cheaper trend. The balance selling on a mostly firm market trend."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,3,NQ,300.0,300.0,300,NQ,576.9,576.9,576.9,720.0,720.0,720
Yearling Steer,200-280,Restocker,D,2,6,NQ,250.0,250.0,250,NQ,500.0,500.0,500.0,550.0,550.0,550
Yearling Steer,280-330,Processor,C,2,1,NC,286.0,286.0,286,-6.2,550.0,550.0,550.0,915.2,915.2,915.2000122070312
Yearling Steer,280-330,Restocker,C,2,9,-19,280.0,346.0,338.6666666666667,17.3,538.5,665.4,651.3,896.0,1038.0,1022.2222222222222
Yearling Steer,330-400,Feeder,C,2,39,-107,280.0,365.0,340.3076923076923,-21.0,538.5,701.9,654.4,1008.0,1405.3,1255.5230806790864
Yearling Steer,330-400,Feeder,C,3,2,NQ,330.0,330.0,330,NQ,611.1,611.1,611.1,1254.0,1254.0,1254
Yearling Steer,330-400,Restocker,C,2,13,-3,334.0,375.0,371.84615384615387,27.6,642.3,721.2,715.1,1169.0,1312.5,1301.4615384615386
Yearling Steer,400+,Feeder,C,2,61,34,310.0,346.0,337.42622950819674,-8.8,596.2,665.4,648.9,1271.0,1833.8,1527.189357069672
Yearling Steer,400+,Feeder,C,3,16,NQ,310.0,355.0,319.0625,NQ,574.1,657.4,593.6,1550.0,1696.0,1619.5
Yearling Steer,400+,Processor,C,3,11,7,310.0,345.0,323.3636363636364,48.9,574.1,638.9,598.8,1344.0,1798.0,1566.090909090909
Yearling Heifer,200-280,Processor,D,2,4,-6,134.0,134.0,134,-86.2,268.0,268.0,268.0,348.4,348.4,348.3999938964844
Yearling Heifer,200-280,Restocker,C,2,9,-32,280.0,280.0,280,-19.2,538.5,538.5,538.5,756.0,756.0,756
Yearling Heifer,280-330,Restocker,C,2,32,9,240.0,322.0,283.875,-37.8,461.5,619.2,545.9,744.0,1014.3,878.40625
