Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Heifer,280-330,Restocker,D,2,49,NQ,192.0,214.0,212.6530612244898,NQ,369.2,411.5,408.9,595.2,674.1,654.8571328922194
Yearling Heifer,330-400,Feeder,C,2,183,165,188.0,234.0,213.46448087431693,14.5,361.5,441.5,406.6,648.6,912.6,788.0344251622267
Yearling Heifer,330-400,Feeder,D,2,4,-12,190.0,195.0,192.5,-1.9,365.4,375.0,370.2,636.5,672.8,654.625
Yearling Heifer,330-400,Processor,C,2,33,17,180.0,224.0,202,16.0,346.2,430.8,383.2,666.0,784.0,726.0666670365767
Yearling Heifer,330-400,Processor,D,2,30,25,190.0,210.0,193.33333333333334,-2.7,365.4,420.0,374.5,674.5,703.5,685.35
Yearling Heifer,330-400,Processor,D,3,6,5,215.0,215.0,215,55.0,405.7,405.7,405.7,806.3,806.3,806.25
Yearling Heifer,330-400,Restocker,C,2,17,NQ,212.0,212.0,212,NQ,400.0,400.0,400.0,784.4,784.4,784.4000459558823
Yearling Heifer,400+,Feeder,D,3,1,NQ,204.0,204.0,204,NQ,392.3,392.3,392.3,836.4,836.4,836.4000244140625
Yearling Heifer,400+,Processor,D,3,19,NQ,205.0,205.0,205,NQ,386.8,386.8,386.8,840.5,840.5,840.5
Vealer Steer,0-200,Restocker,C,2,45,NQ,210.0,354.0,350.8,NQ,403.8,680.8,674.6,399.0,672.6,666.5199652777778
Vealer Steer,0-200,Restocker,D,2,41,39,122.0,274.0,192.6829268292683,-27.3,234.6,526.9,370.5,225.7,520.6,351.43658149533155
Vealer Steer,200-280,Feeder,C,2,11,NQ,210.0,210.0,210,NQ,403.8,403.8,403.8,556.5,556.5,556.5
Vealer Steer,200-280,Restocker,C,2,462,451,220.0,356.0,326.5974025974026,94.6,423.1,684.6,628.1,490.2,943.4,777.89204083067
Vealer Steer,200-280,Restocker,D,2,113,95,120.0,290.0,251.8230088495575,35.6,235.3,557.7,484.3,264.0,609.0,548.5504512280489
Vealer Heifer,0-200,Processor,C,2,16,-4,220.0,220.0,220,30.0,423.1,423.1,423.1,440.0,440.0,440
Vealer Heifer,200-280,Processor,C,2,32,-38,180.0,220.0,212.5,36.5,346.2,423.1,408.7,387.0,517.0,492.625
Vealer Heifer,200-280,Processor,D,2,12,NQ,170.0,170.0,170,NQ,326.9,326.9,326.9,348.5,348.5,348.5
Vealer Heifer,200-280,Restocker,C,2,23,NQ,180.0,188.0,186.2608695652174,NQ,346.2,361.5,358.2,477.0,479.4,478.87826936141306
Vealer Heifer,200-280,Restocker,D,2,2,NQ,180.0,200.0,190,NQ,346.2,384.6,365.4,420.0,495.0,457.5
Manufacturing Steer,0-540,Processor,D,2,2,-12,190.0,200.0,195,0.9,365.4,384.6,375.0,969.0,1010.0,989.5
Manufacturing Steer,0-540,Processor,D,3,12,-15,180.0,242.0,226.83333333333334,21.9,346.2,456.6,428.5,918.0,1138.5,1096.2333170572917
Manufacturing Steer,540+,Processor,C,4,1,-5,210.0,210.0,210,-38.0,381.8,381.8,381.8,1449.0,1449.0,1449
Manufacturing Steer,540+,Processor,D,3,5,NQ,180.0,230.0,196,NQ,333.3,434.0,366.0,1008.0,1253.5,1092.8
Grown Steer,0-400,Processor,D,2,6,NC,216.0,216.0,216,14.0,415.4,415.4,415.4,842.4,842.4,842.4000651041666
Grown Steer,0-400,Restocker,D,2,13,-6,180.0,180.0,180,NC,346.2,346.2,346.2,693.0,693.0,693
Grown Steer,400-500,Feeder,D,2,6,3,140.0,222.0,201.33333333333334,-8.0,274.5,426.9,388.1,644.0,921.3,846.0333251953125
