Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Echuca
Report Date: 29/01/2025
Comparison Date: 
Total Yarding: 1193 (NQ)
Commentary
"Numbers came back slightly as 315 exports and 794 trade cattle were penned. There was a wide range of both store conditioned and finished supplementary fed steers and heifers. There were very few bullocks over 600kg. Feedlotters were keen to secure the heavier young cattle along with the grown steers up to 500kg. 

There was a greater interest to purchase the top end of the grain finished steers and heifers. There were some excellent lines of Euro cross steers in the later runs, along with B muscled vealers. The best of the vealers made to 375c/kg. The yearling steers to the trade made from 320c to a top of 380c/kg. The yearling heifer portion made from 280c to 378c/kg. 

The 400 to 500kg steers ranged from 316c to 368c/kg, with the feeder steers making from 315c to 355c/kg. The 500 to 600kg steers to the trade made from 316 to 367c/kg and the 600kg plus bullocks reached 340c/kg. The majority of the heavy beef cows made from 280c to 290c/kg and the handful of dairy cows reached 268c/kg."
Yearling Steer,330-400,Restocker,C,2,10,-15,332.0,346.0,337.6,11.1,638.5,665.4,649.2,1185.2,1266.4,1217.68798828125
Yearling Steer,330-400,Restocker,D,1,1,NQ,323.0,323.0,323,NQ,633.3,633.3,633.3,1227.4,1227.4,1227.4000244140625
Yearling Steer,400+,Feeder,C,1,3,NQ,328.0,328.0,328,NQ,630.8,630.8,630.8,1331.7,1331.7,1331.6800130208333
Yearling Steer,400+,Feeder,C,2,2,-27,310.0,319.0,314.5,-9.8,596.2,601.9,599.0,1410.5,1547.2,1478.8250122070312
Yearling Steer,400+,Processor,B,2,42,41,353.0,394.0,379.57142857142856,34.6,641.8,716.4,689.9,1570.8,1899.3,1666.1186116536458
Yearling Steer,400+,Processor,B,3,6,NQ,370.0,370.0,370,NQ,672.7,672.7,672.7,1838.9,1838.9,1838.9000651041667
Yearling Steer,400+,Processor,C,1,3,NQ,370.0,370.0,370,NQ,685.2,685.2,685.2,1483.7,1483.7,1483.6998697916667
Yearling Steer,400+,Processor,C,3,18,-13,345.0,380.0,368.05555555555554,33.7,638.9,690.9,675.9,1641.6,1746.0,1697.4749891493057
Yearling Steer,400+,Restocker,D,1,2,NQ,324.0,324.0,324,NQ,635.3,635.3,635.3,1318.7,1318.7,1318.6800537109375
Yearling Heifer,200-280,Restocker,D,1,6,NQ,206.0,265.0,235.5,NQ,403.9,519.6,461.8,568.6,707.5,638.0549723307291
Yearling Heifer,280-330,Feeder,C,2,5,NQ,280.0,280.0,280,NQ,538.5,538.5,538.5,893.2,893.2,893.2
Yearling Heifer,280-330,Processor,C,2,11,NQ,280.0,306.0,289.45454545454544,NQ,538.5,577.4,552.6,924.0,963.9,938.5090997869319
Yearling Heifer,280-330,Processor,C,3,1,NQ,328.0,328.0,328,NQ,618.9,618.9,618.9,1082.4,1082.4,1082.4000244140625
Yearling Heifer,280-330,Restocker,D,1,11,NQ,220.0,230.0,228.1818181818182,NQ,449.0,469.4,465.7,629.2,694.6,682.7090842507102
Yearling Heifer,330-400,Feeder,C,2,6,NQ,290.0,290.0,290,NQ,557.7,557.7,557.7,1052.7,1052.7,1052.699951171875
Yearling Heifer,330-400,Feeder,D,3,9,NQ,260.0,321.0,303.55555555555554,NQ,500.0,617.3,583.8,973.9,1280.8,1150.304470486111
Yearling Heifer,330-400,Processor,B,1,1,NQ,365.0,365.0,365,NQ,629.3,629.3,629.3,1314.0,1314.0,1314
Yearling Heifer,330-400,Processor,C,2,15,NQ,298.0,345.0,312.73333333333335,NQ,562.3,650.9,590.1,1155.8,1344.0,1196.1153645833333
Yearling Heifer,330-400,Processor,C,3,26,20,308.0,370.0,357.8076923076923,52.8,581.1,685.2,668.2,1078.0,1454.1,1357.6561748798076
Yearling Heifer,330-400,Processor,D,1,4,NQ,200.0,270.0,235,NQ,392.2,529.4,460.8,700.0,945.0,822.5
Yearling Heifer,330-400,Processor,D,2,10,NQ,210.0,292.0,254.3,NQ,403.8,561.5,491.8,751.8,1130.0,962.7019897460938
Yearling Heifer,330-400,Restocker,C,2,4,NQ,264.0,316.0,294.5,NQ,507.7,607.7,566.3,910.8,1175.5,1062.2100067138672
Yearling Heifer,330-400,Restocker,D,1,7,NQ,180.0,240.0,200,NQ,360.0,480.0,400.0,622.8,840.0,714.7428501674107
Yearling Heifer,330-400,Restocker,D,2,11,6,225.0,294.0,255.8181818181818,-32.6,441.2,576.5,507.4,816.8,1176.0,981.9545454545455
Yearling Heifer,400+,Feeder,C,2,6,NQ,300.0,338.0,326.3333333333333,NQ,576.9,637.7,621.4,1260.0,1470.3,1401.3167317708333
Yearling Heifer,400+,Processor,B,2,11,9,338.0,378.0,359.8181818181818,-4.4,603.6,687.3,649.2,1497.3,1610.3,1558.9435813210227
Yearling Heifer,400+,Processor,C,2,5,NQ,310.0,345.0,323,NQ,584.9,638.9,611.6,1527.8,1666.5,1594.2
Yearling Heifer,400+,Processor,C,3,30,-5,305.0,356.0,339.3666666666667,9.7,574.1,659.3,633.0,1336.5,1705.2,1461.0649820963542
Yearling Heifer,400+,Processor,C,4,8,5,310.0,330.0,315,-7.2,584.9,600.0,588.7,1289.6,1640.1,1377.2249450683594
Yearling Heifer,400+,Processor,D,2,1,NQ,280.0,280.0,280,NQ,538.5,538.5,538.5,1316.0,1316.0,1316
Yearling Heifer,400+,Processor,D,3,11,-4,290.0,320.0,298.1818181818182,-2.6,557.7,603.8,570.3,1162.9,1312.0,1213.0545543323863
Yearling Heifer,400+,Restocker,C,2,2,NQ,300.0,300.0,300,NQ,576.9,576.9,576.9,1230.0,1230.0,1230
Vealer Steer,200-280,Restocker,C,1,14,NQ,314.0,340.0,336.2857142857143,NQ,603.8,653.8,646.7,869.8,914.6,908.1970912388393
Vealer Steer,200-280,Restocker,D,2,4,2,284.0,284.0,284,-26.0,546.2,546.2,546.2,712.8,712.8,712.8400268554688
Vealer Steer,280-330,Restocker,C,1,2,NQ,310.0,310.0,310,NQ,596.2,596.2,596.2,883.5,883.5,883.5
Vealer Steer,330+,Processor,B,2,2,-1,355.0,375.0,365,NC,645.5,681.8,663.6,1260.3,1781.3,1520.75
Vealer Steer,330+,Processor,C,1,6,NQ,320.0,320.0,320,NQ,603.8,603.8,603.8,1100.8,1100.8,1100.800048828125
Vealer Steer,330+,Processor,C,3,3,NQ,340.0,340.0,340,NQ,641.5,641.5,641.5,1162.8,1162.8,1162.800048828125
Vealer Heifer,200-280,Restocker,C,2,8,-1,205.0,272.0,255.25,-26.9,386.8,523.1,489.0,430.5,696.3,629.864990234375
Vealer Heifer,200-280,Restocker,D,2,2,-13,200.0,200.0,200,-57.0,384.6,384.6,384.6,530.0,530.0,530
Vealer Heifer,280-330,Processor,C,3,2,NQ,314.0,314.0,314,NQ,581.5,581.5,581.5,1036.2,1036.2,1036.199951171875
Vealer Heifer,280-330,Restocker,C,1,2,NQ,265.0,265.0,265,NQ,509.6,509.6,509.6,781.8,781.8,781.75
Vealer Heifer,280-330,Restocker,C,2,3,2,250.0,250.0,250,-57.0,480.8,480.8,480.8,725.0,725.0,725
Vealer Heifer,330+,Processor,C,1,3,NQ,305.0,305.0,305,NQ,586.5,586.5,586.5,1027.8,1027.8,1027.8499348958333
Vealer Heifer,330+,Processor,C,3,6,-2,316.0,350.0,327.3333333333333,-8.9,596.2,648.1,611.8,1137.0,1358.8,1205.6233317057292
Manufacturing Steer,0-540,Dairy,D,2,14,-14,280.0,280.0,280,7.1,538.5,538.5,538.5,1260.0,1260.0,1260
Manufacturing Steer,540+,Dairy,D,1,9,3,280.0,280.0,280,9.4,538.5,538.5,538.5,1540.0,1540.0,1540
Grown Steer,0-400,Feeder,C,2,22,NQ,332.0,340.0,335.22727272727275,NQ,638.5,653.8,644.1,1288.2,1339.1,1311.5640647194602
Grown Steer,0-400,Restocker,C,2,6,NQ,326.0,326.0,326,NQ,626.9,626.9,626.9,1291.0,1291.0,1290.9599609375
Grown Steer,0-400,Restocker,D,1,4,NQ,278.0,278.0,278,NQ,556.0,556.0,556.0,1106.4,1106.4,1106.43994140625
Grown Steer,400-500,Feeder,C,1,26,NQ,319.0,340.0,321.4230769230769,NQ,613.5,653.8,618.1,1483.3,1499.4,1485.2019606370193
Grown Steer,400-500,Feeder,C,2,51,50,315.0,345.0,339.11764705882354,-11.1,594.3,663.5,651.4,1338.8,1548.0,1479.2766544117646
Grown Steer,400-500,Feeder,C,3,9,NQ,330.0,348.0,336,NQ,622.6,656.6,634.0,1597.2,1635.6,1609.9998914930557
Grown Steer,400-500,Processor,B,2,5,NQ,368.0,368.0,368,NQ,669.1,669.1,669.1,1586.1,1586.1,1586.07998046875
Grown Steer,400-500,Processor,B,3,10,NQ,360.0,360.0,360,NQ,642.9,642.9,642.9,1778.4,1778.4,1778.4
Grown Steer,400-500,Processor,C,2,13,12,316.0,352.0,341,36.0,607.7,651.9,643.3,1311.4,1742.4,1539.4653883713943
Grown Steer,400-500,Processor,C,3,23,NQ,324.0,365.0,340.17391304347825,NQ,611.3,675.9,637.0,1409.4,1770.3,1544.5147811226223
Grown Steer,400-500,Restocker,C,1,2,NQ,305.0,305.0,305,NQ,598.0,598.0,598.0,1342.0,1342.0,1342
Grown Steer,400-500,Restocker,D,1,5,NQ,270.0,270.0,270,NQ,540.0,540.0,540.0,1093.5,1093.5,1093.5
Grown Steer,500-600,Feeder,C,3,9,5,338.0,338.0,338,12.0,650.0,650.0,650.0,1713.7,1740.7,1731.6865776909722
Grown Steer,500-600,Processor,B,2,2,NQ,350.0,367.0,358.5,NQ,648.1,655.4,651.8,1995.0,2018.5,2006.75
Grown Steer,500-600,Processor,B,3,8,NQ,363.0,363.0,363,NQ,648.2,648.2,648.2,1909.4,1909.4,1909.3800048828125
Grown Steer,500-600,Processor,C,1,6,NQ,316.0,316.0,316,NQ,607.7,607.7,607.7,1690.6,1690.6,1690.5999348958333
Grown Steer,500-600,Processor,C,2,10,NQ,310.0,336.0,322.6,NQ,596.2,634.0,601.9,1683.0,1898.4,1756.7400024414062
Grown Steer,500-600,Processor,C,3,29,25,328.0,368.0,342.7931034482759,-1.9,618.9,681.5,643.0,1754.8,1938.0,1814.860006398168
Grown Steer,500-600,Processor,C,4,2,NQ,340.0,368.0,354,NQ,629.6,681.5,655.6,1968.8,2040.0,2004.4000244140625
Grown Steer,500-600,Processor,D,2,8,NQ,330.0,330.0,330,NQ,634.6,634.6,634.6,1815.0,1815.0,1815
Grown Steer,600-750,Processor,C,4,1,NQ,340.0,340.0,340,NQ,629.6,629.6,629.6,2176.0,2176.0,2176
Grown Heifer,0-540,Dairy,D,2,8,6,246.0,246.0,246,-29.0,482.4,482.4,482.4,1045.5,1045.5,1045.5
Grown Heifer,0-540,Processor,D,3,4,-58,325.0,325.0,325,33.4,625.0,625.0,625.0,1625.0,1625.0,1625
Grown Heifer,0-540,Processor,D,4,8,-2,312.0,312.0,312,24.4,588.7,588.7,588.7,1404.0,1404.0,1404
Grown Heifer,0-540,Restocker,D,1,15,NQ,221.0,270.0,253.66666666666666,NQ,442.0,551.0,514.7,786.8,1077.3,980.4533365885417
Grown Heifer,540+,Processor,D,3,6,NQ,310.0,310.0,310,NQ,596.2,596.2,596.2,1705.0,1705.0,1705
Cows,0-400,Dairy,E,1,5,NQ,165.0,165.0,165,NQ,392.9,392.9,392.9,660.0,660.0,660
Cows,400-520,Dairy,D,1,28,NQ,215.0,246.0,228.32142857142858,NQ,500.0,546.7,519.3,978.3,1217.7,1085.8339146205358
Cows,400-520,Processor,D,1,60,48,230.0,273.0,254.1,17.5,489.4,570.2,534.7,1114.8,1405.9,1237.1683268229167
Cows,400-520,Processor,D,2,23,22,255.0,285.0,277.17391304347825,60.6,510.0,581.6,562.9,1326.0,1382.3,1367.5760869565217
Cows,400-520,Restocker,D,1,10,8,292.0,292.0,292,55.4,621.3,621.3,621.3,1416.2,1416.2,1416.2
Cows,520+,Dairy,D,1,10,NQ,265.0,265.0,265,NQ,588.9,588.9,588.9,1444.3,1444.3,1444.25
Cows,520+,Dairy,D,3,8,NQ,268.0,268.0,268,NQ,570.2,570.2,570.2,1728.6,1728.6,1728.5999755859375
Cows,520+,Processor,C,3,8,NQ,280.0,280.0,280,NQ,528.3,528.3,528.3,1526.0,1526.0,1526
Cows,520+,Processor,C,4,18,NQ,286.0,290.0,286.6666666666667,NQ,537.0,539.6,539.2,1787.5,2175.0,1852.0833333333333
Cows,520+,Processor,D,2,46,4,282.0,284.0,283.4782608695652,13.6,564.0,568.0,567.0,1533.6,1551.0,1538.1390964673913
Cows,520+,Processor,D,3,10,-72,285.0,285.0,285,-5.8,548.1,548.1,548.1,1567.5,1567.5,1567.5
Cows,520+,Processor,D,4,38,24,284.0,285.0,284.63157894736844,-18.4,535.8,558.8,541.5,1567.5,1718.2,1671.0210217927631
Calves,80+,Processor,C,1,4,NQ,280.0,280.0,280,NQ,528.3,528.3,528.3,397.6,397.6,397.6000061035156
Bulls,600+,Processor,B,2,1,-1,313.0,313.0,313,8.0,558.9,558.9,558.9,2973.5,2973.5,2973.5
Bulls,600+,Processor,C,1,1,NQ,290.0,290.0,290,NQ,547.2,547.2,547.2,3045.0,3045.0,3045
Bulls,600+,Processor,C,2,3,NQ,302.0,305.0,304,NQ,554.5,569.8,559.6,2790.8,2869.0,2816.8333333333335
Bulls,600+,Processor,C,3,1,NQ,295.0,295.0,295,NQ,536.4,536.4,536.4,3097.5,3097.5,3097.5
Bulls,600+,Processor,C,4,1,NQ,305.0,305.0,305,NQ,564.8,564.8,564.8,3736.3,3736.3,3736.25
