Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: SELX Yass
Report Date: 12/12/2024
Comparison Date: 05/12/2024
Total Yarding: 996 (+40)
Commentary
"There was a slight increase in numbers, for a total yarding of 996 fair, to good quality cattle. There was a limited supply of prime yearlings to suit the trade, with most young cattle returning to the paddock or feedlot. There were a few good pens of heavy grown cattle and there were 180 cows. All the usual buyers, with the addition of extra restocker orders, resulted in a dearer market.

Prime yearlings lifted 6c, selling from 310c to 350c/kg. Feeder steers were up to 10c dearer, making from 304c to 355c, and heifers to feed averaged 299c/kg. Young cattle to the restockers were considerably dearer, with the steers ranging from 325c to 432c and the heifers made from 205c to 360c/kg..

Heavy grown steers were 5c better, topping at 350c and grown heifers were also 5c dearer, reaching 341c/kg. There was still strong demand for the cows, with 2 and 3 scores selling from 160c to 286c and the best heavy prime cows made 294c/kg. Heavy bulls to process were significantly dearer, ranging from 268c to 304c/kg.
David Kent Market Reporter"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Heifer,540+,Feeder,C,3,4,NQ,325.0,325.0,325,NQ,601.9,601.9,601.9,1885.0,1885.0,1885
Grown Heifer,540+,Feeder,C,4,1,NQ,285.0,285.0,285,NQ,527.8,527.8,527.8,1866.8,1866.8,1866.75
Grown Heifer,540+,Processor,C,3,30,29,310.0,341.0,325.1,5.1,574.1,631.5,603.5,1747.2,2210.0,1916.1599853515625
Grown Heifer,540+,Processor,D,3,26,25,290.0,318.0,299.38461538461536,-0.6,550.9,600.0,570.6,1624.0,1912.6,1757.1692270132212
Cows,0-400,Processor,D,2,8,NQ,160.0,270.0,256.25,NQ,363.6,519.2,499.8,608.0,1066.5,1009.1875
Cows,400-520,Processor,D,1,1,NQ,160.0,160.0,160,NQ,381.0,381.0,381.0,696.0,696.0,696
Cows,400-520,Processor,D,2,4,NC,200.0,210.0,205,5.0,454.5,477.3,465.9,840.0,871.5,855.75
Cows,400-520,Processor,D,3,26,6,250.0,280.0,263.53846153846155,-0.5,536.2,608.7,570.1,1137.5,1397.4,1293.2153836763823
Cows,400-520,Restocker,D,2,13,NQ,238.0,250.0,246.30769230769232,NQ,531.9,540.9,534.7,987.7,1112.5,1074.1000037560095
Cows,400-520,Restocker,D,3,3,NQ,255.0,255.0,255,NQ,542.6,542.6,542.6,1326.0,1326.0,1326
Cows,520+,Processor,C,4,10,NQ,293.0,294.0,293.9,NQ,586.0,588.0,587.8,1875.2,2381.4,2330.7799560546873
Cows,520+,Processor,D,2,2,NQ,240.0,240.0,240,NQ,533.3,533.3,533.3,1272.0,1272.0,1272
Cows,520+,Processor,D,3,36,30,256.0,286.0,274.3888888888889,0.9,556.5,608.5,585.9,1395.2,1598.5,1493.9222242567275
Cows,520+,Processor,D,4,84,-49,275.0,293.0,288.0238095238095,-3.1,585.1,600.0,593.7,1553.8,2318.4,1920.7892368861608
Cows,520+,Processor,D,5,8,6,277.0,290.0,286.875,8.9,567.3,591.8,586.9,1966.7,2102.5,2079.8624877929688
Bulls,450-600,Processor,C,1,1,NQ,200.0,200.0,200,NQ,350.9,350.9,350.9,1150.0,1150.0,1150
Bulls,600+,Processor,B,1,2,-8,265.0,276.0,270.5,4.1,449.2,460.0,454.6,2530.8,2566.8,2548.7750244140625
Bulls,600+,Processor,B,2,26,25,280.0,305.0,294.7692307692308,14.8,470.0,500.0,487.2,1736.0,3812.5,2822.3538442758413
Bulls,600+,Processor,C,1,2,-5,267.0,268.0,267.5,34.4,452.5,462.1,457.3,2318.2,2483.1,2400.6500244140625
Bulls,600+,Processor,C,2,3,NC,278.0,285.0,282.6666666666667,42.7,471.2,483.1,476.4,2465.3,2654.9,2580.7166341145835
