Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Gunnedah
Report Date: 13/08/2024
Comparison Date: 06/08/2024
Total Yarding: 2100 (+360)
Commentary
"With a small opportunity to offload cattle before the next rain event there was an increased penning this week. Young cattle, cows and grown heifers were well supplied along with a small but high quality penning of heavyweight grown steers. Overall the quality and condition was fair to good with a greater percentage on the better end of the scale. All the regular processors were in attendance along with most of the usual restocker and feeder orders.

Lightweight steers were keenly sought by restockers resulting in a dearer trend with strong gains posted. The heifers portion did not fair as well and lost some ground. Mediumweight yearling steers also sold to a dearer trend. The heavyweight feeder steers sold to a slightly cheaper trend with some quality related price change. Well finished heavy yearling steers attracted competition from both processors and feedlots with those to the trade selling as much as 10c/kg dearer. Mediumweight yearling heifers to restock and feed sold to a slightly cheaper trend with breed, quality and less competition contributing. Heavyweight feeder heifers sold to a dearer trend of as much as 15c/kg.

Well finished heavy grown steers were considerably dearer with quality a major contributor. Grown heifers to feed sold to a much cheaper trend however breed was a factor. The well finished lines to process also sold to cheaper trends with more available. Mediumweight cows saw little but quality related price change. The well finished heavyweight cows sold to a dearer trend of as much as 10c/kg. A very good penning of heavyweight bulls were much dearer."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,26,21,338.0,416.0,398.84615384615387,68.8,650.0,800.0,767.0,878.8,1050.6,1033.5230689415564
Yearling Steer,280-330,Restocker,C,2,82,43,310.0,434.0,393.4146341463415,35.4,596.2,834.6,756.6,930.0,1432.2,1238.9463128810976
Yearling Steer,330-400,Feeder,C,2,95,35,366.0,394.0,383.11578947368423,11.2,703.8,757.7,736.8,1281.8,1524.9,1407.3010536595395
Yearling Steer,330-400,Restocker,C,2,94,6,366.0,412.0,392.93617021276594,17.7,703.8,792.3,755.6,1278.4,1470.0,1389.0297955452127
Yearling Steer,400+,Feeder,C,2,107,27,356.0,388.0,375.58878504672896,5.3,684.6,746.2,722.3,1530.8,1795.4,1661.6729086047021
Yearling Steer,400+,Feeder,C,3,26,-6,370.0,390.0,382.46153846153845,-14.3,685.2,750.0,730.4,1602.3,1850.0,1685.5423302283655
Yearling Steer,400+,Processor,C,3,54,-6,366.0,408.0,388.037037037037,2.8,677.8,755.6,718.6,1928.5,2121.6,2038.1870659722222
Yearling Heifer,200-280,Restocker,C,2,32,1,254.0,332.0,302.5625,-21.8,488.5,638.5,581.9,660.4,819.0,741.3875122070312
Yearling Heifer,280-330,Feeder,C,2,47,33,318.0,344.0,333.9148936170213,33.9,611.5,661.5,637.3,985.8,1100.8,1036.434040475399
Yearling Heifer,280-330,Processor,C,3,8,NQ,335.0,368.0,340.375,NQ,632.1,694.3,642.2,1005.0,1214.4,1060.4250030517578
