Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Mount Barker
Report Date: 07/02/2025
Comparison Date: 
Total Yarding: 578 (NQ)
Commentary
"Numbers were down for a total of 578 mixed quality cattle. Cows again dominated the yarding including 90 PTIC Angus mixed aged cows. Heavy slaughter cows eased 5c selling to a top of 234c while a large gallery was in attendance to watch the PTIC cows sell from 190c to 258c/kg. Heavy bulls were firm on last week while trade weights and yearlings were dominated by store lines easing on quality.
Yearling steers sold from 200c to 318c quality dependent while heifers made 180c to 238c for light weights and 240c 242c for the heavier weights.
Bullocks weighing over 600kg sold for 250c while grown steers over 500kg made from 230c to 250c/kg.
Grown heifers weighing under 540kg sold from 204c to 262c and heavier weights made from 190c to 240c/kg.
Heavy weight cows sold from 200c to 234c while store cows made from 80c for plain types up to 194c for better quality lines.
Heavy bulls sold from 220c to 230c and the medium weight bulls returned 210c to 230c/kg.

Tracey Kilner NLRS"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Feeder,B,2,2,NQ,250.0,250.0,250,NQ,500.0,500.0,500.0,787.5,787.5,787.5
Yearling Steer,280-330,Feeder,C,2,31,NQ,266.0,300.0,286.5806451612903,NQ,532.0,600.0,573.2,867.2,945.0,917.3980752268145
Yearling Steer,330-400,Feeder,B,3,14,NQ,312.0,312.0,312,NQ,600.0,600.0,600.0,1107.6,1107.6,1107.5999581473213
Yearling Steer,330-400,Feeder,C,2,2,NQ,244.0,244.0,244,NQ,469.2,469.2,469.2,951.6,951.6,951.5999755859375
Yearling Steer,330-400,Feeder,C,3,40,NQ,240.0,318.0,309.15,NQ,461.5,600.0,590.2,876.0,1240.2,1140.525
Yearling Steer,330-400,Processor,C,2,1,NQ,200.0,200.0,200,NQ,400.0,400.0,400.0,740.0,740.0,740
Yearling Steer,400+,Feeder,C,2,2,NQ,250.0,250.0,250,NQ,500.0,500.0,500.0,1100.0,1100.0,1100
Yearling Steer,400+,Feeder,C,3,7,NQ,250.0,298.0,277.42857142857144,NQ,480.8,562.3,527.3,1062.5,1275.4,1184.179966517857
Yearling Heifer,330-400,Feeder,C,2,14,NQ,180.0,238.0,220.42857142857142,NQ,360.0,476.0,423.5,612.0,837.8,787.6228724888393
Yearling Heifer,400+,Feeder,C,3,4,NQ,240.0,242.0,241,NQ,461.5,465.4,463.5,1116.0,1265.7,1190.8300170898438
Grown Steer,400-500,Feeder,C,3,2,NQ,270.0,270.0,270,NQ,509.4,509.4,509.4,1309.5,1309.5,1309.5
Grown Steer,400-500,Processor,C,2,6,NQ,230.0,230.0,230,NQ,460.0,460.0,460.0,1099.4,1099.4,1099.4000651041667
Grown Steer,500-600,Feeder,C,2,6,NQ,230.0,230.0,230,NQ,460.0,460.0,460.0,1214.4,1214.4,1214.4000651041667
Grown Steer,500-600,Feeder,C,3,3,NQ,250.0,250.0,250,NQ,480.8,480.8,480.8,1262.5,1262.5,1262.5
Grown Steer,600-750,Processor,C,4,4,NQ,250.0,250.0,250,NQ,471.7,471.7,471.7,1647.5,1647.5,1647.5
Grown Steer,750+,Processor,C,3,1,NQ,234.0,234.0,234,NQ,441.5,441.5,441.5,1930.5,1930.5,1930.5
Grown Heifer,0-540,Feeder,C,2,12,NQ,218.0,220.0,218.5,NQ,436.0,440.0,437.0,829.4,1005.0,961.0850423177084
Grown Heifer,0-540,Feeder,C,3,27,NQ,204.0,262.0,227.77777777777777,NQ,392.3,500.0,437.7,956.8,1336.2,1056.1540708188656
Grown Heifer,0-540,Processor,C,3,1,NQ,240.0,240.0,240,NQ,452.8,452.8,452.8,1224.0,1224.0,1224
