Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Blackall
Report Date: 29/02/2024
Comparison Date: 22/02/2024
Total Yarding: 4800 (+2820)
Commentary
"Blackall combined agents yarded approximately 4,800 head for the monthly special weaner and store for February. Overall quality was very good with large runs of local vendor bred yearling steers and heifers on offer, that were met with strong competition mostly from local and southern restockers, and feedlots from the western downs.
Light weight restocker ‘c’ muscle steers saw prices to 460.2c to average 423c while those steers 280 to 330kg met solid demand selling to 450.2c to average 414c/kg.
Restockers paid up to 432.2c for steers 330 to 400kg averaging 379c while those to feed averaged 339c/kg. Heavy feeders steers over 400kg remained strong with sales to an isolated 386.2c to average 351c/kg.
Light weight restocker heifers sold to 300.2c to average 258c and heifers over 400kg to feed made to 306.2c averaging 292c/kg. 
Best of the cows and calves made to $1775/unit.
Market reporter,
Sam Hart."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,0-200,Restocker,D,2,72,NQ,330.0,360.0,335.6666666666667,NQ,634.6,692.3,645.5,627.0,648.0,631.7666693793403
Yearling Steer,200-280,Restocker,C,2,656,650,372.0,460.0,423.327743902439,79.3,715.4,884.6,814.1,890.1,1166.4,1050.8699787419016
Yearling Steer,200-280,Restocker,D,2,151,136,220.0,364.0,303.9205298013245,41.4,423.1,700.0,584.5,529.0,934.2,715.0602631221544
Yearling Steer,280-330,Feeder,D,2,50,NQ,270.0,320.0,305.68,NQ,519.2,615.4,587.8,810.0,960.0,925.910390625
Yearling Steer,280-330,Processor,D,3,1,NQ,230.0,230.0,230,NQ,442.3,442.3,442.3,690.0,690.0,690
Yearling Steer,280-330,Restocker,C,2,325,267,358.0,450.0,413.68,49.2,688.5,865.4,795.5,1105.8,1365.0,1235.2436944110577
Yearling Steer,330-400,Feeder,C,2,283,NQ,300.0,360.0,336.57950530035333,NQ,576.9,692.3,647.3,1080.0,1404.0,1211.1130759303223
Yearling Steer,330-400,Restocker,C,2,517,413,324.0,432.0,379.15280464216636,-0.3,623.1,830.8,729.1,1085.4,1504.8,1356.5001870013298
