Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Gunnedah
Report Date: 03/12/2024
Comparison Date: 26/11/2024
Total Yarding: 2500 (-1050)
Commentary
"With large rainfall recorded from the drawing areas the numbers fell by 1000 head. Young cattle were again offloaded in large numbers while there was a limited supply of heavy grown cattle apart from cows. The quality of the offering was generally good with the majority of the cattle presenting in forward condition. There was reduced processor competition on cows however all other regular orders were in place. 

The market for light weight steers returning to the paddock was solid resulting in a mostly firm trend. The medium weight steers to restock and feed sold to a dearer trend improving by as much as 10c/kg. Feedlotters were looking for plenty of weight in their steer purchases regardless of breed with this also resulting in a dearer trend of around 10c/kg. There was little change in the market for light weight yearling heifers. The medium and heavy weights sold on a mostly firm market with an odd cheaper sale.

The limited supply of well finished heavy weight grown steers suitable to processors saw a firm to slightly cheaper trend with some quality related price change. Well finished grown heifers sold on a firm to slightly dearer trend. There were slightly cheaper trends through the cow market with reduced competition and weaker demand."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Heifer,0-540,Processor,C,3,18,NQ,275.0,319.0,301.05555555555554,NQ,528.8,601.9,572.6,1210.0,1706.7,1493.0694444444443
Grown Heifer,0-540,Processor,D,3,36,NQ,246.0,280.0,269.6666666666667,NQ,482.4,549.0,527.4,1168.5,1404.0,1255.6666666666667
Grown Heifer,540+,Processor,C,3,25,16,314.0,330.0,319.16,9.2,594.3,611.1,601.7,1727.0,2013.0,1824.04
Grown Heifer,540+,Processor,C,4,2,NQ,260.0,273.0,266.5,NQ,490.6,515.1,502.8,1456.0,1556.1,1506.0499877929688
Grown Heifer,540+,Processor,D,4,1,NQ,285.0,285.0,285,NQ,548.1,548.1,548.1,1567.5,1567.5,1567.5
Cows,400-520,Processor,D,2,13,6,238.0,255.0,245.84615384615384,6.8,528.9,566.7,546.3,1118.6,1224.0,1167.2461313100962
Cows,400-520,Processor,D,3,39,30,255.0,275.0,263.1794871794872,-0.8,542.6,585.1,556.0,1122.0,1430.0,1279.7948717948718
Cows,520+,Feeder,D,4,6,NQ,274.0,274.0,274,NQ,570.8,570.8,570.8,1753.6,1753.6,1753.5999348958333
Cows,520+,Processor,D,3,55,-33,257.0,276.0,270.6,1.9,546.8,575.0,566.9,1387.8,1614.6,1491.154541015625
Cows,520+,Processor,D,4,73,-24,235.0,285.0,272.5342465753425,-8.8,500.0,570.0,556.5,1363.0,1995.0,1662.461375615368
Cows,520+,Processor,D,5,2,NC,280.0,280.0,280,38.5,560.0,560.0,560.0,1792.0,1792.0,1792
Bulls,0-450,Processor,C,2,18,17,220.0,306.0,291.55555555555554,21.6,407.4,566.7,539.9,990.0,1193.4,1104.6666802300347
Bulls,0-450,Restocker,C,2,10,-4,276.0,406.0,380,62.0,530.8,780.8,730.8,607.2,609.0,608.6400024414063
Bulls,450-600,Processor,C,2,18,NQ,230.0,260.0,238.33333333333334,NQ,425.9,481.5,441.4,1150.0,1368.8,1354.7777777777778
Bulls,600+,Processor,B,2,1,-4,260.0,260.0,260,18.8,464.3,464.3,464.3,2158.0,2158.0,2158
Bulls,600+,Processor,B,3,9,-44,230.0,267.0,261.3333333333333,-12.5,425.9,476.8,468.4,1909.0,2464.5,2325.2111002604165
Bulls,600+,Processor,C,2,18,NQ,220.0,235.0,224.16666666666666,NQ,407.4,435.2,415.1,1457.0,1880.0,1784.888888888889
Bulls,600+,Processor,C,3,1,NQ,245.0,245.0,245,NQ,445.5,445.5,445.5,2327.5,2327.5,2327.5
