Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Leongatha
Report Date: 17/12/2024
Comparison Date: 10/12/2024
Total Yarding: 2128 (-767)
Commentary
"There were approximately 1,730 export and 400 young cattle penned representing a decrease of 770 head week-on-week. The regular buying group was present and joined by a couple of domestic processors in a cheaper market in places. Quality was very good in the trade and limited in the grown. Well finished trade cattle sold firm while secondary lots eased on some sales. Grown steers and bullocks sold firm to slightly dearer. Manufacturing steers held firm. Heavy grown heifers lifted 14c/kg. Cows sold 5c to 10c/kg cheaper across all grades. Heavy bulls lost 10c/kg. 

Vealers sold from 290c to 370c/kg. Yearling trade steers made between 315c and 380c/kg. Yearling heifers to the trade sold between 295c and 370c/kg. Grown steers made from 334c to 360c/kg. Bullocks sold from 334c to 366c/kg. Heavy grown heifers with finish made between 320c and 350c/kg. 

Heavy Friesian manufacturing steers sold between 272c and 320c with the crossbred portion between 278c and 350c/kg. Most light and medium weight cows made from 200c to 270c/kg. Heavy weight cows sold mostly from 240c to 304c/kg. Heavy bulls made between 230c and 280c/kg. 

Market reporter: Brendan Fletcher."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Vealer Heifer,280-330,Processor,C,3,7,NQ,300.0,322.0,309.42857142857144,NQ,545.5,585.5,562.6,900.0,1062.6,969.6856863839286
Vealer Heifer,280-330,Restocker,D,2,3,NQ,290.0,290.0,290,NQ,557.7,557.7,557.7,870.0,870.0,870
Vealer Heifer,330+,Processor,B,3,7,NC,361.0,365.0,363.2857142857143,8.9,629.3,633.3,631.0,1353.8,1368.8,1362.3214285714287
Vealer Heifer,330+,Processor,C,2,11,10,302.0,320.0,306.90909090909093,-13.1,549.1,581.8,558.0,1026.8,1120.0,1052.2182173295455
Vealer Heifer,330+,Processor,C,3,15,-43,334.0,360.0,341.53333333333336,13.1,596.4,642.9,609.9,1235.8,1440.0,1277.8766764322916
Vealer Heifer,330+,Processor,D,3,12,3,250.0,320.0,311.6666666666667,-2.6,463.0,592.6,577.2,875.0,1280.0,1213
Vealer Heifer,330+,Restocker,D,2,2,NQ,258.0,258.0,258,NQ,477.8,477.8,477.8,903.0,903.0,903
Manufacturing Steer,0-540,Dairy,D,2,1,NQ,265.0,265.0,265,NQ,552.1,552.1,552.1,1391.3,1391.3,1391.25
Manufacturing Steer,0-540,Dairy,E,1,2,NQ,220.0,220.0,220,NQ,478.3,478.3,478.3,1188.0,1188.0,1188
Manufacturing Steer,0-540,Processor,D,2,3,-4,272.0,280.0,277.3333333333333,-6.1,538.5,544.0,540.3,1360.0,1470.0,1433.3333333333333
Manufacturing Steer,540+,Dairy,D,1,57,2,272.0,295.0,286.10526315789474,-4.1,544.0,614.6,580.0,1610.0,2107.5,1817.8859649122808
Manufacturing Steer,540+,Dairy,D,2,107,-60,290.0,320.0,305.8411214953271,-0.2,563.5,605.8,586.1,1977.8,2362.5,2127.6518691588785
Manufacturing Steer,540+,Dairy,D,3,13,-16,312.0,312.0,312,27.6,600.0,600.0,600.0,1950.0,1950.0,1950
Manufacturing Steer,540+,Feeder,D,2,7,NQ,318.0,318.0,318,NQ,611.5,611.5,611.5,1749.0,1749.0,1749
Manufacturing Steer,540+,Processor,C,2,2,-7,326.0,326.0,326,23.8,603.7,603.7,603.7,1874.5,1874.5,1874.5
Manufacturing Steer,540+,Processor,D,2,46,-65,278.0,333.0,314.89130434782606,5.8,534.6,628.3,597.0,1556.8,2497.5,2142.350002122962
Manufacturing Steer,540+,Processor,D,3,84,-21,322.0,350.0,330.9761904761905,-1.2,603.7,648.1,618.3,2177.5,2526.5,2386.0476190476193
Manufacturing Steer,540+,Processor,D,4,24,9,270.0,322.0,290.9583333333333,-27.6,500.0,596.3,541.6,2212.5,2576.0,2389.4791666666665
Manufacturing Steer,540+,Restocker,D,2,4,NQ,310.0,312.0,311.5,NQ,596.2,600.0,599.0,1705.0,1794.0,1771.75
Grown Steer,500-600,Feeder,C,2,9,2,334.0,334.0,334,-4.0,618.5,618.5,618.5,1837.0,1837.0,1837
Grown Steer,500-600,Processor,C,2,21,20,345.0,347.0,345.85714285714283,23.9,638.9,642.6,640.5,1983.8,2070.0,2021.5357142857142
Grown Steer,500-600,Processor,C,3,9,-4,360.0,360.0,360,3.8,642.9,654.5,651.9,1980.0,2016.0,1988
Grown Steer,600-750,Feeder,C,2,4,NQ,334.0,334.0,334,NQ,618.5,618.5,618.5,2171.0,2171.0,2171
Grown Steer,600-750,Processor,B,2,6,5,335.0,335.0,335,10.0,587.7,587.7,587.7,2428.8,2428.8,2428.75
Grown Steer,600-750,Processor,B,3,6,5,354.0,358.0,354.6666666666667,4.7,617.2,632.1,629.7,2265.6,2327.0,2275.8333333333335
Grown Steer,600-750,Processor,C,4,22,-44,350.0,366.0,359.90909090909093,-1.7,628.6,665.5,650.7,2275.0,2737.5,2528.090909090909
Grown Steer,750+,Processor,C,4,2,-31,360.0,360.0,360,7.4,642.9,642.9,642.9,2880.0,2880.0,2880
Grown Heifer,0-540,Dairy,D,2,17,13,255.0,299.0,278.52941176470586,10.5,542.6,598.0,573.4,1147.5,1495.0,1334.7941176470588
Grown Heifer,0-540,Processor,D,2,18,15,265.0,290.0,277.77777777777777,-0.6,552.1,587.5,572.0,1375.0,1566.0,1486.9722222222222
Grown Heifer,0-540,Processor,D,3,7,NQ,290.0,330.0,301.42857142857144,NQ,557.7,634.6,579.7,1450.0,1567.5,1483.5714285714287
Grown Heifer,0-540,Processor,D,4,1,NQ,275.0,275.0,275,NQ,528.8,528.8,528.8,1306.3,1306.3,1306.25
Grown Heifer,540+,Processor,B,3,2,NQ,350.0,350.0,350,NQ,603.4,603.4,603.4,2187.5,2187.5,2187.5
Grown Heifer,540+,Processor,C,2,1,NQ,318.0,318.0,318,NQ,588.9,588.9,588.9,1828.5,1828.5,1828.5
Grown Heifer,540+,Processor,D,2,21,NQ,280.0,325.0,301.23809523809524,NQ,560.0,650.0,602.5,1540.0,1868.8,1690.452380952381
Grown Heifer,540+,Processor,D,3,67,37,320.0,345.0,338.95522388059703,12.6,592.6,638.9,629.7,1815.0,2208.0,2043.634328358209
Grown Heifer,540+,Processor,D,4,14,-11,290.0,320.0,303.2142857142857,-2.1,557.7,615.4,583.1,1595.0,2080.0,1903.0357142857142
