Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: TRLX Tamworth
Report Date: 15/07/2024
Comparison Date: 08/07/2024
Total Yarding: 1625 (-323)
Commentary
"There was a reduction in supply with cows making up a larger percentage of the offering. The quality and condition of the yarding was very mixed and had an impact on average prices in some categories. The usual buyers were in attendance with demand for most classes strong.

Restockers were active through the light weight young cattle with weaner steers selling to a dearer trend, improving by as much as 20c/kg. The heifer portion saw a slightly dearer trend. Lightweight yearling steers to restockers posted strong gains however there was a large quality related price range with buyers prepared to pay for the well finished lines while discounting the secondary and plain quality steers. Medium and heavy weight feeder steers were cheaper with few straight lines available. Quality was also a factor in price change. Well finished young cattle suitable to the trade were scarce with these selling to a much dearer trend. Medium and heavy weight yearling heifers to feed sold to a slightly cheaper trends.

Processor demand for well finished grown cattle was strong with both the heavy weight grown steers and heifers selling to dearer trends, odd sales posting significant improvement. Demand for cows was again high from processors with restockers also active on suitable lines of plain condition cows. The market continued its recent upward surge with the well finished heavy weights as much as 17c/kg dearer."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Heifer,0-540,Restocker,D,2,2,NQ,250.0,250.0,250,NQ,500.0,500.0,500.0,1000.0,1000.0,1000
Grown Heifer,540+,Processor,C,3,9,-19,285.0,307.0,293.22222222222223,17.7,548.1,579.2,559.0,1553.3,1688.5,1604.8055555555557
Grown Heifer,540+,Processor,C,4,4,NQ,328.0,328.0,328,NQ,618.9,618.9,618.9,1804.0,1804.0,1804
Cows,0-400,Restocker,D,2,52,NQ,180.0,221.0,202.07692307692307,NQ,400.0,491.1,449.1,666.0,839.8,759.5846228966346
Cows,400-520,Processor,D,2,202,108,165.0,247.0,213.3019801980198,5.6,366.7,525.5,472.2,742.5,1197.9,956.6896199141398
Cows,400-520,Processor,D,3,40,13,200.0,278.0,241.275,5.3,425.5,579.2,508.9,970.0,1390.0,1146.75751953125
Cows,400-520,Restocker,D,1,7,NQ,120.0,120.0,120,NQ,285.7,285.7,285.7,504.0,504.0,504
Cows,400-520,Restocker,D,2,58,53,182.0,238.0,227.6551724137931,54.7,404.4,528.9,505.9,799.8,1035.0,974.2827443089978
Cows,520+,Processor,D,3,130,-49,250.0,295.0,276.5153846153846,35.3,520.8,590.0,563.4,1325.0,1710.0,1538.80615234375
Cows,520+,Processor,D,4,60,-119,272.0,297.0,288.3666666666667,26.7,548.0,608.3,581.4,1523.2,1839.6,1685.459981282552
Cows,520+,Processor,D,5,4,NQ,240.0,260.0,255,NQ,500.0,541.7,531.3,1368.0,1638.0,1570.5
Bulls,0-450,Processor,C,2,8,NQ,230.0,250.0,240.75,NQ,425.9,463.0,445.8,812.0,1035.0,902.625
Bulls,450-600,Processor,B,2,1,-1,250.0,250.0,250,43.5,446.4,446.4,446.4,1450.0,1450.0,1450
Bulls,450-600,Processor,C,2,1,NQ,228.0,228.0,228,NQ,422.2,422.2,422.2,1322.4,1322.4,1322.4000244140625
Bulls,600+,Processor,B,2,4,-1,230.0,257.0,246.25,26.3,410.7,458.9,439.7,1564.0,2150.0,1852.1499633789062
Bulls,600+,Processor,C,2,5,NQ,218.0,240.0,225.2,NQ,403.7,444.4,417.0,1650.0,1874.8,1751.360009765625
