Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Charters Towers
Report Date: 20/11/2024
Comparison Date: 13/11/2024
Total Yarding: 2261 (-443)
Commentary
"Numbers decreased by 443 for a yarding of 2261 cattle. It was a mixed quality yarding consisting of some isolated good pens of heavy cows and bullocks, some very good individual animals, along with plainer conditioned lines. All regulars processors were in attendance and operating, supported by one feeder, one live exporter and opportunity backgrounders. Cattle were drawn from Richmond, Croydon, Mt Surprise, Torrens Creek, Pentland, local and coastal areas.

Buyer demand was strong for the majority penned, particularly good quality store steers and heifers, however heavy bulls met notably less demand. Grown steers and heifers lifted up to 15c, heavy bullocks increased 9c, heavy cows improved by. 5c and bulls averaged 30c to 60c lower.

Suitably weaned steers returning to the paddock sold to 282c to average 259c, similarly heifers averaged 246c/kg. A large sample of steers above 200kg to backgrounders made to 360c to average 314c/kg. Good quality flatback heifers made to 278c to average 253c to 263c/kg. Yearling steers above above 330kg to restockers sold to 326c to average 304c to 308c and those suitable for live export sold to 294c/kg. Yearling heifers above 200kg to the trade sold to 248c, averaging 242c and heifers above 330kg to feed averaged 275c/kg. Good quality yearling heifers above 400kg to the trade sold to 290c/kg.  A small number of Grown steers to the trade sold to 318c to average 309c, grown heifers to the trade reached 264c to average 245c/kg. 

Heavy young bullocks to export slaughter topped at 345c to average 326c/kg. Medium weight 3 score cows to processors sold to 280c to average 251c, prime heavyweight cows 4 score cows topped at 288c to average 283c/kg. Heavy bulls to live export sold to 284c, processor bulls reached 276c to average 240c/kg.

A small number of cows and calves sold to $935 per unit.

Market Reporter, Mick Kingham"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Feeder,C,2,1,NQ,256.0,256.0,256,NQ,492.3,492.3,492.3,704.0,704.0,704
Yearling Steer,200-280,Feeder,D,2,14,-27,170.0,202.0,179.14285714285714,-42.5,326.9,388.5,344.5,433.5,555.5,468.35714285714283
Yearling Steer,200-280,Feeder,E,2,1,NQ,20.0,20.0,20,NQ,39.2,39.2,39.2,48.0,48.0,48
Yearling Steer,200-280,Restocker,C,2,16,-38,266.0,266.0,266,-20.4,511.5,511.5,511.5,731.5,731.5,731.5
Yearling Steer,200-280,Restocker,D,2,17,-39,220.0,278.0,254.7058823529412,-16.5,423.1,534.6,489.8,528.0,722.8,648.8235294117648
Yearling Steer,280-330,Feeder,C,2,1,-12,252.0,252.0,252,-28.0,484.6,484.6,484.6,831.6,831.6,831.5999755859375
Yearling Steer,280-330,Feeder,D,2,6,NQ,170.0,248.0,235,NQ,326.9,476.9,451.9,552.5,768.8,732.75
Yearling Steer,280-330,Processor,D,2,9,8,170.0,210.0,174.44444444444446,-67.6,333.3,403.8,341.2,544.0,630.0,553.5555555555555
Yearling Steer,280-330,Restocker,D,2,37,NQ,240.0,302.0,286.7027027027027,NQ,461.5,580.8,551.6,684.0,951.3,888.5999920819256
Yearling Steer,330-400,Feeder,D,2,13,NQ,150.0,302.0,285.53846153846155,NQ,294.1,580.8,549.5,532.5,1072.1,1011.8153545673077
Yearling Steer,330-400,Feeder,E,2,1,NQ,40.0,40.0,40,NQ,78.4,78.4,78.4,140.0,140.0,140
Yearling Steer,330-400,Live Export,C,2,10,-4,294.0,294.0,294,26.0,565.4,565.4,565.4,984.9,984.9,984.9
Yearling Steer,330-400,Processor,D,2,4,NQ,210.0,260.0,235,NQ,403.8,500.0,451.9,829.5,1014.0,921.75
Yearling Steer,330-400,Restocker,C,2,19,NQ,274.0,326.0,303.57894736842104,NQ,517.0,615.1,572.8,1054.9,1185.0,1115.6421155427631
Yearling Steer,330-400,Restocker,D,2,7,NQ,282.0,318.0,307.7142857142857,NQ,542.3,611.5,591.8,972.9,1097.1,1061.614292689732
Yearling Steer,400+,Feeder,C,2,1,-20,292.0,292.0,292,-18.0,561.5,561.5,561.5,1343.2,1343.2,1343.199951171875
Yearling Steer,400+,Processor,D,2,1,NQ,250.0,250.0,250,NQ,480.8,480.8,480.8,1137.5,1137.5,1137.5
Yearling Heifer,200-280,Feeder,C,2,21,20,240.0,240.0,240,-18.0,461.5,461.5,461.5,660.0,660.0,660
Yearling Heifer,200-280,Feeder,D,2,27,-6,190.0,246.0,233.55555555555554,33.0,365.4,473.1,449.1,437.0,676.5,623.2777777777778
Yearling Heifer,200-280,Feeder,E,2,6,NQ,160.0,160.0,160,NQ,313.7,313.7,313.7,344.0,344.0,344
Yearling Heifer,200-280,Processor,C,2,35,NQ,238.0,248.0,242,NQ,457.7,476.9,465.4,571.2,669.6,610.5599888392857
Yearling Heifer,200-280,Processor,D,2,16,NQ,230.0,254.0,239.75,NQ,442.3,488.5,461.1,529.0,685.8,616.4562377929688
Yearling Heifer,200-280,Processor,E,2,2,NQ,230.0,230.0,230,NQ,442.3,442.3,442.3,540.5,540.5,540.5
Yearling Heifer,200-280,Restocker,D,2,6,-33,180.0,264.0,234,-12.8,346.2,507.7,450.0,387.0,726.0,561.5
Yearling Heifer,280-330,Feeder,C,2,8,NQ,242.0,250.0,246,NQ,465.4,480.8,473.1,775.0,812.5,785.4375
Yearling Heifer,280-330,Feeder,D,2,31,-7,200.0,264.0,250.51612903225808,17.4,384.6,512.0,482.4,630.0,871.2,801.2741994550152
Yearling Heifer,280-330,Processor,C,2,11,NQ,255.0,288.0,276,NQ,490.4,553.8,530.8,765.0,892.8,846.3272816051136
Yearling Heifer,280-330,Processor,D,2,19,6,206.0,256.0,238.52631578947367,6.8,396.2,492.3,458.7,597.4,793.6,687.3421052631579
Yearling Heifer,280-330,Restocker,C,2,7,NQ,256.0,256.0,256,NQ,492.3,492.3,492.3,729.6,729.6,729.5999581473214
Yearling Heifer,280-330,Restocker,D,2,3,-23,150.0,150.0,150,-112.9,288.5,288.5,288.5,465.0,465.0,465
Yearling Heifer,330-400,Feeder,C,2,5,-13,268.0,272.0,270.4,4.2,505.7,513.2,510.2,978.2,1047.2,1019.5999755859375
Yearling Heifer,330-400,Feeder,D,2,81,60,260.0,278.0,275.08641975308643,14.3,500.0,534.6,529.0,890.8,1007.4,980.4864388925058
Yearling Heifer,330-400,Processor,C,2,2,-43,240.0,240.0,240,-39.6,452.8,452.8,452.8,924.0,924.0,924
Yearling Heifer,330-400,Processor,C,3,16,-3,272.0,272.0,272,20.0,513.2,513.2,513.2,965.6,965.6,965.5999755859375
Yearling Heifer,330-400,Processor,D,2,1,-1,256.0,256.0,256,50.0,492.3,492.3,492.3,857.6,857.6,857.5999755859375
Yearling Heifer,400+,Feeder,C,2,1,NQ,270.0,270.0,270,NQ,519.2,519.2,519.2,1255.5,1255.5,1255.5
Yearling Heifer,400+,Processor,C,3,3,NQ,284.0,290.0,288,NQ,535.8,547.2,543.4,1192.8,1203.5,1199.933349609375
Vealer Steer,0-200,Restocker,D,2,139,93,236.0,282.0,259.136690647482,3.1,453.8,542.3,498.3,342.2,507.6,432.86474960656477
Vealer Steer,0-200,Restocker,E,2,2,NQ,170.0,170.0,170,NQ,333.3,333.3,333.3,238.0,238.0,238
Vealer Steer,200-280,Restocker,C,2,38,-43,210.0,312.0,281.42105263157896,27.2,403.8,600.0,541.2,475.6,800.8,640.5999820106908
Vealer Steer,200-280,Restocker,D,2,130,57,272.0,360.0,313.32307692307694,36.4,523.1,692.3,602.5,569.9,846.0,683.3400033804087
Vealer Steer,330+,Feeder,C,2,10,NQ,258.0,258.0,258,NQ,496.2,496.2,496.2,1096.5,1096.5,1096.5
Vealer Steer,330+,Processor,D,2,2,NQ,140.0,140.0,140,NQ,269.2,269.2,269.2,567.0,609.0,588
Vealer Heifer,0-200,Feeder,E,2,10,NQ,150.0,150.0,150,NQ,294.1,294.1,294.1,277.5,277.5,277.5
Vealer Heifer,0-200,Restocker,C,2,11,NQ,240.0,240.0,240,NQ,461.5,461.5,461.5,468.0,468.0,468
Vealer Heifer,0-200,Restocker,D,2,27,3,160.0,258.0,245.4814814814815,9.2,307.7,496.2,472.1,312.0,503.1,478.688892505787
Vealer Heifer,200-280,Feeder,D,2,11,10,212.0,212.0,212,-6.0,407.7,407.7,407.7,434.6,434.6,434.60000887784093
Vealer Heifer,200-280,Processor,C,2,6,3,230.0,230.0,230,4.0,442.3,442.3,442.3,540.5,540.5,540.5
Vealer Heifer,200-280,Restocker,C,2,67,NQ,258.0,278.0,262.5970149253731,NQ,496.2,534.6,505.0,528.9,736.7,590.8044761543844
Vealer Heifer,200-280,Restocker,D,2,56,-5,250.0,254.0,252.85714285714286,17.2,480.8,488.5,486.3,525.0,596.9,574.7696663992746
