Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Mt Compass
Report Date: 29/01/2025
Comparison Date: 22/01/2025
Total Yarding: 936 (-542)
Commentary
"Numbers reduced substantially this week as agents offered 936 liveweight cattle. Female cattle again made up the bulk of the offering that included 289 cows, 239 heifers and 388 steers. Quality was again mixed with 2 score cattle well represented. The usual trade and processor buyers, feeders and restockers were active across the offering in a sale that returned mixed results.

Vealer steers and heifers eased 30c to 50c/kg as steers sold from 200c to 320c with heifers fetching 207c to 301c/kg. Yearling steers and heifers also eased by 10c to 30c/kg with steers selling from 200c to 349c while heifers ranged from 181c to 321c/kg.

A small selection of manufacturing steers saw dairy breeds selling from 167c to 270c with beef breeds fetching 290c to 310c/kg. Grown steers and heifers improved by 15c to 40c/kg as steers sold from 267c to 359c with heifers ranging from 180c to 343c/kg.

Another good selection of cows sold mostly 10c to 20c dearer than the previous sale with light dairy cows selling from 40c to 80c/kg and beef types 140c to 240c/kg. Medium weight beef cows sold from 229c to 289c with dairy types fetching 80c to 171c/kg. Heavy beef cows sold from 187c to 327c as dairy types ranged from 170c to 271c/kg. Bulls sold from 230c to 300c/kg.

Market reporter: John Traeger."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Restocker,C,2,18,-4,200.0,305.0,265.55555555555554,-25.4,400.0,610.0,531.1,615.0,960.8,821.5083279079861
Yearling Steer,280-330,Restocker,C,3,4,1,230.0,230.0,230,-60.0,460.0,460.0,460.0,749.8,749.8,749.7999877929688
Yearling Steer,330-400,Feeder,C,2,9,6,280.0,330.0,318.8888888888889,22.9,560.0,660.0,637.8,1069.6,1296.9,1246.3888617621528
Yearling Steer,330-400,Processor,C,3,8,6,300.0,325.0,309.25,-10.8,600.0,650.0,618.5,1023.0,1257.8,1111.635009765625
Yearling Steer,330-400,Restocker,C,2,37,-3,250.0,320.0,300.81081081081084,-7.1,500.0,640.0,601.6,857.5,1200.0,1061.4729795713683
Yearling Steer,330-400,Restocker,C,3,38,8,280.0,320.0,310,-5.9,560.0,640.0,620.0,980.0,1184.2,1122.768464740954
Yearling Steer,400+,Feeder,C,2,18,-3,270.0,332.0,296.5,-13.1,540.0,664.0,593.0,1107.0,1612.0,1271.9472249348958
Yearling Steer,400+,Feeder,C,3,14,NC,291.0,320.0,297.57142857142856,-26.6,582.0,640.0,595.1,1251.3,1440.0,1284.771449497768
Yearling Steer,400+,Processor,C,3,6,-10,310.0,349.0,339.3333333333333,3.7,620.0,698.0,678.7,1501.5,1678.7,1619.9599609375
Yearling Steer,400+,Restocker,C,2,3,-5,300.0,310.0,306.6666666666667,-31.7,600.0,620.0,613.3,1230.0,1302.0,1278
Yearling Steer,400+,Restocker,C,3,6,NQ,320.0,320.0,320,NQ,640.0,640.0,640.0,1296.0,1296.0,1296
Yearling Heifer,280-330,Restocker,C,2,12,NC,200.0,220.0,204.16666666666666,-17.3,400.0,440.0,408.3,609.0,671.0,648.5833333333334
Yearling Heifer,280-330,Restocker,D,2,3,2,181.0,181.0,181,4.0,385.1,385.1,385.1,530.3,530.3,530.3299967447916
Yearling Heifer,330-400,Feeder,C,2,1,-2,260.0,260.0,260,-30.0,520.0,520.0,520.0,988.0,988.0,988
Yearling Heifer,330-400,Feeder,C,3,11,10,267.0,280.0,275.27272727272725,35.3,534.0,560.0,550.5,1060.0,1094.8,1082.1418678977273
Yearling Heifer,330-400,Processor,C,3,2,-2,280.0,310.0,295,-22.5,560.0,620.0,590.0,1050.0,1209.0,1129.5
Yearling Heifer,330-400,Restocker,C,2,15,1,220.0,300.0,257.3333333333333,25.9,440.0,600.0,514.7,741.4,1140.0,907.6533365885417
Yearling Heifer,330-400,Restocker,C,3,3,-6,260.0,280.0,273.3333333333333,3.3,520.0,560.0,546.7,1001.0,1064.0,1043
Yearling Heifer,400+,Feeder,C,3,4,NC,260.0,310.0,282.5,-1.3,520.0,620.0,565.0,1053.0,1271.0,1171.7999877929688
Yearling Heifer,400+,Processor,C,3,6,-9,270.0,321.0,288.5,-41.6,540.0,642.0,577.0,1147.5,1380.3,1266.8000081380208
Yearling Heifer,400+,Restocker,C,2,1,NQ,220.0,220.0,220,NQ,440.0,440.0,440.0,913.0,913.0,913
Yearling Heifer,400+,Restocker,C,3,2,-6,280.0,280.0,280,-11.3,560.0,560.0,560.0,1223.6,1223.6,1223.5999755859375
Vealer Steer,0-200,Restocker,C,2,11,NQ,320.0,320.0,320,NQ,640.0,640.0,640.0,592.0,592.0,592
Vealer Steer,200-280,Restocker,C,2,7,-26,200.0,289.0,272.42857142857144,-68.3,400.0,578.0,544.9,550.0,764.4,728.2000558035714
Vealer Steer,200-280,Restocker,C,3,1,-6,250.0,250.0,250,-55.7,500.0,500.0,500.0,562.5,562.5,562.5
Vealer Steer,280-330,Processor,C,3,2,NC,290.0,290.0,290,-68.0,580.0,580.0,580.0,933.8,933.8,933.7999877929688
Vealer Steer,280-330,Restocker,C,2,11,6,260.0,310.0,295.45454545454544,11.5,520.0,620.0,590.9,785.2,979.6,897.5636208274148
Vealer Steer,280-330,Restocker,C,3,7,-15,270.0,270.0,270,-66.6,540.0,540.0,540.0,796.5,812.7,803.44287109375
Vealer Steer,330+,Restocker,C,3,14,NQ,300.0,300.0,300,NQ,600.0,600.0,600.0,1029.0,1029.0,1029
Vealer Heifer,200-280,Restocker,C,2,10,-8,210.0,220.0,215,-2.3,420.0,440.0,430.0,550.0,583.8,566.9
Vealer Heifer,280-330,Processor,C,3,3,-2,301.0,301.0,301,-24.0,602.0,602.0,602.0,963.2,963.2,963.2000325520834
Vealer Heifer,280-330,Restocker,C,2,5,-9,207.0,207.0,207,-28.0,414.0,414.0,414.0,592.0,592.0,592.02001953125
Vealer Heifer,280-330,Restocker,C,3,9,7,230.0,230.0,230,-30.0,460.0,460.0,460.0,717.6,717.6,717.5999891493055
Vealer Heifer,330+,Processor,C,3,3,NQ,280.0,281.0,280.6666666666667,NQ,560.0,562.0,561.3,966.0,969.5,968.3000081380209
Vealer Heifer,330+,Restocker,C,3,7,NQ,270.0,270.0,270,NQ,540.0,540.0,540.0,945.0,945.0,945
Manufacturing Steer,540+,Dairy,D,2,3,NQ,167.0,270.0,232.33333333333334,NQ,355.3,574.5,494.3,1052.1,1984.5,1527.8666585286458
Manufacturing Steer,540+,Processor,C,3,4,3,290.0,310.0,295,-35.0,580.0,620.0,590.0,2415.7,2511.0,2439.52490234375
Grown Steer,0-400,Restocker,C,2,2,NQ,285.0,285.0,285,NQ,570.0,570.0,570.0,1128.6,1128.6,1128.5999755859375
Grown Steer,400-500,Feeder,C,2,12,-6,280.0,330.0,308.9166666666667,19.1,560.0,660.0,617.8,1358.0,1524.6,1445.3624979654949
Grown Steer,400-500,Feeder,C,3,1,-4,320.0,320.0,320,27.2,640.0,640.0,640.0,1520.0,1520.0,1520
Grown Steer,400-500,Processor,C,2,4,3,267.0,290.0,278.5,18.5,534.0,580.0,557.0,1201.5,1450.0,1325.75
Grown Steer,400-500,Processor,C,3,2,-41,337.0,340.0,338.5,38.8,674.0,680.0,677.0,1581.0,1668.2,1624.5750122070312
Grown Steer,400-500,Processor,D,2,1,NQ,100.0,100.0,100,NQ,212.8,212.8,212.8,495.0,495.0,495
Grown Steer,500-600,Feeder,C,2,1,-4,325.0,325.0,325,30.0,650.0,650.0,650.0,1673.8,1673.8,1673.75
Grown Steer,500-600,Feeder,C,3,6,-1,330.0,341.0,339.1666666666667,27.6,660.0,682.0,678.3,1699.5,1810.7,1792.1749674479167
Grown Steer,500-600,Processor,C,2,8,5,289.0,339.0,319.625,48.6,578.0,678.0,639.3,1508.6,1781.6,1676.1162719726562
Grown Steer,500-600,Processor,C,3,22,19,280.0,359.0,340.45454545454544,13.1,560.0,718.0,680.9,1442.0,2082.2,1836.074141068892
Grown Steer,600-750,Processor,C,3,1,-23,330.0,330.0,330,-26.0,660.0,660.0,660.0,2128.5,2128.5,2128.5
Grown Heifer,0-540,Feeder,C,2,8,7,273.0,300.0,283.625,16.6,546.0,600.0,567.3,1187.6,1443.0,1314.7250213623047
Grown Heifer,0-540,Feeder,C,3,4,-5,283.0,320.0,301.5,25.3,566.0,640.0,603.0,1287.7,1424.0,1355.8250122070312
Grown Heifer,0-540,Feeder,D,2,1,-5,280.0,280.0,280,49.3,595.7,595.7,595.7,1330.0,1330.0,1330
Grown Heifer,0-540,Processor,C,2,4,-1,231.0,331.0,285.25,13.4,462.0,662.0,570.5,1027.9,1621.9,1349.9624938964844
Grown Heifer,0-540,Processor,C,3,24,3,270.0,343.0,323.2916666666667,29.2,540.0,686.0,646.6,1309.5,1821.3,1625.8716227213542
Grown Heifer,0-540,Restocker,C,2,9,NQ,273.0,280.0,273.77777777777777,NQ,546.0,560.0,547.6,1165.7,1302.0,1180.853298611111
Grown Heifer,0-540,Restocker,D,2,7,NQ,180.0,180.0,180,NQ,383.0,383.0,383.0,619.2,619.2,619.1999860491071
Grown Heifer,540+,Processor,C,2,1,NC,261.0,261.0,261,-59.0,522.0,522.0,522.0,1435.5,1435.5,1435.5
Grown Heifer,540+,Processor,C,3,6,-5,277.0,333.0,316.5,-15.3,554.0,666.0,633.0,1509.7,2409.0,1958.9749959309895
Cows,0-400,Dairy,D,2,3,NQ,40.0,40.0,40,NQ,85.1,85.1,85.1,144.0,152.8,149.86666870117188
Cows,0-400,Processor,D,2,9,8,150.0,239.0,166,36.0,319.1,508.5,353.2,514.5,956.0,595.2222222222222
Cows,0-400,Restocker,C,2,3,NQ,223.0,240.0,228.66666666666666,NQ,446.0,480.0,457.3,785.0,936.0,835.3066813151041
Cows,0-400,Restocker,D,2,12,-5,140.0,233.0,212.25,24.7,297.9,495.7,451.6,483.0,892.4,804.3341878255209
Cows,400-520,Dairy,D,2,6,4,80.0,171.0,151.83333333333334,-8.2,170.2,363.8,323.0,344.0,875.5,728.7833353678385
Cows,400-520,Processor,C,2,33,-50,229.0,281.0,258.8181818181818,-3.4,458.0,562.0,517.6,1058.3,1392.3,1231.6836640329072
Cows,400-520,Processor,C,3,8,-25,255.0,289.0,273.5,-6.0,510.0,578.0,547.0,1219.0,1488.3,1362.2374877929688
Cows,400-520,Processor,D,2,47,16,239.0,267.0,256.1914893617021,19.6,508.5,568.1,545.1,1065.6,1364.8,1211.4889435463763
Cows,400-520,Restocker,D,2,1,-20,237.0,237.0,237,32.7,504.3,504.3,504.3,1030.9,1030.9,1030.949951171875
Cows,520+,Dairy,D,2,16,-23,170.0,271.0,223.6875,-8.6,361.7,576.6,475.9,938.4,1789.3,1409.2756118774414
