Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Bairnsdale
Report Date: 29/02/2024
Comparison Date: 15/02/2024
Total Yarding: 551 (-91)
Commentary
"There were approximately 475 export and 75 young cattle penned representing a decrease of 90 head from the sale of a fortnight ago. An export processor rejoined the regular buyers after a long absence in a dearer market in places. Quality improved with a better selection of prime cattle and more finish throughout. Finished trade cattle sold close to firm while plainer young cattle sold up to 45c/kg cheaper. Grown cattle sold mostly 15c to 30c/kg dearer with quality playing a role. Heavy cows sold from 5c to 15c/kg dearer while a buyer not operating on leaner grades saw prices up to 15c/kg cheaper and sparked more interest from restockers. Heavy bulls lost 7c/kg. 

A couple of vealers lacking finish sold from 250c to 275c/kg. Yearling heifers suited to the trade made between 255c and 275c/kg. Grown steers and bullocks sold between 258c and 306c/kg. 

Heavy manufacturing steers made from 220c to 287c/kg. Most light and medium weight cows sold from 110c to 235c/kg. Heavy weight cows made mostly between 190c and 264c/kg. Heavy bulls sold between 219c and 244c/kg. 

Market reporter: Brendan Fletcher."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Cows,0-400,Restocker,E,1,11,NQ,100.0,140.0,104.54545454545455,NQ,261.9,333.3,269.4,387.0,553.0,406.90909090909093
Cows,400-520,Dairy,D,1,2,NQ,170.0,170.0,170,NQ,377.8,377.8,377.8,833.0,833.0,833
Cows,400-520,Dairy,E,1,14,5,125.0,142.0,133.5,3.1,297.6,338.1,317.9,648.8,690.1,669.4349888392857
Cows,400-520,Processor,D,1,11,8,165.0,192.0,174.9090909090909,-15.1,366.7,426.7,388.7,816.8,937.0,857.3018132990056
Cows,400-520,Processor,D,2,16,1,187.0,235.0,217,3.4,397.9,489.6,457.9,841.5,1163.3,1032.224365234375
Cows,400-520,Processor,D,3,1,NQ,236.0,236.0,236,NQ,491.7,491.7,491.7,1132.8,1132.8,1132.800048828125
Cows,400-520,Restocker,D,2,8,-1,247.0,247.0,247,14.1,525.5,525.5,525.5,1109.0,1109.0,1109.030029296875
Cows,400-520,Restocker,E,1,44,NQ,110.0,256.0,141.5,NQ,261.9,581.8,324.0,470.8,1267.2,609.8268321644176
Cows,520+,Dairy,D,3,1,NQ,220.0,220.0,220,NQ,440.0,440.0,440.0,1628.0,1628.0,1628
Cows,520+,Processor,B,2,1,NQ,265.0,265.0,265,NQ,490.7,490.7,490.7,1537.0,1537.0,1537
Cows,520+,Processor,C,2,3,NQ,260.0,260.0,260,NQ,500.0,500.0,500.0,1469.0,1469.0,1469
Cows,520+,Processor,D,1,6,5,190.0,210.0,198,18.0,422.2,456.5,435.0,1001.3,1168.2,1083.8499755859375
Cows,520+,Processor,D,2,29,-5,206.0,242.0,222.86206896551724,5.1,429.2,493.9,469.7,1122.7,1606.0,1217.203091325431
Cows,520+,Processor,D,3,23,-34,238.0,257.0,242.95652173913044,12.6,476.0,514.0,492.7,1296.0,1630.3,1447.0504628057065
Cows,520+,Processor,D,4,51,-24,240.0,264.0,255.09803921568627,14.0,473.1,507.7,492.1,1459.9,1781.0,1656.2305932138481
Cows,520+,Processor,D,5,8,-8,236.0,236.0,236,15.1,453.8,472.0,456.1,1427.8,1996.6,1925.4649963378906
Cows,520+,Processor,E,1,4,NQ,166.0,166.0,166,NQ,368.9,368.9,368.9,962.8,962.8,962.7999877929688
Cows,520+,Restocker,D,2,7,NQ,224.0,224.0,224,NQ,476.6,476.6,476.6,1241.0,1241.0,1240.9599609375
Bulls,450-600,Processor,B,2,1,NQ,236.0,236.0,236,NQ,414.0,414.0,414.0,1298.0,1298.0,1298
Bulls,450-600,Processor,C,2,2,NQ,223.0,231.0,227,NQ,412.5,413.0,412.7,1137.3,1316.7,1227
Bulls,600+,Dairy,D,2,4,NQ,219.0,219.0,219,NQ,413.2,413.2,413.2,1927.2,1927.2,1927.199951171875
Bulls,600+,Processor,B,2,3,2,242.0,244.0,243.33333333333334,-8.7,406.7,420.7,414.9,1609.3,2232.6,1935.36669921875
Bulls,600+,Processor,C,1,1,NQ,217.0,217.0,217,NQ,401.9,401.9,401.9,1660.1,1660.1,1660.050048828125
Bulls,600+,Processor,C,2,9,-1,220.0,240.0,228.55555555555554,-6.8,392.9,428.6,408.1,1639.0,2549.8,2013.8500027126736
Bulls,600+,Processor,C,3,5,-2,235.0,243.0,239.6,3.6,412.3,426.3,418.9,2052.0,2444.0,2212.72001953125
Bulls,600+,Processor,C,4,1,NQ,220.0,220.0,220,NQ,379.3,379.3,379.3,2387.0,2387.0,2387
