Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Gunnedah
Report Date: 17/09/2024
Comparison Date: 10/09/2024
Total Yarding: 2700 (-270)
Commentary
"There was a small reduction in supply however the offloading of female cattle in large numbers continued. Medium and heavy weight yearlings were well supplied with some high quality lines presented. Overall the quality and condition of the offering was fair to good in front of the full field of regular buyers.

Restocker demand was strong on light and medium weight yearling steers as well as the few weaners. This resulted in dearer trends for those from 280 to 400kg. The lighter weights were cheaper. Medium and heavy weight feeder steers sold on a firm to slightly cheaper trend however much of the price change was breed related. Yearlings heifers sold on a firm to cheaper trend with only the highest quality lots showing little change. The weight of numbers contributing. Some of the largest price falls were in the lighter weight classes.

There were cheaper trends for the heavy grown steers to process with age accounting for some of the price fall. The well finished grown heifers to process also sold to a slightly cheaper trend. There were cheaper trends for the most part in the cow market, as much as 11c/kg on the well finished heavy weights. A large supply of high yielding bulls were dearer under strong processor competition."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Steer,500-600,Processor,C,3,26,15,328.0,366.0,339.38461538461536,-13.2,607.4,677.8,628.5,1768.0,2006.0,1880.3692157451924
Grown Steer,600-750,Processor,C,3,12,NQ,365.0,370.0,365.8333333333333,NQ,675.9,685.2,677.5,2257.0,2372.5,2353.25
Grown Steer,600-750,Processor,C,4,8,4,340.0,370.0,347.5,-25.0,629.6,685.2,643.5,2312.0,2405.0,2335.25
Grown Heifer,0-540,Feeder,C,3,11,-22,305.0,305.0,305,-32.9,586.5,586.5,586.5,1174.3,1174.3,1174.25
Grown Heifer,0-540,Feeder,C,4,29,NQ,300.0,320.0,316.55172413793105,NQ,566.0,615.4,606.9,1230.0,1552.0,1496.4827586206898
Grown Heifer,0-540,Processor,C,3,44,5,312.0,330.0,321.5681818181818,-2.6,588.7,634.6,616.0,1394.8,1749.0,1543.6318470348012
Grown Heifer,0-540,Processor,C,4,11,10,337.0,384.0,341.27272727272725,16.3,635.8,738.5,645.2,1516.5,1920.0,1553.1818181818182
Grown Heifer,0-540,Processor,D,3,4,-3,298.0,302.0,299,-6.0,584.3,592.2,586.3,1464.7,1579.4,1550.7250366210938
Grown Heifer,540+,Processor,C,4,7,-36,346.0,346.0,346,3.4,665.4,665.4,665.4,2076.0,2076.0,2076
Cows,400-520,Processor,D,2,8,-22,276.0,276.0,276,-0.2,613.3,613.3,613.3,1338.6,1338.6,1338.5999755859375
Cows,400-520,Processor,D,3,56,22,265.0,296.0,286.7142857142857,-10.6,563.8,612.8,590.7,1238.4,1470.0,1363.6946716308594
Cows,400-520,Processor,D,4,1,NC,291.0,291.0,291,7.0,582.0,582.0,582.0,1455.0,1455.0,1455
Cows,520+,Processor,D,3,29,-18,265.0,298.0,285.17241379310343,-24.0,563.8,621.3,599.7,1431.0,1635.2,1536.0896837957973
Cows,520+,Processor,D,4,212,14,295.0,322.0,309.37735849056605,-6.3,590.0,652.1,620.5,1593.0,2205.0,1864.7061301177403
Cows,520+,Processor,D,5,3,-23,305.0,305.0,305,1.2,610.0,610.0,610.0,2135.0,2135.0,2135
Bulls,0-450,Processor,C,2,11,-20,240.0,260.0,250.45454545454547,-1.2,444.4,481.5,463.8,840.0,1118.0,1001.5454545454545
Bulls,450-600,Processor,C,2,10,-19,250.0,272.0,269.8,11.6,463.0,503.7,499.6,1187.5,1278.4,1269.31005859375
Bulls,600+,Processor,B,2,15,NC,295.0,312.0,301.8666666666667,11.7,517.2,557.1,536.6,2190.4,2790.0,2594.999967447917
Bulls,600+,Processor,B,3,11,-12,290.0,314.0,302.45454545454544,8.9,517.9,560.7,538.4,2415.3,3775.0,2666.409090909091
Bulls,600+,Processor,C,2,28,15,250.0,298.0,273.25,0.0,463.0,551.9,506.0,1525.0,2264.8,1856.1250174386162
Bulls,600+,Processor,C,3,3,2,245.0,285.0,268.3333333333333,8.3,453.7,527.8,496.9,2033.5,2394.0,2236.6666666666665
