Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Not Selected
Report Date: 
Comparison Date: Date not set
Please complete selections
Commentary


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Steer,500-600,Feeder,C,3,3,NQ,374.0,374.0,374,NQ,719.2,719.2,719.2,1982.2,1982.2,1982.1998697916667
Grown Steer,500-600,Processor,C,2,43,-3,342.0,365.0,358.09302325581393,-0.3,657.7,701.9,688.6,1881.0,2088.0,2002.4279274164244
Grown Steer,500-600,Processor,C,3,39,18,365.0,405.0,389.20512820512823,15.8,701.9,778.8,748.5,2022.3,2430.0,2194.605168269231
Grown Steer,600-750,Dairy,D,1,20,NQ,325.0,325.0,325,NQ,625.0,625.0,625.0,1998.8,1998.8,1998.75
Grown Steer,600-750,Feeder,C,2,6,3,390.0,390.0,390,9.3,750.0,750.0,750.0,2457.0,2457.0,2457
Grown Steer,600-750,Processor,C,2,12,-5,370.0,386.0,374.3333333333333,8.2,711.5,742.3,719.9,2431.8,2479.0,2469.633341471354
Grown Steer,600-750,Processor,C,3,40,5,382.0,420.0,400.55,17.3,734.6,807.7,770.3,2330.2,2646.0,2530.175012207031
Grown Steer,750+,Processor,C,2,4,NQ,370.0,370.0,370,NQ,711.5,711.5,711.5,2923.0,2923.0,2923
Grown Heifer,0-540,Dairy,D,1,8,NQ,375.0,375.0,375,NQ,721.2,721.2,721.2,1875.0,1875.0,1875
Grown Heifer,0-540,Feeder,C,3,7,NQ,365.0,365.0,365,NQ,701.9,701.9,701.9,1825.0,1825.0,1825
Grown Heifer,0-540,Processor,C,2,12,5,318.0,344.0,339.6666666666667,-20.3,611.5,716.7,699.1,1590.0,1651.2,1641
Grown Heifer,0-540,Processor,C,3,1,NQ,375.0,375.0,375,NQ,721.2,721.2,721.2,1875.0,1875.0,1875
Grown Heifer,0-540,Processor,D,1,10,NQ,270.0,270.0,270,NQ,519.2,519.2,519.2,1282.5,1282.5,1282.5
Grown Heifer,540+,Dairy,D,1,5,NQ,317.0,317.0,317,NQ,609.6,609.6,609.6,1806.9,1806.9,1806.9
Grown Heifer,540+,Dairy,D,2,21,-11,338.0,338.0,338,38.0,650.0,650.0,650.0,2095.6,2095.6,2095.600074404762
Grown Heifer,540+,Processor,C,2,11,-13,330.0,360.0,348.1818181818182,-27.8,634.6,692.3,669.6,1881.0,2124.0,2023.1090864701705
Grown Heifer,540+,Processor,C,3,13,6,375.0,386.0,382.61538461538464,53.9,721.2,742.3,735.8,2175.0,2470.4,2379.5076622596152
Cows,0-400,Dairy,E,1,53,2,140.0,236.0,164.75471698113208,3.6,400.0,561.9,455.9,490.0,944.0,628.9056603773585
Cows,0-400,Processor,C,1,34,24,160.0,232.0,206.58823529411765,-33.4,457.1,580.0,536.6,640.0,928.0,826.3529411764706
Cows,400-520,Dairy,D,1,144,95,230.0,273.0,245.61111111111111,-21.9,552.4,606.7,575.3,1008.0,1365.0,1186.187506781684
Cows,400-520,Dairy,D,2,11,9,268.0,268.0,268,13.0,595.6,595.6,595.6,1340.0,1340.0,1340
Cows,400-520,Dairy,E,1,20,-7,215.0,240.0,221.25,4.2,537.5,558.1,542.7,967.5,1152.0,1013.625
Cows,400-520,Feeder,C,1,46,40,245.0,268.0,254.7826086956522,49.8,577.8,612.5,597.7,1029.0,1248.0,1139.8174040421195
Cows,400-520,Processor,C,1,85,-100,230.0,278.0,252.3764705882353,-18.6,546.7,617.8,580.2,1020.8,1390.0,1164.361173023897
Cows,400-520,Processor,C,2,89,77,274.0,300.0,290.2696629213483,0.6,608.7,657.8,638.5,1260.4,1560.0,1439.662932320927
Cows,400-520,Processor,C,3,20,NQ,318.0,318.0,318,NQ,662.5,662.5,662.5,1653.6,1653.6,1653.6
Cows,520+,Dairy,D,1,250,149,246.0,288.0,263.08,-20.3,566.7,640.0,595.2,1303.8,1656.0,1481.35441015625
Cows,520+,Dairy,D,2,162,67,260.0,304.0,280.5679012345679,-19.2,577.8,740.0,629.9,1399.2,2340.0,1772.3382523148148
Cows,520+,Dairy,D,3,3,NQ,310.0,310.0,310,NQ,645.8,645.8,645.8,2108.0,2108.0,2108
Cows,520+,Dairy,E,2,10,-14,268.0,268.0,268,-23.0,595.6,595.6,595.6,1447.2,1447.2,1447.2
Cows,520+,Feeder,C,1,24,NQ,274.0,278.0,275.8333333333333,NQ,608.9,617.8,613.0,1459.5,1534.4,1500.0708821614583
Cows,520+,Feeder,C,2,11,NQ,336.0,336.0,336,NQ,700.0,700.0,700.0,2150.4,2150.4,2150.3998579545455
Cows,520+,Processor,C,1,69,37,266.0,310.0,290.71014492753625,0.6,591.1,645.8,627.0,1436.4,1752.0,1604.995655004529
Cows,520+,Processor,C,2,239,127,275.0,340.0,309.31799163179915,-8.5,608.3,812.5,661.9,1473.4,2040.0,1766.0849405073222
Cows,520+,Processor,C,3,99,-26,290.0,338.0,331.25252525252523,0.3,617.0,704.2,690.5,1595.0,2436.0,2073.730296125316
