Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Blackall
Report Date: 30/05/2024
Comparison Date: 
Total Yarding: 5774 (NQ)
Commentary
"For their monthly weaner and feeder sale Blackall Agents penned 5,774 head. The yarding consisted of well bred quality cattle. All the regular processors feedlotters and backgrounders present. The market for the weaner steers slightly dearer and heifers firm.

Yearling steers 200 to 280kg with the majority selling from 266c to 372c/kg. Yearling steers 280 to 330kg sold to 370c/kg. Yearling steers 330 to 400kg averaged 305c and sold to 352c/kg almost 30c/kg stronger. Yearling steers 400 to 480kg also dearer selling to 328c/kg. Yearling steers over 480kg firmed to 255c/kg.

Light weight heifers under 200kg sold from 226c to 256c/kg. Yearling heifers 200 to 280kg made to 270c and averaged 231c/kg. Yearling heifers 280 to 330kg averaged 260c and made to 292c/kg. Yearling heifers 330 to 400kg also sold well to 280c/kg. Yearling heifers 400 to 480kg selling from 226c to 252c/kg.

Grown steers 500 to 600kg sold from 228c to 240c/kg. Grown steers over 600kg topped 258c with heifers over 540kg made to 260c/kg. The 2 score cows 400 to 520kg sold to 159c./kg. The 3 score cows over 520kg to 215c and averaged 208c/kg. The best of the heavy weight bulls to 220c/kg.

Market Reporter David Friend."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Feeder,D,2,1,NQ,160.0,160.0,160,NQ,301.9,301.9,301.9,416.0,416.0,416
Yearling Steer,200-280,Restocker,C,2,342,308,266.2,372.2,346.1584842079564,11.7,502.3,702.3,653.1,620.4,1042.2,919.0370481613784
Yearling Steer,200-280,Restocker,D,2,61,NQ,200.0,266.2,210.7573772492956,NQ,377.4,502.3,397.7,504.0,638.9,507.12918140849126
Yearling Steer,280-330,Feeder,D,2,1,NQ,160.0,160.0,160,NQ,301.9,301.9,301.9,480.0,480.0,480
Yearling Steer,280-330,Restocker,C,2,382,333,306.2,370.2,326.25235912063357,4.9,577.7,698.5,615.6,943.1,1188.3,1037.189709408745
Yearling Steer,280-330,Restocker,D,2,13,NQ,180.2,262.2,249.04615666316107,NQ,340.0,494.7,469.9,576.6,786.6,733.2478262094351
Yearling Steer,330-400,Feeder,C,2,5,-26,242.2,242.2,242.2,9.9,457.0,457.0,457.0,847.7,847.7,847.7
Yearling Steer,330-400,Restocker,C,2,346,264,220.2,352.2,305.0786262909112,29.8,415.5,664.5,575.6,839.0,1334.3,1144.0270316945334
Yearling Steer,400+,Feeder,C,2,17,-2,260.2,328.2,314.55294979319854,74.6,490.9,619.2,593.5,1170.9,1345.6,1315.0976849724266
Yearling Steer,400+,Feeder,C,3,1,NQ,236.2,236.2,236.1999969482422,NQ,472.4,472.4,472.4,1299.1,1299.1,1299.0999755859375
Yearling Steer,400+,Processor,C,2,6,NQ,255.0,255.2,255.0999984741211,NQ,481.1,481.5,481.3,1275.0,1403.6,1339.2999877929688
Yearling Steer,400+,Restocker,C,2,8,-17,312.2,326.2,313.9500198364258,0.3,589.1,615.5,592.4,1280.0,1454.9,1301.8740844726562
Yearling Steer,400+,Restocker,D,2,192,NQ,144.2,281.0,280.2874999841054,NQ,272.1,530.2,528.8,643.1,1253.3,1250.0822305679321
Yearling Heifer,0-200,Feeder,D,2,1,NQ,170.0,170.0,170,NQ,340.0,340.0,340.0,238.0,238.0,238
Yearling Heifer,0-200,Restocker,C,2,57,42,226.2,256.2,244.6350954290022,55.5,452.4,512.4,489.3,395.9,435.5,418.79054447642545
Yearling Heifer,0-200,Restocker,D,2,65,NQ,120.0,220.0,176.64922907902644,NQ,240.0,440.0,353.3,192.0,440.0,322.3499962439904
Yearling Heifer,200-280,Feeder,C,2,37,4,204.2,220.8,209.6378359407992,10.6,408.4,441.6,419.3,449.2,572.0,528.9745978278082
Yearling Heifer,200-280,Feeder,D,2,26,NQ,170.0,198.2,189.41538649338943,NQ,340.0,396.4,378.8,442.0,555.0,517.63232421875
Yearling Heifer,200-280,Restocker,C,2,491,480,200.0,270.0,230.82973562578562,46.6,400.0,540.0,461.7,441.4,702.0,577.0749725528259
Yearling Heifer,200-280,Restocker,D,2,66,NQ,120.0,198.2,167.85757261334044,NQ,240.0,396.4,335.7,252.0,495.5,414.8227280125474
Yearling Heifer,280-330,Feeder,C,2,214,211,200.0,264.2,236.94673285083235,4.1,400.0,528.4,473.9,598.5,871.9,752.3036698671145
Yearling Heifer,280-330,Feeder,D,2,61,NQ,110.0,194.2,182.89508356813525,NQ,220.0,388.4,365.8,352.0,572.9,539.0993612320697
Yearling Heifer,280-330,Processor,D,2,5,NQ,110.0,190.0,138,NQ,220.0,380.0,276.0,352.0,627.0,451
Yearling Heifer,280-330,Restocker,C,2,513,510,200.0,292.2,259.72788034777426,39.5,400.0,584.4,519.5,580.0,964.3,792.4820716069688
