Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Forbes
Report Date: 21/10/2024
Comparison Date: 14/10/2024
Total Yarding: 1263 (-539)
Commentary
"Numbers dropped by 539 for a yarding of 1263 cattle. Quality remained good with a large supply of heavy prime cattle along with lighter well bred feeder weights. Steers generally sold dearer, while heifers dropped in price. All the regular buyers were present.

Prime yearling steers were a few cents dearer, 240c to 364c, and prime yearling heifers were down 15c, 210c to 340c/kg. Feeder steers gained 8c, 280c to 360c, while feeder heifers eased 5c, 230c to 310c. Restocker steers sold in the range of 220c to 390c/kg.

Prime grown steers were up to 20c dearer in places, 244c to 369c, while prime grown heifers held firm, 255c to 345c/kg. Cows sold 5c cheaper, 2 and 3 scores sold from 150c to 282c, and heavy prime cows, 282c to 295c/kg. Heavy bulls sold to 280c/kg. 

Market reporter, Angus Williams"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Feeder,C,2,5,NQ,352.0,352.0,352,NQ,676.9,676.9,676.9,1126.4,1126.4,1126.4
Yearling Steer,280-330,Restocker,C,2,16,NQ,353.0,387.0,372.125,NQ,678.8,744.2,715.6,1059.0,1238.4,1159.9125366210938
Yearling Steer,330-400,Feeder,C,2,47,-83,320.0,330.0,322.4255319148936,-30.1,615.4,634.6,620.0,1152.0,1292.0,1259.5744680851064
Yearling Steer,330-400,Processor,C,3,4,3,240.0,310.0,290,NC,452.8,584.9,547.2,864.0,1080.0,1013
Yearling Steer,330-400,Restocker,C,2,38,NQ,255.0,390.0,349.5,NQ,490.4,750.0,672.1,969.0,1400.0,1258.2789435135692
Yearling Steer,400+,Feeder,C,2,218,-10,280.0,360.0,333.8165137614679,6.7,538.5,692.3,642.0,1226.4,1722.6,1533.1183510876576
Yearling Steer,400+,Processor,C,3,131,-36,260.0,364.0,338.618320610687,0.0,490.6,686.8,638.9,1144.0,2111.2,1731.1053317703363
Yearling Steer,400+,Restocker,C,2,5,NQ,220.0,270.0,260,NQ,423.1,519.2,500.0,968.0,1242.0,1187.2
Yearling Heifer,330-400,Feeder,C,2,41,-113,280.0,310.0,295.390243902439,1.1,538.5,596.2,568.1,982.6,1220.0,1141.8878024961891
Yearling Heifer,330-400,Processor,C,3,4,NQ,280.0,300.0,285,NQ,528.3,566.0,537.7,952.0,1080.0,1012
Yearling Heifer,400+,Feeder,C,2,32,-80,230.0,306.0,294.1875,-10.6,442.3,588.5,565.7,1012.0,1346.4,1266.3000030517578
Yearling Heifer,400+,Processor,C,3,94,-129,210.0,340.0,301.1595744680851,-22.0,396.2,641.5,568.2,882.0,1836.0,1489.8085106382978
Vealer Steer,200-280,Restocker,C,2,2,-20,264.0,314.0,289,-51.0,507.7,603.8,555.8,633.6,816.4,725
Vealer Heifer,200-280,Restocker,C,2,1,NQ,252.0,252.0,252,NQ,484.6,484.6,484.6,655.2,655.2,655.2000122070312
Manufacturing Steer,0-540,Dairy,D,3,5,1,180.0,180.0,180,-50.0,375.0,375.0,375.0,720.0,720.0,720
Manufacturing Steer,540+,Dairy,D,3,2,-2,210.0,210.0,210,-40.0,437.5,437.5,437.5,1365.0,1365.0,1365
Grown Steer,400-500,Processor,C,4,21,-6,260.0,340.0,303.8095238095238,-18.1,472.7,618.2,552.4,1196.0,1632.0,1481.7142857142858
Grown Steer,500-600,Processor,C,4,68,-48,244.0,367.0,342.75,22.9,443.6,667.3,623.2,1317.6,2202.0,1955.6911782657398
Grown Steer,600-750,Processor,C,4,21,3,353.0,369.0,367.1904761904762,17.7,641.8,670.9,667.6,2188.6,2287.8,2276.580984933036
Grown Heifer,0-540,Processor,C,4,59,29,255.0,343.0,298.2881355932203,-10.5,463.6,623.6,542.3,1173.0,1852.2,1507.3864125397247
Grown Heifer,540+,Processor,C,4,29,-2,305.0,345.0,336.58620689655174,10.2,554.5,627.3,612.0,1797.6,2139.0,1986.772427262931
Cows,400-520,Dairy,D,3,4,NQ,150.0,210.0,195,NQ,312.5,456.5,420.5,750.0,1050.0,975
Cows,400-520,Processor,D,2,22,1,180.0,256.0,231.1818181818182,-6.8,391.3,556.5,502.6,792.0,1228.8,1066.0454822887075
Cows,400-520,Processor,D,3,22,-12,255.0,272.0,266.72727272727275,-5.4,531.3,566.7,555.7,1275.0,1414.4,1367.8909135298295
