Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Charters Towers
Report Date: 11/12/2024
Comparison Date: 04/12/2024
Total Yarding: 1745 (-767)
Commentary
"The final sale for 2024 resulted in 1745 cattle penned, 767 fewer than last week in a very mixed quality offering. The supply of well finished prime bullocks and cows was minimal, store lines consisted of several plain conditioned lines and there was a large consignment of northern bulls. Only three major processors were in attendance and operating, supported by regular feeders, one live exporter and opportunity restockers. Cattle were drawn from Mt Isa to Normanton, east to Innisfail and south to the local area.

Demand for most classes was good, particularly better quality types. Lightweight steers and heifers  improved 6c to 15c, feeder heifers improved 20c to 50c, grown steers and heifers improved 2c to 7c and prime cows lifted 6c to 9c/kg.

Lightweight steers to restockers averaged 272c, reaching 300c, steers above 200kg averaged 254c to 278c/kg. Yearling steers above 280kg to feed sold to 306c, averaging 277c to 280c, while steers above 330kg to feed averaged 268c/kg. Yearling heifers above 200kg to feed destined for slaughter made to 242c to average 230c/kg. Heifers above 280kg to feed topped at 314c, averaging 248c to 274c/kg, while good quality heifers above 330kg sold from 288c to 314c/kg. A good sample of plain conditioned grown steers under 400kg to feed averaged 261c, while steers above 400kg to live export made from 292c to 308c/kg. A limited supply of grown heifers to the trade reached 240c to average 227c/kg. 


Heavy bullocks to live export made 290c, plain conditioned types to feed averaged 265c/kg. Medium weight 3 score cows reached 274c to average 261c/kg. Heavy bulls to live export sold from 250c to 310c/kg.

Finally I would like to wish all listeners a safe and happy Xmas and look forward to 2025.

Market Reporter, Mick Kingham"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Feeder,C,2,2,NQ,324.0,324.0,324,NQ,623.1,623.1,623.1,907.2,907.2,907.2000122070312
Yearling Steer,200-280,Processor,D,2,1,NQ,234.0,234.0,234,NQ,450.0,450.0,450.0,655.2,655.2,655.2000122070312
Yearling Steer,200-280,Restocker,C,2,26,NQ,278.0,278.0,278,NQ,534.6,534.6,534.6,611.6,611.6,611.5999849759615
Yearling Steer,200-280,Restocker,D,2,66,57,240.0,270.0,254.33333333333334,16.8,461.5,519.2,489.1,549.0,650.0,619.9378699100379
Yearling Steer,280-330,Feeder,C,2,23,4,270.0,306.0,279.7391304347826,5.9,519.2,588.5,538.0,837.0,994.5,881.2173913043479
Yearling Steer,280-330,Feeder,D,2,60,NQ,266.0,284.0,277.03333333333336,NQ,511.5,546.2,532.8,823.6,882.0,842.4099772135417
Yearling Steer,280-330,Processor,D,2,11,9,282.0,282.0,282,48.0,542.3,542.3,542.3,902.4,902.4,902.4000355113636
Yearling Steer,280-330,Processor,E,2,2,-2,180.0,212.0,196,-24.0,346.2,415.7,380.9,531.0,636.0,583.5
Yearling Steer,280-330,Restocker,C,2,3,NQ,260.0,260.0,260,NQ,500.0,500.0,500.0,793.0,793.0,793
