Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Heifer,400+,Processor,D,3,32,NQ,266.0,272.0,270.125,NQ,501.9,513.2,509.7,1090.6,1183.2,1147.4624786376953
Vealer Steer,0-200,Restocker,C,2,14,13,296.0,296.0,296,128.0,569.2,569.2,569.2,592.0,592.0,592
Vealer Steer,0-200,Restocker,D,2,164,147,104.0,306.0,290.4817073170732,-13.5,203.9,588.5,559.0,135.2,600.0,492.1164669874238
Vealer Steer,0-200,Restocker,E,2,1,NQ,120.0,120.0,120,NQ,230.8,230.8,230.8,240.0,240.0,240
Vealer Steer,200-280,Processor,D,2,8,NQ,180.0,206.0,186.5,NQ,346.2,396.2,358.7,369.0,463.5,399.375
Vealer Steer,200-280,Restocker,C,2,37,-102,300.0,320.0,315.02702702702703,1.9,576.9,615.4,605.8,736.0,840.0,758.659460119299
Vealer Steer,200-280,Restocker,D,2,79,68,200.0,320.0,293.3164556962025,43.3,384.6,615.4,564.1,410.0,688.0,643.6481076011174
Vealer Heifer,0-200,Feeder,D,2,11,NQ,150.0,150.0,150,NQ,288.5,288.5,288.5,210.0,210.0,210
Vealer Heifer,0-200,Restocker,C,2,87,NQ,228.0,236.0,231.17241379310346,NQ,438.5,453.8,444.6,353.4,448.5,389.5586161997126
Vealer Heifer,0-200,Restocker,D,2,21,10,170.0,208.0,201.52380952380952,56.4,326.9,400.0,387.5,281.3,343.2,315.42857142857144
Vealer Heifer,200-280,Feeder,D,2,9,NQ,150.0,150.0,150,NQ,288.5,288.5,288.5,307.5,307.5,307.5
Vealer Heifer,200-280,Restocker,D,2,6,-1,200.0,200.0,200,8.3,384.6,384.6,384.6,450.0,450.0,450
Manufacturing Steer,0-540,Processor,C,3,1,-14,286.0,286.0,286,28.0,529.6,529.6,529.6,1472.9,1472.9,1472.9000244140625
Manufacturing Steer,0-540,Processor,D,3,3,-12,254.0,254.0,254,6.7,479.2,479.2,479.2,1270.0,1270.0,1270
Manufacturing Steer,0-540,Processor,D,4,7,NQ,288.0,288.0,288,NQ,533.3,533.3,533.3,1425.6,1425.6,1425.6000279017858
Manufacturing Steer,540+,Processor,C,4,6,-8,276.0,276.0,276,26.0,511.1,511.1,511.1,1545.6,1545.6,1545.5999348958333
Manufacturing Steer,540+,Processor,D,3,14,-21,256.0,292.0,285,40.4,483.0,550.9,537.1,1484.8,1742.3,1586.9500383649554
Grown Steer,0-400,Processor,D,2,5,-10,230.0,230.0,230,70.0,442.3,442.3,442.3,885.5,885.5,885.5
Grown Steer,0-400,Processor,E,2,4,NQ,148.0,198.0,173,NQ,290.2,380.8,335.5,547.6,772.2,659.8999938964844
Grown Steer,400-500,Feeder,C,2,28,2,272.0,312.0,299.14285714285717,56.1,523.1,588.7,567.6,1115.2,1435.2,1332.342808314732
Grown Steer,400-500,Feeder,D,2,13,-34,274.0,274.0,274,43.2,526.9,526.9,526.9,1150.8,1150.8,1150.800030048077
Grown Steer,400-500,Processor,C,2,1,-3,270.0,270.0,270,49.0,509.4,509.4,509.4,1323.0,1323.0,1323
Grown Steer,400-500,Processor,D,2,4,-31,240.0,250.0,247.5,35.8,461.5,480.8,476.0,972.0,1037.5,1021.125
Grown Steer,400-500,Processor,D,3,12,-21,240.0,280.0,275.3333333333333,46.2,452.8,528.3,519.5,1188.0,1362.2,1287.433329264323
Grown Steer,500-600,Processor,C,3,2,-14,288.0,288.0,288,46.3,533.3,533.3,533.3,1540.8,1540.8,1540.800048828125
Grown Steer,500-600,Processor,D,3,2,NQ,262.0,266.0,264,NQ,494.3,501.9,498.1,1336.2,1383.2,1359.699951171875
Grown Heifer,0-540,Processor,C,3,2,-19,270.0,270.0,270,21.0,509.4,509.4,509.4,1269.0,1269.0,1269
Grown Heifer,0-540,Processor,D,2,185,173,80.0,246.0,189.03783783783783,-25.1,163.3,492.0,379.8,252.0,902.0,641.3940360404349
Grown Heifer,0-540,Processor,D,3,41,-41,190.0,270.0,247.9512195121951,22.2,380.0,519.2,479.8,693.5,1205.4,1022.565853956269
Grown Heifer,0-540,Processor,E,2,1,NC,190.0,190.0,190,50.0,422.2,422.2,422.2,598.5,598.5,598.5
Cows,0-400,Processor,D,1,11,7,140.0,182.0,147.63636363636363,-21.9,311.1,404.4,329.4,427.0,664.3,512.781815962358
Cows,0-400,Processor,D,2,110,91,80.0,190.0,168.87272727272727,6.6,177.8,413.0,366.8,288.0,741.0,610.2218184037642
Cows,0-400,Processor,D,3,19,-28,160.0,224.0,209.47368421052633,16.5,340.4,476.6,446.1,568.0,836.0,788.947355571546
Cows,0-400,Processor,E,2,5,NQ,80.0,120.0,104,NQ,177.8,272.7,234.7,240.0,324.0,290.4
Cows,0-400,Processor,E,3,1,NQ,160.0,160.0,160,NQ,347.8,347.8,347.8,496.0,496.0,496
Cows,0-400,Restocker,D,1,3,2,20.0,72.0,37.333333333333336,-122.7,45.5,163.6,84.8,65.0,201.6,110.53333536783855
Cows,0-400,Restocker,E,1,1,NQ,10.0,10.0,10,NQ,23.3,23.3,23.3,25.5,25.5,25.5
Cows,400-520,Processor,C,3,6,-57,256.0,256.0,256,20.4,512.0,512.0,512.0,1254.4,1254.4,1254.4000651041667
Cows,400-520,Processor,D,2,28,NQ,218.0,222.0,218.42857142857142,NQ,463.8,472.3,464.7,891.0,976.8,927.5571419852121
Cows,400-520,Processor,D,3,167,-123,218.0,272.0,240.21556886227546,20.9,458.3,555.1,497.5,904.7,1387.2,1072.1703648367327
Cows,400-520,Processor,D,4,4,NQ,250.0,250.0,250,NQ,500.0,500.0,500.0,1287.5,1287.5,1287.5
Cows,520+,Processor,C,4,7,-43,265.0,265.0,265,25.6,519.6,519.6,519.6,1484.0,1484.0,1484
