Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: SA Livestock Exchange
Report Date: 27/02/2024
Comparison Date: 
Total Yarding: 300 (NQ)
Commentary
"Numbers reduced as agents offered 300 liveweight and open auction cattle. The usual trade and processor buyers, feeders and restockers provided generally good competition. Quality this week was extremely mixed with more secondary yearling cattle coming forward. Prices reflected the quality on offer with very few ideal trade cattle throughout the yarding.

Vealer steers sold to 270c/kg as vealer heifers ranged from 216c to 262c/kg. Yearling steers ranged from 150c to 320c/kg with yearling heifers selling from 108c to 272c/kg.
Grown steers sold from 245c to 286c with grown heifers ranging from 244c to 258c/kg.
Light beef cows sold from 138c to 154c, medium weights made 70c to 160c with heavy cows selling from 180c to 244c/kg. Bulls sold from 100c to 160c/kg."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Dairy,D,2,2,NQ,180.0,220.0,200,NQ,383.0,468.1,425.5,477.0,561.0,519
Yearling Steer,280-330,Dairy,D,2,1,NQ,228.0,228.0,228,NQ,485.1,485.1,485.1,741.0,741.0,741
Yearling Steer,330-400,Dairy,D,2,3,NQ,120.0,230.0,156.66666666666666,NQ,255.3,489.4,333.3,420.0,770.5,536.8333333333334
Yearling Steer,330-400,Feeder,C,2,15,1,200.0,320.0,265.3333333333333,-26.7,400.0,640.0,530.7,800.0,1216.0,1033.7533203125
Yearling Steer,330-400,Feeder,C,3,13,NQ,260.0,272.0,266.46153846153845,NQ,520.0,544.0,532.9,1001.0,1020.0,1011.2307692307693
Yearling Steer,330-400,Processor,C,2,17,1,288.0,300.0,294.8235294117647,25.4,576.0,600.0,589.6,1152.0,1185.0,1171.538818359375
Yearling Steer,330-400,Processor,C,3,6,-7,160.0,240.0,194,-86.0,340.4,510.6,412.8,636.8,955.2,772.1199849446615
Yearling Steer,330-400,Restocker,C,2,11,-28,240.0,280.0,261.8181818181818,0.5,480.0,560.0,523.6,876.0,1092.0,993.8181818181819
