Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Shepparton
Report Date: 01/10/2024
Comparison Date: 
Total Yarding: 1960 (NQ)
Commentary
"There were 1500 exports and 455 trade cattle, amongst the exports were 700 cows. Not all buyers were in attendance. There were some good quality bullocks on hand and an even mix of both beef and dairy cows. Prices came back across most grades of stock, with grown steers 3c to 13c/kg cheaper, beef cows 5c to 9c/kg back, the dairy cow portion were 10c to 18c/kg down. 

The trade cattle were of mixed quality with several pens of lighter weighted calves about. The vealers ranged from 300 to 340c/kg. The yearling steers to processes made between 320 to 386c/kg. The yearling heifers made from'290c to 370c/kg.

The 500 to 600kg steers ranged from 324c to 381c/kg, while the 600kg plus bullocks made from 322c to 372c/kg. The heavy beef cows made from 266c to 338c/kg which was 5c to 9c/kg down. The heavy dairy cow portion saw a 10c to 18c/kg drop and made from 242c to 285c/kg"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Steer,500-600,Feeder,C,2,14,6,330.0,350.0,345.7142857142857,16.7,634.6,673.1,664.8,1699.5,1802.5,1780.4285714285713
Grown Steer,500-600,Feeder,C,3,20,13,352.0,360.0,356.8,16.8,676.9,692.3,686.2,1918.4,2034.0,1987.760009765625
Grown Steer,500-600,Feeder,C,4,18,NQ,352.0,352.0,352,NQ,664.2,664.2,664.2,1900.8,1900.8,1900.8001302083333
Grown Steer,500-600,Feeder,D,3,18,NQ,316.0,316.0,316,NQ,607.7,607.7,607.7,1659.0,1659.0,1659
Grown Steer,500-600,Processor,C,3,46,12,324.0,370.0,356.7826086956522,-2.9,611.3,698.1,673.2,1701.0,2035.0,1938.2717391304348
Grown Steer,500-600,Processor,C,4,46,25,344.0,381.0,368.04347826086956,-7.7,637.0,705.6,686.4,1892.0,2282.2,2129.759510869565
Grown Steer,500-600,Processor,D,2,12,NQ,325.0,325.0,325,NQ,625.0,625.0,625.0,1738.8,1738.8,1738.75
Grown Steer,500-600,Processor,D,3,5,NQ,330.0,330.0,330,NQ,622.6,622.6,622.6,1815.0,1815.0,1815
Grown Steer,500-600,Restocker,C,4,11,NQ,360.0,375.0,361.3636363636364,NQ,666.7,694.4,669.2,1980.0,2062.5,1987.5
Grown Steer,600-750,Processor,C,4,55,-8,344.0,372.0,361.8181818181818,-13.6,637.0,688.9,672.7,2190.8,2548.2,2445.5789595170454
Grown Heifer,0-540,Feeder,C,2,6,NQ,340.0,340.0,340,NQ,641.5,641.5,641.5,1751.0,1751.0,1751
Grown Heifer,0-540,Feeder,C,3,20,NQ,326.0,343.0,331.1,NQ,626.9,647.2,633.0,1483.3,1663.6,1537.37509765625
Grown Heifer,0-540,Feeder,D,2,12,3,304.0,304.0,304,34.0,584.6,584.6,584.6,1383.2,1383.2,1383.1998697916667
Grown Heifer,0-540,Feeder,E,1,12,NQ,266.0,266.0,266,NQ,591.1,591.1,591.1,1103.9,1103.9,1103.9000651041667
Grown Heifer,0-540,Processor,C,3,8,5,322.0,322.0,322,-13.0,607.5,607.5,607.5,1465.1,1465.1,1465.0999755859375
Grown Heifer,0-540,Processor,C,4,18,9,350.0,350.0,350,-7.0,660.4,660.4,660.4,1837.5,1837.5,1837.5
Grown Heifer,0-540,Processor,D,1,7,NQ,329.0,329.0,329,NQ,658.0,658.0,658.0,1776.6,1776.6,1776.6000279017858
Grown Heifer,0-540,Processor,D,4,4,NQ,320.0,320.0,320,NQ,603.8,603.8,603.8,1680.0,1680.0,1680
Cows,400-520,Dairy,D,1,9,-16,234.0,234.0,234,-3.5,544.2,544.2,544.2,1134.9,1134.9,1134.9000651041667
Cows,400-520,Dairy,D,2,33,NQ,220.0,272.0,234.1818181818182,NQ,511.6,604.4,536.9,990.0,1264.8,1064.9454604640152
Cows,400-520,Dairy,E,1,3,-40,195.0,195.0,195,-10.6,464.3,464.3,464.3,828.8,828.8,828.75
Cows,400-520,Feeder,D,2,12,NQ,256.0,256.0,256,NQ,522.4,522.4,522.4,1164.8,1164.8,1164.800048828125
Cows,400-520,Feeder,D,3,8,NQ,324.0,347.0,335.5,NQ,623.1,667.3,645.2,1474.2,1578.8,1526.5249633789062
Cows,400-520,Processor,D,1,40,28,246.0,303.0,261.325,-13.7,534.8,631.3,557.1,1193.1,1545.3,1296.67626953125
Cows,400-520,Processor,D,3,23,11,280.0,307.0,294.8695652173913,-10.1,583.3,626.5,601.1,1358.0,1427.6,1378.8826426630435
Cows,400-520,Processor,E,1,35,NQ,162.0,225.0,213.94285714285715,NQ,368.2,489.1,466.9,656.1,1091.3,1022.81142578125
Cows,520+,Dairy,D,1,59,-70,242.0,275.0,256.06779661016947,-14.1,556.8,618.6,582.4,1294.7,1773.8,1472.4296543961864
Cows,520+,Dairy,D,2,29,23,276.0,285.0,281.1034482758621,-18.9,587.2,606.4,598.1,1780.2,1846.0,1815.565463362069
Cows,520+,Processor,C,4,46,-50,324.0,338.0,328.6304347826087,0.5,611.3,637.7,620.1,2177.5,2345.2,2258.843410326087
Cows,520+,Processor,D,2,45,NQ,266.0,290.0,278.1111111111111,NQ,542.9,591.8,559.4,1396.5,1595.0,1508.5611111111111
Cows,520+,Processor,D,3,25,-10,280.0,330.0,301,-5.7,583.3,647.1,608.2,1540.0,1782.0,1647.58
Cows,520+,Processor,D,4,74,4,270.0,330.0,314.1216216216216,-9.1,529.4,622.6,603.3,1635.0,2227.5,1923.3918918918919
Cows,520+,Processor,D,5,9,3,280.0,280.0,280,-45.0,528.3,528.3,528.3,1778.0,1778.0,1778
