Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Gunnedah
Report Date: 15/10/2024
Comparison Date: 08/10/2024
Total Yarding: 2060 (-840)
Commentary
"There was quite a reduction in numbers with rain about and a drop in the market. It was a very mixed quality penning with young cattle well supplied. Heavy weights were in good numbers with processors and feedlots catered for. There was an increased supply of plainer and secondary quality cattle penned while there were also some high quality heavy steers and cows penned. The usual processors were in attendance along with the addition of a couple more while feedlot competition on heavy feeders was reduced.

There was a much more noticeable price differential between to good quality young cattle plain and secondary quality young cattle. Market trends varied and price change was affected by quality variations. Light and medium weight yearling steers to restock and feed sold to a dearer trend of as much as 10c/kg while the plain quality steers were much cheaper. Heavy weight feeders sold on a firm to slightly cheaper trend however price change was assisted by breed and quality. Well finished heavy trade steers sold to a dearer trend and included a couple of pens of very heavy high yielding steers carrying their milk teeth. Light and medium weight yearling heifers to restock and feed sold on a firm to slightly cheaper trend. The heavy trade heifers saw a slightly dearer trend under increased competition.

 Heavy grown steers to process sold to a cheaper trend with some quality related average price improvement. Feeder steers with 2 or more teeth experienced little change. Well finished heavy grown heifers to process saw trends cheaper for the most part. There was a sharp downward correction in the cow market particularly noticeable in the well finished heavy weights. A good selection of heavy weight bulls sold to a dearer trend with an improvement in quality."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Steer,500-600,Processor,C,2,1,-1,320.0,320.0,320,15.0,592.6,592.6,592.6,1728.0,1728.0,1728
Grown Steer,500-600,Processor,C,3,13,10,335.0,352.0,350.6923076923077,22.4,620.4,651.9,649.4,1775.5,2041.6,2021.1307091346155
Grown Steer,600-750,Processor,C,3,41,17,330.0,352.0,343.6585365853659,-11.0,611.1,651.9,636.4,2074.0,2358.4,2230.331679925686
Grown Steer,600-750,Processor,C,4,3,NQ,300.0,338.0,325.3333333333333,NQ,555.6,625.9,602.5,1890.0,2163.2,2072.13330078125
Grown Heifer,0-540,Feeder,C,3,8,3,294.0,330.0,318,28.8,565.4,634.6,608.8,1290.0,1650.0,1548.5249938964844
Grown Heifer,0-540,Processor,C,2,4,NQ,284.0,284.0,284,NQ,546.2,546.2,546.2,1278.0,1278.0,1278
Grown Heifer,0-540,Processor,C,3,6,-42,285.0,288.0,287,-24.6,548.1,553.8,551.9,1254.0,1396.8,1349.2000325520833
Grown Heifer,0-540,Processor,C,4,13,NQ,290.0,315.0,301.53846153846155,NQ,547.2,605.8,574.2,1406.5,1669.5,1527.8846153846155
Grown Heifer,0-540,Processor,D,2,5,NQ,208.0,208.0,208,NQ,416.0,416.0,416.0,759.2,759.2,759.2
Grown Heifer,0-540,Processor,D,3,8,-1,246.0,246.0,246,-4.0,482.4,482.4,482.4,1057.8,1057.8,1057.800048828125
Grown Heifer,540+,Processor,C,3,3,-7,302.0,302.0,302,-13.0,569.8,569.8,569.8,1645.9,1645.9,1645.9000651041667
