Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Gunnedah
Report Date: 10/12/2024
Comparison Date: 03/12/2024
Total Yarding: 2920 (+420)
Commentary
"With just one sale left before the Christmas break there was an increase in supply. That increase was mostly made up of feeder cattle. Young cattle made up by far the largest percentage of the offering with the majority in the medium and heavy weight classes. The quality of the young cattle was generally very good with condition also good. There were limited supplies of well finished export steers and heifers while there was a fair supply of cows. There were a couple of absentees in the buying group.

Strong demand from restockers and feedlotters resulted in dearer trends through the yearling steers with light weights to restock and feed up to 6c/kg dearer. A greater emphasis was placed on the medium and heavy weights with medium weights as much as 14c dearer while heavy weights to background and feed saw improvement of as much as 10c/kg with little in the way of breed premiums. Light weight yearling heifers sold to a slightly cheaper trend with a limited supply and some variation in quality.The medium and heavy weight heifers sold to a dearer trend of as much as 10c/kg. 

Well finished heavy grown steers to process experienced little change while the well finished heavy grown heifers were keenly sought. The best of them were as much as 20c/kg dearer. There was also strong processor demand in the cow market with market trends showing significant improvement."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Heifer,0-540,Processor,C,4,10,NQ,285.0,348.0,303.9,NQ,548.1,656.6,580.6,1382.3,1844.4,1520.89501953125
Grown Heifer,0-540,Processor,D,3,12,-24,270.0,278.0,277.3333333333333,7.7,529.4,545.1,543.8,1195.4,1282.5,1202.6583658854167
Grown Heifer,0-540,Restocker,C,3,5,NQ,307.0,307.0,307,NQ,590.4,590.4,590.4,1320.1,1320.1,1320.1
Grown Heifer,0-540,Restocker,D,3,5,NQ,288.0,288.0,288,NQ,564.7,564.7,564.7,1238.4,1238.4,1238.4
Grown Heifer,540+,Processor,C,3,9,-16,332.0,349.0,333.8888888888889,14.7,626.4,646.3,628.6,1809.4,1989.3,1829.388916015625
Grown Heifer,540+,Processor,C,4,11,9,311.0,350.0,327.6363636363636,61.1,575.9,660.4,614.2,1744.0,2231.1,1970.69091796875
Cows,400-520,Feeder,D,2,2,NQ,252.0,252.0,252,NQ,560.0,560.0,560.0,1108.8,1108.8,1108.800048828125
Cows,400-520,Processor,D,2,6,-7,250.0,271.0,253.5,7.7,555.6,602.2,563.3,1150.0,1219.5,1161.5833333333333
Cows,400-520,Processor,D,3,22,-17,256.0,286.0,264.54545454545456,1.4,544.7,595.8,560.6,1195.1,1430.0,1295.8363813920455
Cows,520+,Feeder,D,3,2,NQ,291.0,291.0,291,NQ,606.3,606.3,606.3,1542.3,1542.3,1542.300048828125
