Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Charters Towers
Report Date: 07/08/2024
Comparison Date: 31/07/2024
Total Yarding: 1971 (-1276)
Commentary
"Numbers fell by 1276 for a yarding of 1971 cattle.  The supply of prime cattle fell by half in a very mixed quality yarding. All regular processors were in attendance and operating, however feeder and restockers attendance was subdued.  Cattle were drawn from Mt Isa to Ingham and south tho the Burdekin and local area.

Most categories struggled to maintain values of the previous week, particularly in the store section.  Good quality lines met firm competition, however secondary and plainer conditioned types attracted minimal buyer support with some individual animals failing to sell. Grown steers and heifers to processors eased 4c to 30c, bullocks fell 20c to 25c, medium cows averaged 7c to 10c lower and heavy bulls sold 40c to 55c lower.

Young, weaned cross bred steers to restockers topped at 334c, a good sample averaging 313c, with similar heifers returning to the paddock reaching 260c to average 231c/kg. Light yearling steers to restockers made to 266c to average 248c and steers above 280kg to the paddock sold to and averaged 230c/kg. Yearling steers above 330 kg to feed sold to 250c and steers above 400kg made 247c/kg. Light yearling heifers to restockers reached 200c to average 149c/kg. Very good quality heifers above 280kg for breeding topped at 242c to average 229c/kg.

Grown steers above 400kg to feed averaged 231c selling to 250c with similar trade types averaging 221c to 229c /kg. Heavy grown steers to processors reached 246c to average 241c/kg. Good quality grown heifers to the trade sold to 258c to average from 226c to 249c/kg.  PTiC heifers made 244c/kg.

Heavy bullocks to export slaughter topped at 258c to average 245c to 250c/kg. Medium weight three score cows sold to 240c to average from 219c to 236c and a good selection of prime heavyweight cows topped at 245c to average 240c to 243c/kg.  Heavy bulls to processors reached 230c to average 216c and bulls to feed destined for live export made to 240c, most averaging 195c to 218c/kg.

Market Reporter, Mick Kingham"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Feeder,D,2,19,NQ,172.0,210.0,200,NQ,330.8,403.8,384.6,421.4,567.0,528.6842105263158
Yearling Steer,200-280,Restocker,C,2,9,NQ,240.0,240.0,240,NQ,461.5,461.5,461.5,624.0,624.0,624
Yearling Steer,200-280,Restocker,D,2,35,-52,132.0,266.0,247.54285714285714,-9.0,253.8,511.5,476.0,343.2,678.3,604.679989188058
Yearling Steer,280-330,Feeder,D,2,6,-51,196.0,220.0,212,-45.1,376.9,423.1,407.7,597.8,649.0,631.9333292643229
Yearling Steer,280-330,Restocker,C,2,4,-9,248.0,250.0,248.5,-18.7,476.9,480.8,477.9,719.2,825.0,745.6500244140625
Yearling Steer,280-330,Restocker,D,2,23,NQ,230.0,230.0,230,NQ,442.3,442.3,442.3,724.5,724.5,724.5
Yearling Steer,330-400,Feeder,C,2,10,-74,250.0,250.0,250,-8.0,471.7,471.7,471.7,925.0,925.0,925
Yearling Steer,330-400,Feeder,D,2,5,-2,230.0,230.0,230,-15.7,442.3,442.3,442.3,770.5,770.5,770.5
Yearling Steer,400+,Feeder,C,2,16,3,247.0,247.0,247,-33.9,466.0,466.0,466.0,1037.4,1037.4,1037.4000244140625
Yearling Heifer,0-200,Restocker,D,2,2,NQ,50.0,160.0,105,NQ,96.2,307.7,201.9,95.0,256.0,175.5
Yearling Heifer,200-280,Feeder,E,2,11,10,84.0,84.0,84,-36.0,164.7,164.7,164.7,210.0,210.0,210
Yearling Heifer,200-280,Processor,D,2,38,33,150.0,180.0,168.21052631578948,-39.4,288.5,346.2,323.5,361.2,468.0,385.45263671875
Yearling Heifer,200-280,Restocker,D,2,121,NQ,52.0,200.0,149.05785123966942,NQ,100.0,384.6,286.7,122.2,510.0,364.73057770532023
Yearling Heifer,200-280,Restocker,E,2,4,NQ,160.0,160.0,160,NQ,313.7,313.7,313.7,384.0,384.0,384
Yearling Heifer,280-330,Feeder,D,2,2,-9,170.0,208.0,189,-43.0,326.9,407.8,367.4,501.5,676.0,588.75
