Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Dalby
Report Date: 11/12/2024
Comparison Date: 
Total Yarding: 4332 (NQ)
Commentary
"Agents at Dalby penned 4,332 cattle down by 1,272 head for the last sale of 2024. All the regular processors attended however not all operated resulting in heavy bulls selling to cheaper trends heavy cows sold to prices that mirrored last week. A large panel of feeder operators saw heavy feeder steers and heifers lift in price by 9c to 20c/kg. Restockers also competed strongly and lifted prices on yearling steers and heifers to background from 16c to 30c/kg.

Yearling steers in the 200-280kg range to restockers made 486c to average 435c/kg. Yearling steers overs 280kg to background made 460c to average 431c/kg. Yearling steers to feed for the domestic market sold to 432c with those to restockers at 436c to average 412c/kg. Heavy yearling steers to feed made 410c to 419c and average from 391c to 396c/kg. Light weight yearling heifers to restockers made 382c to average 349c/kg. Yearling heifers over 280kg to feed made 390c/kg.Medium weight heifers to feed made 390c to average 358c/kg. Heavy yearling heifers to feed made 372c with those to the wholesale meat trade at 344c/kg.

Grown steers to feed sold to 375c with those over 600kg to processors at 330c to average 321c/kg. Grown heifers to feed made 370c to average 328c/kg. Heavy grown heifers to processors made 322c/kg. Light weight plain cows to processors sold from 170c to 228c with restockers paying to 252c/kg. Heavy score 2 cows made 265c to average 253c/kg. Good heavy cows sold to 289c and averaged 279c with the best heavy cows topping at 295c/kg. Light weight bulls to feeder buyers made 322c to average 301c with restockers paying to 400c/kg. Heavy bulls to processors sold to 280c and averaged 260c/kg.


Market Reporter Errol Luck."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,0-200,Restocker,C,2,2,NQ,390.0,390.0,390,NQ,722.2,722.2,722.2,760.5,760.5,760.5
Yearling Steer,0-200,Restocker,D,2,2,NQ,350.0,350.0,350,NQ,648.1,648.1,648.1,682.5,682.5,682.5
Yearling Steer,200-280,Restocker,C,2,225,-144,380.0,486.0,434.68,15.4,703.7,900.0,805.0,855.0,1336.5,1158.7219986979167
Yearling Steer,200-280,Restocker,D,2,10,-59,322.0,360.0,345.9,9.7,596.3,666.7,640.6,885.5,970.8,923.385009765625
Yearling Steer,280-330,Feeder,C,2,26,-3,362.0,460.0,407.15384615384613,6.7,670.4,851.9,754.0,1118.6,1495.0,1298.745380108173
Yearling Steer,280-330,Processor,D,2,2,NQ,232.0,232.0,232,NQ,429.6,429.6,429.6,754.0,754.0,754
Yearling Steer,280-330,Restocker,C,2,217,93,370.0,460.0,430.7281105990783,22.0,685.2,851.9,797.6,1105.8,1397.5,1294.656217372912
Yearling Steer,280-330,Restocker,D,2,28,26,316.0,368.0,342.7142857142857,32.7,585.2,681.5,634.7,900.6,1079.7,990.6571306501116
Yearling Steer,330-400,Feeder,C,2,206,-228,354.0,432.0,407.90291262135923,16.7,655.6,800.0,755.4,1285.0,1659.0,1496.8110825621966
