Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Armidale
Report Date: 26/09/2024
Comparison Date: 12/09/2024
Total Yarding: 1205 (+345)
Commentary
"The current state of the cattle market led to the largest Spring offering for quite sometime. It was however a very mixed quality penning showing a great deal of variation in condition. There was an increased presence in the restocker and feedlot buying ranks while there was less processor representation.

Quality and breed were major contributors in the cheaper prices seen in the young cattle with market trends also weaker. The straight bred light and medium weight yearling steers held up reasonably well whereas the secondary quality and mixed breed lines were quite a bit cheaper.  This trend continued in to the light and medium weight yearling heifers with the exception being a single line of very light weights.

There was a very plain quality offering of Manufacturing steers penned. Comparatively speaking they sold quite well to the well bred well finished heavy grown steers. Those heavy grown steers sold to a slightly cheaper trend. The well finished grown heifers also sold to a slightly cheaper trend with some age and quality related price change. Restocker cows sold to on a firm to dearer market trend. The medium weights to process saw a firm to slightly dearer trend. The well finished heavy weight cows followed a similar trend. Heavy bulls carrying plenty of condition were well supplied with market trends generally cheaper while a quality improvement lifted some averages."
Yearling Heifer,330-400,Feeder,C,3,8,-23,321.0,321.0,321,-16.0,617.3,617.3,617.3,1219.8,1219.8,1219.800048828125
Yearling Heifer,330-400,Processor,C,3,10,-3,270.0,270.0,270,-70.3,509.4,509.4,509.4,931.5,931.5,931.5
Yearling Heifer,330-400,Restocker,C,2,21,-23,328.0,328.0,328,-3.1,630.8,630.8,630.8,1148.0,1148.0,1148
Yearling Heifer,330-400,Restocker,C,3,10,6,300.0,300.0,300,-16.0,576.9,576.9,576.9,1095.0,1095.0,1095
Yearling Heifer,330-400,Restocker,D,2,9,4,298.0,298.0,298,24.0,573.1,573.1,573.1,1043.0,1043.0,1043
Yearling Heifer,400+,Feeder,C,3,13,11,280.0,304.0,292.9230769230769,-35.1,528.3,584.6,558.6,1204.0,1292.0,1251.3846153846155
Yearling Heifer,400+,Restocker,C,3,9,NQ,321.0,321.0,321,NQ,605.7,605.7,605.7,1332.2,1332.2,1332.1500651041667
Manufacturing Steer,0-540,Processor,C,2,32,NQ,240.0,295.0,268.75,NQ,461.5,567.3,516.8,888.0,1475.0,1178.0843811035156
Manufacturing Steer,540+,Dairy,D,2,8,NQ,290.0,290.0,290,NQ,557.7,557.7,557.7,1740.0,1740.0,1740
Manufacturing Steer,540+,Dairy,D,3,12,NQ,265.0,299.0,290.5,NQ,500.0,575.0,556.3,1457.5,2093.0,1934.125
Manufacturing Steer,540+,Processor,C,3,10,NQ,318.0,324.0,321.6,NQ,588.9,600.0,595.6,1908.0,2041.2,1987.919921875
Grown Steer,0-400,Feeder,C,2,16,NQ,324.0,324.0,324,NQ,623.1,623.1,623.1,1231.2,1231.2,1231.199951171875
Grown Steer,0-400,Restocker,C,2,15,13,250.0,284.0,271.73333333333335,-32.3,480.8,546.2,522.6,850.0,1079.2,1005.9199869791667
Grown Steer,400-500,Feeder,C,2,19,NQ,346.0,350.0,347.2631578947368,NQ,665.4,673.1,667.8,1487.8,1540.0,1504.2842310855262
Grown Steer,400-500,Processor,C,2,9,NQ,286.0,300.0,293.77777777777777,NQ,550.0,576.9,565.0,1387.1,1425.0,1408.155544704861
Grown Steer,500-600,Feeder,C,3,1,NQ,320.0,320.0,320,NQ,592.6,592.6,592.6,1824.0,1824.0,1824
Grown Steer,500-600,Processor,C,3,3,2,323.0,323.0,323,3.0,598.1,598.1,598.1,1808.8,1808.8,1808.8001302083333
Grown Steer,600-750,Processor,C,4,11,NQ,330.0,338.0,335.09090909090907,NQ,600.0,625.9,617.5,2079.0,2310.0,2132.0726207386365
Grown Steer,750+,Processor,C,4,8,NQ,334.0,334.0,334,NQ,607.3,607.3,607.3,2772.2,2772.2,2772.199951171875
Grown Heifer,0-540,Feeder,C,2,44,NQ,275.0,312.0,293.5681818181818,NQ,528.8,600.0,564.6,973.0,1466.4,1203.0920632102273
Grown Heifer,0-540,Feeder,C,3,15,9,305.0,316.0,310.6,0.6,575.5,607.7,595.1,1448.8,1643.2,1505.0033203125
Grown Heifer,0-540,Feeder,D,2,9,NQ,280.0,290.0,285.55555555555554,NQ,560.0,580.0,571.1,1232.0,1276.0,1256.4444444444443
Grown Heifer,0-540,Processor,C,2,1,NQ,284.0,284.0,284,NQ,546.2,546.2,546.2,1235.4,1235.4,1235.4000244140625
Grown Heifer,0-540,Processor,C,3,38,31,280.0,311.0,301.0263157894737,-4.0,538.5,592.3,573.7,1367.7,1632.4,1549.671052631579
Grown Heifer,0-540,Processor,D,2,17,NQ,228.0,260.0,239.41176470588235,NQ,456.0,520.0,478.8,752.4,1144.0,880.3882697610294
Grown Heifer,0-540,Processor,D,3,3,1,265.0,280.0,270,NC,519.6,549.0,529.4,1285.3,1330.0,1300.1666666666667
Grown Heifer,0-540,Restocker,C,2,35,NQ,250.0,292.0,265.0285714285714,NQ,480.8,561.5,509.7,838.4,1226.4,1041.1914481026786
Grown Heifer,0-540,Restocker,D,2,33,7,235.0,296.0,261.030303030303,-50.1,470.0,592.0,522.1,664.2,1324.8,953.1939438328599
Grown Heifer,0-540,Restocker,D,3,3,1,290.0,290.0,290,15.0,568.6,568.6,568.6,1508.0,1508.0,1508
Grown Heifer,540+,Processor,C,4,9,3,314.0,315.0,314.8888888888889,4.2,592.5,594.3,594.1,1827.0,2009.6,1875.2888861762153
Grown Heifer,540+,Processor,D,3,2,NQ,270.0,270.0,270,NQ,529.4,529.4,529.4,1471.5,1471.5,1471.5
Cows,0-400,Processor,D,2,7,NQ,220.0,220.0,220,NQ,488.9,488.9,488.9,748.0,748.0,748
Cows,400-520,Processor,D,2,34,30,221.0,283.0,250.2058823529412,-21.8,491.1,628.9,556.0,950.3,1372.6,1152.879451976103
Cows,400-520,Processor,D,3,37,26,260.0,294.0,271.0810810810811,13.1,553.2,612.5,573.6,1192.5,1482.0,1294.5472972972973
Cows,400-520,Restocker,D,2,27,16,250.0,285.0,276.0740740740741,16.3,555.6,622.2,610.5,1300.0,1450.8,1322.8166684751156
Cows,400-520,Restocker,D,3,28,22,280.0,292.0,287.07142857142856,-1.4,595.7,608.3,603.4,1330.0,1460.0,1410.357142857143
Cows,520+,Processor,D,3,10,-15,280.0,293.0,282.6,0.6,583.3,610.4,588.7,1512.0,1582.2,1526.039990234375
Cows,520+,Processor,D,4,57,16,281.0,312.0,301.17543859649123,3.3,585.4,624.0,608.3,1517.4,2184.0,1925.4316256339089
Bulls,450-600,Processor,C,2,7,4,229.0,262.0,245.71428571428572,-24.3,424.1,485.2,455.0,1296.0,1441.0,1348.7714146205358
Bulls,600+,Processor,B,2,2,-13,280.0,284.0,282,-4.0,500.0,507.1,503.6,2380.0,2499.2,2439.5999755859375
Bulls,600+,Processor,B,3,14,6,276.0,293.0,285.35714285714283,2.7,492.9,523.2,509.6,2105.2,3066.0,2550.4214215959823
Bulls,600+,Processor,B,4,4,NQ,242.0,290.0,278,NQ,440.0,517.9,498.4,2178.0,2900.0,2574.5
Bulls,600+,Processor,C,2,6,-17,240.0,260.0,252.16666666666666,-8.9,444.4,481.5,467.0,1574.8,2288.0,1955.5500081380208
