Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Armidale
Report Date: 26/09/2024
Comparison Date: 12/09/2024
Total Yarding: 1205 (+345)
Commentary
"The current state of the cattle market led to the largest Spring offering for quite sometime. It was however a very mixed quality penning showing a great deal of variation in condition. There was an increased presence in the restocker and feedlot buying ranks while there was less processor representation.

Quality and breed were major contributors in the cheaper prices seen in the young cattle with market trends also weaker. The straight bred light and medium weight yearling steers held up reasonably well whereas the secondary quality and mixed breed lines were quite a bit cheaper.  This trend continued in to the light and medium weight yearling heifers with the exception being a single line of very light weights.

There was a very plain quality offering of Manufacturing steers penned. Comparatively speaking they sold quite well to the well bred well finished heavy grown steers. Those heavy grown steers sold to a slightly cheaper trend. The well finished grown heifers also sold to a slightly cheaper trend with some age and quality related price change. Restocker cows sold to on a firm to dearer market trend. The medium weights to process saw a firm to slightly dearer trend. The well finished heavy weight cows followed a similar trend. Heavy bulls carrying plenty of condition were well supplied with market trends generally cheaper while a quality improvement lifted some averages."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,62,-12,340.0,422.0,409.6774193548387,-16.0,653.8,811.5,787.8,861.0,1064.0,922.7032313193045
Yearling Steer,280-330,Restocker,C,2,26,-4,300.0,396.0,345.84615384615387,-56.5,576.9,761.5,665.1,930.0,1222.4,1066.061542217548
Yearling Steer,330-400,Feeder,C,2,8,-1,310.0,310.0,310,-112.0,596.2,596.2,596.2,1116.0,1116.0,1116
Yearling Steer,330-400,Restocker,C,2,39,14,324.0,410.0,393.6923076923077,-6.1,623.1,788.5,757.1,1182.6,1474.6,1409.6435797275642
Yearling Steer,400+,Feeder,C,2,10,NQ,314.0,344.0,339.4,NQ,603.8,661.5,652.7,1410.4,1462.0,1431.3
Yearling Heifer,0-200,Restocker,C,2,34,31,346.0,346.0,346,34.0,665.4,665.4,665.4,692.0,692.0,692
Yearling Heifer,0-200,Restocker,D,2,6,-2,298.0,298.0,298,-10.0,596.0,596.0,596.0,506.6,506.6,506.6000162760417
Yearling Heifer,200-280,Restocker,C,2,32,-56,260.0,310.0,285.4375,-61.2,500.0,596.2,548.9,650.0,852.5,734.6500091552734
Yearling Heifer,280-330,Feeder,C,2,2,NQ,312.0,312.0,312,NQ,600.0,600.0,600.0,998.4,998.4,998.4000244140625
Yearling Heifer,280-330,Restocker,C,2,66,2,306.0,321.0,313.54545454545456,-15.6,588.5,617.3,603.0,872.1,1033.5,947.0999866832386
Yearling Heifer,280-330,Restocker,C,3,5,NC,300.0,300.0,300,-28.0,576.9,576.9,576.9,990.0,990.0,990
Yearling Heifer,330-400,Feeder,C,2,51,45,315.0,330.0,321,-3.0,605.8,634.6,617.3,1102.5,1254.0,1193.5019459443934
