Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: SELX Yass
Report Date: 21/11/2024
Comparison Date: 14/11/2024
Total Yarding: 714 (-356)
Commentary
"There were some good runs of feeder steers, along with a few pens of prime yearling heifers in a decreased yarding of 714 mixed quality cattle. There was a limited supply of young cattle to suit the restockers and there were 90 cows. Buyers were not as active as previous sales, selling to mostly cheaper trends.

Yearlings to suit the trade were mostly firm, with the steers reaching 336c, and heifers made from 230c to 320c/kg. There was some strong competition between backgrounders and the feedlot buyers for the yearling steers, resulting in dearer prices, selling from 274c to 343c/kg. Heifers to feed were up to 12c cheaper, to average 268c/kg. Weaners returning to the paddock sold to variable trends, with the steers ranging from 160c to 342c, and the heifers ranged from 170c to 306c/kg.

Heavy grown steers slipped 4c selling from 245c to 322c, and grown heifers fell 10c, making from 242c to 320c/kg. 2 and 3 score cows were up to 17c cheaper, ranging from 185c to 255c, and heavy 4 score cows were back 2c, topping at 279c/kg. The best heavy weight bull made 300c/kg.
David Kent Market Reporter"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Heifer,0-540,Processor,C,3,15,NQ,300.0,309.0,307.2,NQ,555.6,572.2,568.9,1470.0,1622.3,1591.8
Grown Heifer,0-540,Processor,D,3,7,NQ,242.0,242.0,242,NQ,465.4,465.4,465.4,1185.8,1185.8,1185.800083705357
Grown Heifer,540+,Processor,C,3,18,-15,284.0,320.0,300.8888888888889,-10.7,535.8,592.6,564.2,1675.6,1881.6,1814.8889295789932
Grown Heifer,540+,Processor,D,3,11,9,278.0,304.0,287.90909090909093,-7.1,524.5,573.6,544.1,1681.9,1884.8,1809.7227783203125
Cows,400-520,Processor,D,2,3,-7,160.0,160.0,160,-45.0,363.6,363.6,363.6,744.0,744.0,744
Cows,400-520,Processor,D,3,10,-9,220.0,245.0,222.5,-17.8,468.1,532.6,480.6,1078.0,1274.0,1100.9
Cows,400-520,Processor,D,4,3,NQ,262.0,262.0,262,NQ,545.8,545.8,545.8,1336.2,1336.2,1336.199951171875
Cows,520+,Processor,D,3,36,3,210.0,255.0,248.66666666666666,-11.9,466.7,542.6,529.6,1123.5,1500.4,1429.6972249348958
Cows,520+,Processor,D,4,58,-31,260.0,279.0,273.1896551724138,-1.8,550.0,579.2,564.8,1547.0,2158.8,1895.2129306135507
Cows,520+,Processor,D,5,11,9,250.0,268.0,257.6363636363636,9.6,520.8,558.3,536.7,1712.5,2103.8,1866.263671875
Bulls,0-450,Processor,B,2,2,NQ,240.0,240.0,240,NQ,413.8,413.8,413.8,972.0,972.0,972
Bulls,0-450,Processor,C,2,5,NQ,185.0,240.0,218,NQ,324.6,428.6,387.0,638.3,780.0,723.3
Bulls,600+,Processor,B,2,4,-4,260.0,300.0,278.75,10.6,440.7,483.9,462.3,2366.0,3075.0,2678.0625
Bulls,600+,Processor,C,1,1,-2,220.0,220.0,220,6.7,392.9,392.9,392.9,1903.0,1903.0,1903
Bulls,600+,Processor,C,2,1,NQ,255.0,255.0,255,NQ,439.7,439.7,439.7,2269.5,2269.5,2269.5
