Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Forbes
Report Date: 13/01/2025
Comparison Date: 06/01/2025
Total Yarding: 1611 (+1140)
Commentary
"Numbers jumped this sale with agents yarding 1611 head. Quality was fair with good numbers of well bred cattle available along with a larger percentage of heavier cattle penned. The usual contingent of buyers were present and competing in a fairly steady market. 

Yearling steers were 5 to 8c easier with those to feed selling from 350c to 408c/kg for middleweights. Heavyweights ranged in price from 318c to 406c/kg. The finished lines to processors received from 355c to 382c/kg. A quality offering of heifers saw prices lift 5 to 8c/kg. Processors paid from 310 to 380c while those to feed received from 320c to 368c/kg. 

Heavy steers and bullocks lifted 8c selling from 300 to 370c/kg. Grown heifers received from 295c to 335c/kg. Cows held steady with prices ranging from 280 to 316c/kg. The best heavy bull reached 308c/kg."
Yearling Heifer,330-400,Feeder,C,2,138,NQ,325.0,365.2,358.38261435688406,NQ,601.9,676.3,663.7,1137.5,1353.6,1309.219585031703
Yearling Heifer,330-400,Feeder,C,3,140,136,320.0,368.6,348.74857003348217,8.7,592.6,682.6,645.8,1152.0,1440.0,1335.6465750558036
Yearling Heifer,330-400,Feeder,D,3,13,NQ,290.0,300.0,294.61538461538464,NQ,537.0,555.6,545.6,986.0,1080.0,1029.3846153846155
Yearling Heifer,330-400,Processor,C,3,38,27,310.0,345.0,325.2631578947368,5.3,574.1,638.9,602.3,1088.0,1345.5,1189.578947368421
Yearling Heifer,330-400,Processor,D,3,9,5,310.0,310.0,310,10.0,574.1,574.1,574.1,1178.0,1178.0,1178
Yearling Heifer,330-400,Restocker,C,2,10,NQ,321.2,321.2,321.2,NQ,594.8,594.8,594.8,1220.6,1220.6,1220.56005859375
Yearling Heifer,400+,Feeder,C,2,34,30,344.0,355.0,347.38235294117646,47.4,637.0,657.4,643.3,1461.6,1513.6,1501.4999856387867
Yearling Heifer,400+,Feeder,C,3,79,44,325.0,355.0,342.8784859572785,-29.3,601.9,657.4,635.0,1373.5,1548.0,1482.2035205696202
Yearling Heifer,400+,Processor,C,2,1,-1,270.0,270.0,270,-40.0,500.0,500.0,500.0,1269.0,1269.0,1269
Yearling Heifer,400+,Processor,C,3,101,76,320.0,380.2,350.7386184541306,8.1,592.6,704.1,649.5,1376.0,1792.0,1570.3904968866027
Yearling Heifer,400+,Processor,D,2,4,NQ,265.0,265.0,265,NQ,530.0,530.0,530.0,1457.5,1457.5,1457.5
Yearling Heifer,400+,Processor,D,3,2,NQ,275.0,286.2,280.6000061035156,NQ,550.0,572.4,561.2,1567.5,1602.7,1585.1099853515625
Vealer Steer,0-200,Restocker,C,2,6,NQ,440.0,440.0,440,NQ,814.8,814.8,814.8,660.0,660.0,660
Vealer Heifer,200-280,Restocker,C,2,3,NQ,308.2,308.2,308.20001220703125,NQ,570.7,570.7,570.7,708.9,708.9,708.8600260416666
Grown Steer,400-500,Processor,C,2,1,NQ,307.0,307.0,307,NQ,568.5,568.5,568.5,1258.7,1258.7,1258.699951171875
Grown Steer,400-500,Processor,C,3,5,NQ,272.0,272.0,272,NQ,503.7,503.7,503.7,1142.4,1142.4,1142.4
Grown Steer,500-600,Processor,C,3,53,49,300.2,370.0,353.4603801223467,8.8,555.9,685.2,654.6,1632.0,2191.2,1980.1426334021226
Grown Steer,600-750,Processor,C,2,7,NQ,315.2,315.2,315.2000209263393,NQ,583.7,583.7,583.7,1954.2,1954.2,1954.239955357143
Grown Steer,600-750,Processor,C,3,34,27,320.2,373.2,361.78236119887407,22.3,593.0,691.1,670.0,2111.8,2351.2,2281.0352998621324
Grown Heifer,0-540,Processor,C,2,9,6,270.0,296.0,287.3333333333333,7.3,500.0,548.1,532.1,1296.0,1509.6,1438.3999565972222
Grown Heifer,0-540,Processor,C,3,6,4,320.0,330.0,328.3333333333333,13.7,592.6,611.1,608.0,1683.0,1728.0,1690.5
Grown Heifer,0-540,Processor,D,3,9,NQ,335.2,335.2,335.20000542534723,NQ,620.7,620.7,620.7,1374.3,1374.3,1374.3199869791667
Grown Heifer,540+,Processor,C,2,10,NQ,295.0,295.0,295,NQ,546.3,546.3,546.3,1622.5,1622.5,1622.5
Grown Heifer,540+,Processor,C,3,5,-19,320.0,330.0,324,-19.6,592.6,611.1,600.0,1792.0,1920.0,1840
Cows,520+,Processor,D,2,14,-26,280.0,300.0,287.7714320591518,5.0,560.0,600.0,575.5,1539.0,1840.9,1764.9242902483259
Cows,520+,Processor,D,3,130,69,286.0,316.0,307.44615384615383,6.1,572.0,632.0,614.9,1658.8,2340.0,2074.0754112830527
Cows,520+,Processor,D,4,1,NQ,285.0,285.0,285,NQ,570.0,570.0,570.0,1852.5,1852.5,1852.5
Bulls,600+,Processor,C,2,3,-1,290.0,308.2,299.40000406901044,26.5,527.3,560.4,544.4,2842.0,3266.9,3106.306640625
