Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Forbes
Report Date: 13/01/2025
Comparison Date: 06/01/2025
Total Yarding: 1611 (+1140)
Commentary
"Numbers jumped this sale with agents yarding 1611 head. Quality was fair with good numbers of well bred cattle available along with a larger percentage of heavier cattle penned. The usual contingent of buyers were present and competing in a fairly steady market. 

Yearling steers were 5 to 8c easier with those to feed selling from 350c to 408c/kg for middleweights. Heavyweights ranged in price from 318c to 406c/kg. The finished lines to processors received from 355c to 382c/kg. A quality offering of heifers saw prices lift 5 to 8c/kg. Processors paid from 310 to 380c while those to feed received from 320c to 368c/kg. 

Heavy steers and bullocks lifted 8c selling from 300 to 370c/kg. Grown heifers received from 295c to 335c/kg. Cows held steady with prices ranging from 280 to 316c/kg. The best heavy bull reached 308c/kg."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,21,NQ,341.0,405.2,365.4571475074405,NQ,631.5,750.4,676.8,920.7,1134.6,1002.1705264136905
Yearling Steer,200-280,Restocker,D,2,5,NQ,302.2,302.2,302.2,NQ,559.6,559.6,559.6,846.2,846.2,846.1599609375
Yearling Steer,280-330,Restocker,C,2,21,NQ,380.0,380.0,380,NQ,703.7,703.7,703.7,1102.0,1102.0,1102
Yearling Steer,330-400,Feeder,C,2,151,115,350.0,408.6,374.8132522279853,-7.2,648.1,756.7,694.1,1318.3,1634.4,1439.6573591421773
Yearling Steer,330-400,Feeder,C,3,48,39,360.0,393.2,379.2083333333333,-17.5,666.7,728.1,702.2,1296.0,1494.2,1428.2104187011719
Yearling Steer,330-400,Processor,C,3,1,-2,362.6,362.6,362.6000061035156,42.6,671.5,671.5,671.5,1377.9,1377.9,1377.8800048828125
Yearling Steer,330-400,Processor,D,3,4,NQ,347.2,347.2,347.20001220703125,NQ,643.0,643.0,643.0,1319.4,1319.4,1319.3599853515625
Yearling Steer,400+,Feeder,C,2,75,38,318.2,406.0,391.30133626302086,-4.6,589.3,751.9,724.6,1304.6,1694.0,1644.4810677083333
Yearling Steer,400+,Feeder,C,3,154,121,364.2,400.6,384.17922894366376,-1.5,674.4,741.9,711.4,1493.2,1963.0,1708.665203144024
Yearling Steer,400+,Processor,C,3,40,6,355.0,382.2,371.8600143432617,5.2,657.4,707.8,688.6,1563.2,2102.1,1931.2435363769532
Yearling Heifer,200-280,Restocker,C,2,12,NQ,300.0,307.2,303,NQ,555.6,568.9,561.1,720.0,829.4,765.6000162760416
Yearling Heifer,280-330,Processor,C,3,7,1,290.2,330.0,318.62857491629467,18.6,537.4,611.1,590.1,928.6,1089.0,1043.182861328125
Yearling Heifer,280-330,Restocker,C,2,6,NQ,330.2,330.2,330.20001220703125,NQ,611.5,611.5,611.5,1056.6,1056.6,1056.6399739583333
