Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Charters Towers
Report Date: 16/10/2024
Comparison Date: 09/10/2024
Total Yarding: 2327 (-643)
Commentary
"Numbers decreased by 643 for a yarding of 2327 cattle.  Quality was very mixed comprising of fewer numbers of heavy bullocks and cows, supported by several small lines of store steers and heifers with many lines reflecting the dry season.  All regular processors were in attendance and operating, supported by one live exporter, feeders and opportunity restockers. Demand for heavier well finished lines was firm, however lesser quality and lighter weight lines continued to struggle to attract buyer support. Cattle were drawn from Mt Isa to Richmond, north to Georgetown and south to the local area.

Values for all categories were reflective of quality, with better quality lines improving by up to 30c and lesser types being further discounted. Yearling heifers above 280kg to feed improved 16c to 38c, prime grown steers and bullocks improved 4c to 15c, prime heifers lifted 3c to 9c and prime cows averaged 5c to 6c lower.

Light restocker steers returning to the paddock averaged 268c to 307c, reaching a top of 317c, similar heifers to processors sold to 222c to average 192c/kg. Yearling steers above 200kg to backgrounders reached 300c, a good sample averaging 298c and secondary types averaged 267c/kg. Yearling steers above 280kg to live export sold to 284c to average 274c/kg. Yearling heifers to feed above 200kg averaged 195c to 208c, with heifers above 280kg making to 250c to average 227c to 241c/kg.

Grown steers above 400kg to processors averaged 272c to 299c reaching 306c, feeders averaged 258c/kg. A reduced number of grown heifers reached 286c to average 245c to 266c/kg.  A smaller supply of heavy full mouthed bullocks to export slaughter topped at 320c multiple times to average 286c to 304c/kg. Medium weight 2 score cows made to 218c to average 196c, 3 scores reached 264c to average 239c/kg. Heavy bulls to live export sold to 272c to average 268c/kg.

Market Reporter, Mick Kingham"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Vealer Steer,200-280,Restocker,C,2,32,2,294.0,317.0,306.9375,23.1,565.4,609.6,590.3,617.4,808.3,724.8093872070312
Vealer Steer,200-280,Restocker,D,2,124,NQ,226.0,299.0,268.01612903225805,NQ,434.6,575.0,515.4,503.1,715.0,599.2161156439012
Vealer Heifer,0-200,Feeder,D,2,46,12,60.0,132.0,104.65217391304348,-4.8,115.4,253.8,201.3,99.0,237.6,182.8521781589674
Vealer Heifer,0-200,Processor,D,2,46,NQ,70.0,180.0,152.82608695652175,NQ,134.6,346.2,293.9,140.0,342.0,285.6847826086956
Vealer Heifer,200-280,Feeder,C,2,42,NQ,220.0,220.0,220,NQ,423.1,423.1,423.1,561.0,561.0,561
Vealer Heifer,200-280,Feeder,D,2,6,NQ,110.0,150.0,123.33333333333333,NQ,211.5,288.5,237.2,242.0,352.5,278.8333333333333
Vealer Heifer,200-280,Processor,C,2,53,40,190.0,222.0,191.81132075471697,15.8,365.4,426.9,368.9,437.0,588.3,454.5264132517689
Vealer Heifer,200-280,Processor,D,2,43,38,100.0,190.0,170,10.0,192.3,365.4,326.9,220.0,494.0,375.6046511627907
Manufacturing Steer,0-540,Feeder,D,2,2,1,196.0,240.0,218,68.0,384.3,461.5,422.9,901.6,1272.0,1086.7999877929688
Manufacturing Steer,0-540,Processor,C,3,11,NQ,304.0,304.0,304,NQ,563.0,563.0,563.0,1550.4,1550.4,1550.4000355113637
Manufacturing Steer,0-540,Processor,D,2,4,-4,220.0,256.0,247,25.8,423.1,492.3,475.0,792.0,1126.4,1042.800048828125
Manufacturing Steer,0-540,Processor,D,3,58,49,268.0,298.0,274.8965517241379,15.3,505.7,562.3,516.6,1165.8,1526.4,1261.5758456526132
Manufacturing Steer,540+,Processor,C,3,24,NQ,300.0,320.0,307.5,NQ,555.6,592.6,569.4,1770.0,1936.0,1832.25
Manufacturing Steer,540+,Processor,D,3,16,-21,286.0,320.0,317,8.0,529.6,592.6,587.0,1630.2,1744.0,1734.9874954223633
Manufacturing Steer,540+,Processor,D,4,1,-36,296.0,296.0,296,4.1,548.1,548.1,548.1,1953.6,1953.6,1953.5999755859375
Grown Steer,0-400,Feeder,D,2,16,NQ,252.0,262.0,258.25,NQ,484.6,503.8,496.6,945.0,1048.0,1006.1000061035156
Grown Steer,0-400,Live Export,D,3,1,NQ,286.0,286.0,286,NQ,539.6,539.6,539.6,1058.2,1058.2,1058.199951171875
Grown Steer,0-400,Processor,D,2,10,NC,220.0,268.0,263,36.0,423.1,515.4,505.8,770.0,1045.2,1003.5999633789063
Grown Steer,0-400,Processor,D,3,10,NQ,266.0,266.0,266,NQ,501.9,501.9,501.9,1064.0,1064.0,1064
Grown Steer,400-500,Processor,D,2,18,-4,266.0,266.0,266,24.9,501.9,501.9,501.9,1077.3,1077.3,1077.300021701389
Grown Steer,400-500,Processor,D,3,43,13,234.0,306.0,284.3255813953488,27.5,441.5,566.7,534.3,982.8,1422.9,1324.2395459552145
