Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Vealer Steer,0-200,Restocker,C,2,104,NQ,282.0,358.0,306,NQ,542.3,688.5,588.5,457.6,716.0,556.5298039362981
Vealer Steer,0-200,Restocker,D,2,157,18,220.0,312.0,270.90445859872614,11.8,423.1,600.0,521.0,376.2,577.2,511.2280310369601
Vealer Steer,200-280,Feeder,C,2,25,NQ,310.0,310.0,310,NQ,596.2,596.2,596.2,775.0,837.0,804.76
Vealer Steer,200-280,Feeder,D,2,18,NQ,290.0,290.0,290,NQ,557.7,557.7,557.7,788.8,788.8,788.7999674479166
Vealer Steer,200-280,Processor,D,2,1,NQ,250.0,250.0,250,NQ,480.8,480.8,480.8,625.0,625.0,625
Vealer Steer,200-280,Restocker,C,2,86,48,306.0,358.0,317.04651162790697,35.6,588.5,688.5,609.7,651.0,859.2,742.4697776617006
Vealer Steer,200-280,Restocker,D,2,109,-21,225.0,312.0,269.3211009174312,-44.0,432.7,600.0,517.9,563.3,707.2,659.7293622778096
Vealer Heifer,0-200,Feeder,C,2,18,NQ,216.0,216.0,216,NQ,415.4,415.4,415.4,399.6,399.6,399.6000162760417
Vealer Heifer,0-200,Feeder,D,2,17,NQ,180.0,228.0,214,NQ,346.2,438.5,411.5,275.5,364.8,338.2529296875
Vealer Heifer,0-200,Processor,D,2,1,NQ,230.0,230.0,230,NQ,442.3,442.3,442.3,414.0,414.0,414
Vealer Heifer,0-200,Restocker,C,2,26,15,224.0,234.0,224.3846153846154,-15.6,430.8,450.0,431.5,425.6,468.0,427.2307692307692
Vealer Heifer,0-200,Restocker,D,2,64,37,100.0,254.0,240.3125,-5.2,192.3,488.5,462.1,170.0,444.5,402.3187437057495
Vealer Heifer,200-280,Feeder,D,2,6,-5,180.0,200.0,196.66666666666666,-15.3,346.2,384.6,378.2,396.0,440.0,432.6666666666667
Vealer Heifer,200-280,Processor,C,2,54,48,220.0,248.0,241.22222222222223,11.2,423.1,476.9,463.9,532.4,612.0,575.2555700231482
Vealer Heifer,200-280,Processor,D,2,2,NQ,240.0,240.0,240,NQ,461.5,461.5,461.5,552.0,552.0,552
Vealer Heifer,200-280,Restocker,C,2,7,-60,234.0,234.0,234,-28.6,450.0,450.0,450.0,479.7,479.7,479.7000209263393
Manufacturing Steer,0-540,Processor,D,2,16,8,250.0,288.0,270.375,21.4,480.8,553.8,520.0,1134.0,1195.2,1166.7749633789062
Manufacturing Steer,0-540,Processor,D,3,7,-18,308.0,310.0,308.2857142857143,35.4,581.1,584.9,581.7,1540.0,1674.0,1563.5428641183037
Manufacturing Steer,540+,Processor,D,2,1,NC,308.0,308.0,308,108.0,592.3,592.3,592.3,1755.6,1755.6,1755.5999755859375
Manufacturing Steer,540+,Processor,D,3,1,-5,310.0,310.0,310,-12.7,574.1,574.1,574.1,1922.0,1922.0,1922
Manufacturing Steer,540+,Processor,D,4,17,16,306.0,310.0,307.6470588235294,-16.4,556.4,574.1,563.7,2092.5,2386.8,2266.529411764706
Grown Steer,0-400,Feeder,C,2,2,NQ,300.0,300.0,300,NQ,576.9,576.9,576.9,1170.0,1170.0,1170
Grown Steer,0-400,Processor,D,2,4,-21,268.0,270.0,269.5,39.4,515.4,519.2,518.3,999.0,1072.0,1051
Grown Steer,400-500,Feeder,C,2,8,NQ,284.0,284.0,284,NQ,535.8,535.8,535.8,1221.2,1221.2,1221.199951171875
Grown Steer,400-500,Feeder,D,2,7,NQ,238.0,278.0,262.57142857142856,NQ,457.7,534.6,504.9,975.8,1150.8,1080.4000244140625
Grown Steer,400-500,Live Export,D,3,2,NQ,284.0,284.0,284,NQ,535.8,535.8,535.8,1221.2,1221.2,1221.199951171875
Grown Steer,400-500,Processor,D,2,27,2,240.0,272.0,255.7037037037037,-13.7,461.5,523.1,491.7,1016.4,1263.5,1168.0037027994792
Grown Steer,400-500,Processor,D,3,18,16,258.0,302.0,295.8888888888889,-13.1,486.8,569.8,558.3,1135.2,1449.6,1386.5333523220486
Grown Steer,500-600,Live Export,C,3,9,NQ,306.0,318.0,310,NQ,566.7,588.9,574.1,1575.9,1796.7,1649.5
Grown Steer,500-600,Processor,C,3,24,NQ,310.0,326.0,315.4166666666667,NQ,574.1,603.7,584.1,1581.0,1956.0,1677.7249959309895
Grown Steer,500-600,Processor,D,3,3,NQ,288.0,300.0,292,NQ,543.4,566.0,550.9,1612.8,1680.0,1635.2000325520833
Grown Heifer,0-540,Feeder,D,2,10,3,230.0,256.0,245.6,-16.4,460.0,512.0,491.2,621.0,947.2,759.1200012207031
Grown Heifer,0-540,Processor,C,3,4,NQ,312.0,312.0,312,NQ,588.7,588.7,588.7,1606.8,1606.8,1606.800048828125
Grown Heifer,0-540,Processor,D,2,18,-13,230.0,256.0,241.55555555555554,8.6,460.0,512.0,483.1,770.5,849.9,810.9088812934028
Grown Heifer,0-540,Processor,D,3,29,-5,244.0,298.0,269.44827586206895,1.2,469.2,562.3,516.3,995.6,1566.0,1195.0896627491918
Grown Heifer,0-540,Restocker,D,2,1,NQ,226.0,226.0,226,NQ,452.0,452.0,452.0,768.4,768.4,768.4000244140625
Grown Heifer,540+,Processor,C,3,2,NQ,292.0,292.0,292,NQ,550.9,550.9,550.9,1693.6,1693.6,1693.5999755859375
Cows,0-400,Processor,D,1,75,23,60.0,210.0,185.73333333333332,-15.3,133.3,466.7,410.6,168.0,737.3,629.5973360188802
Cows,0-400,Processor,D,2,62,-58,210.0,244.0,221.06451612903226,-7.0,451.1,521.7,480.2,735.0,960.0,818.1983918220766
