Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Naracoorte
Report Date: 15/10/2024
Comparison Date: 08/10/2024
Total Yarding: 1293 (+714)
Commentary
"Supply more than doubled off the low base of a week ago with 1293 cattle yarded. Quality was mixed and one key exporter which had been keen on heavy grown steers at recent sales was absent from the buying group. Agents said the sale had a cheaper trend, mirroring the weaker price results which have been seen across the wider industry this week.  About a third of the yarding of 435 head were cows and these averaged about 10c/kg cheaper with only the very best heavy females able to sell above 300c/kg in this sale. Heavy grown steers and grown heifers were also cheaper, with losses of 10c to 20c/kg evident compared to a week ago. There was still some robust sales in the young store cattle section depending on quality and number in a pen.

Grown steers sold to 368c/kg lwt, with the the better bred and shaped yearling and heavier steers mostly in a range of 320c to 360c/kg. Heavy heifers offering more yield and quality to buyers sold to 348c but there was a lot of sales in the 260-330c/kg range.  Prices for young cattle to restockers, feeders and processors varied from 260c to 340c/kg for the majority depending on type and number in a pen, single animals sometimes discounted.

In the cow run processors were reluctant to bid much over 300c/kg, with the lead of the beef females from 270c to a top of 308c/kg lwt. Plainer store type cows  230c to 263c/kg. The average price across all 435 cows sold was 278c/kg or $1629 per head on an average weight of 584kg, according to saleyard data.

Report compiled remotely by Jenny Kelly."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Restocker,D,2,2,NQ,225.0,225.0,225,NQ,450.0,450.0,450.0,715.5,715.5,715.5
Yearling Steer,280-330,Restocker,E,2,2,NQ,180.0,180.0,180,NQ,375.0,375.0,375.0,522.0,522.0,522
Yearling Steer,330-400,Processor,C,4,1,NQ,365.0,365.0,365,NQ,663.6,663.6,663.6,1368.8,1368.8,1368.75
Yearling Steer,330-400,Restocker,C,2,12,NQ,285.0,362.0,336.3333333333333,NQ,558.8,696.2,650.4,1043.1,1201.8,1148.9266357421875
Yearling Steer,330-400,Restocker,D,2,4,2,285.0,285.0,285,20.0,558.8,558.8,558.8,1043.1,1043.1,1043.0999755859375
Yearling Steer,400+,Feeder,C,2,10,-19,300.0,300.0,300,-40.4,566.0,566.0,566.0,1500.0,1500.0,1500
Yearling Steer,400+,Feeder,C,3,1,-21,330.0,330.0,330,-11.4,611.1,611.1,611.1,1798.5,1798.5,1798.5
Yearling Steer,400+,Processor,C,3,1,-11,354.0,354.0,354,-1.5,643.6,643.6,643.6,1486.8,1486.8,1486.800048828125
