Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Leongatha
Report Date: 28/01/2025
Comparison Date: 21/01/2025
Total Yarding: 2567 (-689)
Commentary
"There were approximately 2060 export and 500 young cattle penned representing a decrease of 690 head week-on-week. The usual buying group was present and operating in a cheaper market in places. Quality was good with a large proportion of the yarding carrying plenty of finish. Trade cattle sold firm to 4c/kg easier. Grown steers and bullocks sold firm to slightly dearer. Manufacturing steers gave back 4c to 6c/kg. Heavy heifers eased 3c/kg. Cows eased 5c to 15c/kg. Heavy bulls gained 5c to 10c/kg. 

Vealers sold from 297c to 380c/kg. Yearling trade steers made between 330c and 375c/kg. Yearling heifers to the trade sold between 310c and 376c/kg. Grown steers made from 330c to 388c/kg. Bullocks sold from 348c to 396c/kg. 

Heavy Friesian manufacturing steers made between 250c and 325c with the crossbred portion between 300c and 374c/kg. Most light and medium weight cows sold between 200c and 272c/kg. Heavy weight cows made mostly from 234c to 302c/kg. Heavy bulls sold from 275c to 320c/kg. 

Market reporter: Brendan Fletcher."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Vealer Steer,330+,Processor,D,3,3,2,303.0,303.0,303,-39.0,561.1,561.1,561.1,1090.8,1090.8,1090.800048828125
Vealer Steer,330+,Restocker,B,2,1,NQ,340.0,340.0,340,NQ,586.2,586.2,586.2,1190.0,1190.0,1190
Vealer Steer,330+,Restocker,C,2,2,-4,297.0,297.0,297,-34.7,550.0,550.0,550.0,1039.5,1039.5,1039.5
Vealer Heifer,280-330,Processor,C,2,7,NQ,322.0,322.0,322,NQ,575.0,575.0,575.0,1046.5,1046.5,1046.5
Vealer Heifer,280-330,Processor,C,3,8,NQ,325.0,350.0,331.25,NQ,580.4,625.0,591.5,1072.5,1120.0,1088.75
Vealer Heifer,280-330,Processor,D,2,3,NQ,274.0,274.0,274,NQ,526.9,526.9,526.9,890.5,890.5,890.5
Vealer Heifer,280-330,Processor,D,3,12,9,310.0,310.0,310,-10.0,574.1,574.1,574.1,1007.5,1007.5,1007.5
Vealer Heifer,280-330,Restocker,C,2,1,NQ,300.0,300.0,300,NQ,535.7,535.7,535.7,900.0,900.0,900
Vealer Heifer,280-330,Restocker,D,2,1,NQ,265.0,265.0,265,NQ,509.6,509.6,509.6,848.0,848.0,848
Vealer Heifer,330+,Processor,B,3,18,NQ,340.0,370.0,351.1111111111111,NQ,596.5,637.9,614.8,1260.0,1360.0,1308.5555555555557
Vealer Heifer,330+,Processor,C,2,2,NQ,312.0,312.0,312,NQ,567.3,567.3,567.3,1248.0,1248.0,1248
Vealer Heifer,330+,Processor,C,3,24,NC,310.0,356.0,346.5,0.1,553.6,635.7,618.7,1147.0,1360.0,1260.8228861490886
Vealer Heifer,330+,Processor,D,3,3,-35,300.0,310.0,303.3333333333333,-16.1,545.5,563.6,551.5,1080.0,1178.0,1112.6666666666667
Vealer Heifer,330+,Restocker,C,2,7,NQ,300.0,340.0,334.2857142857143,NQ,555.6,618.2,609.2,1140.0,1190.0,1182.857142857143
Vealer Heifer,330+,Restocker,D,3,1,NQ,290.0,290.0,290,NQ,537.0,537.0,537.0,1015.0,1015.0,1015
Manufacturing Steer,0-540,Dairy,D,1,8,NQ,292.0,292.0,292,NQ,608.3,608.3,608.3,1387.0,1387.0,1387
Manufacturing Steer,0-540,Dairy,E,1,1,-6,246.0,246.0,246,-34.0,534.8,534.8,534.8,1230.0,1230.0,1230
Manufacturing Steer,0-540,Dairy,E,2,1,-4,272.0,272.0,272,-10.0,566.7,566.7,566.7,1292.0,1292.0,1292
Manufacturing Steer,0-540,Processor,D,1,3,NQ,266.0,280.0,270.6666666666667,NQ,554.2,583.3,563.9,1330.0,1330.0,1330
Manufacturing Steer,0-540,Processor,D,2,9,-9,295.0,300.0,297.8888888888889,-14.8,569.2,596.0,583.0,1258.0,1620.0,1504.9444444444443
Manufacturing Steer,0-540,Processor,D,3,2,NQ,336.0,336.0,336,NQ,634.0,634.0,634.0,1814.4,1814.4,1814.4000244140625
Manufacturing Steer,0-540,Restocker,D,1,5,NQ,280.0,280.0,280,NQ,595.7,595.7,595.7,1470.0,1470.0,1470
Manufacturing Steer,0-540,Restocker,D,2,4,-6,310.0,314.0,311,9.6,603.8,607.8,606.8,1648.5,1674.0,1667.625
Manufacturing Steer,540+,Dairy,D,1,96,-5,280.0,302.0,289.7916666666667,-6.4,576.0,604.3,589.8,1647.2,2205.0,1973.4708251953125
