Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Gunnedah
Report Date: 08/10/2024
Comparison Date: 01/10/2024
Total Yarding: 2900 (+580)
Commentary
"As the warmer weather continues there was an increased penning where young cattle were well supplied. Cows and grown heifers made up the bulk of the export cattle with few well finished heavy grown steers. The overall quality of the offering was generally good while the majority presented in forward condition. There was a reduced buyer presence operating on the heavy weight feeder steers while not all processors operated at their recent levels.

With supply lines showing signs of filling demand through the young cattle to restock and feed was weaker. This resulted in the light and medium weight yearling steers selling to cheaper trends of 15 to 20c/kg. The reduced competition for heavy weight feeder steers resulted in cheaper trends of 16c to 30c/kg with the mixed breed pens least affected while the specialty lines experienced the greater falls. Demand for yearling heifers to restock and feed was also weaker with large numbers showing at the higher end of the condition scores. Market trends were cheaper throughout however only slightly so in comparison to those of the steers. There was a small improvement in the few going to the trade.

A limited supply of heavy grown steers to process sold on a firm to slightly dearer trend. That trend flowing into the best of the grown heifers. There were varying trends though the cow market with the medium weight cows selling on a firm to cheaper trend while the well finished heavy weights improved slightly. Heavy weight bulls sold to a cheaper trend."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Heifer,540+,Processor,C,4,5,-4,312.0,312.0,312,-7.2,588.7,588.7,588.7,1700.4,1700.4,1700.4
Cows,400-520,Processor,D,2,20,NQ,255.0,278.0,269.75,NQ,566.7,617.8,581.6,1122.0,1390.0,1252.835009765625
Cows,400-520,Processor,D,3,92,48,258.0,291.0,281.45652173913044,20.3,548.9,604.2,586.4,1225.5,1508.0,1361.9423615828805
Cows,400-520,Processor,D,4,1,-3,287.0,287.0,287,-9.0,574.0,574.0,574.0,1492.4,1492.4,1492.4000244140625
Cows,400-520,Restocker,D,2,12,NQ,258.0,280.0,261.6666666666667,NQ,573.3,622.2,581.5,1225.5,1260.0,1231.25
Cows,520+,Processor,C,3,2,NQ,309.0,327.0,318,NQ,618.0,628.8,623.4,1761.3,2354.4,2057.8499755859375
Cows,520+,Processor,D,3,55,-34,269.0,304.0,288.41818181818184,-7.1,572.3,608.0,597.4,1489.3,1667.8,1582.5476429332386
Cows,520+,Processor,D,4,124,-78,275.0,318.0,306.56451612903226,8.5,572.9,636.0,615.0,1457.5,2212.0,1956.9669642294607
Bulls,450-600,Processor,B,2,2,NQ,265.0,265.0,265,NQ,473.2,473.2,473.2,1431.0,1431.0,1431
Bulls,600+,Processor,B,2,3,-5,255.0,275.0,261.6666666666667,-12.2,455.4,491.1,467.3,1925.0,2040.0,2001.6666666666667
Bulls,600+,Processor,B,3,6,-6,270.0,280.0,274.1666666666667,-5.5,482.1,500.0,489.6,1842.5,2700.0,2349.1666666666665
Bulls,600+,Processor,C,2,10,-2,240.0,262.0,259.8,-3.9,444.4,485.2,481.1,2040.0,2174.6,2161.1400390625
Bulls,600+,Processor,D,4,1,NQ,280.0,280.0,280,NQ,583.3,583.3,583.3,1736.0,1736.0,1736
