Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Charters Towers
Report Date: 17/01/2024
Comparison Date: 06/09/2023
Total Yarding: 878 (-270)
Commentary
"The opening sale for the year attracted  878 cattle. Quality was mixed, comprising of limited numbers of well finished prime cattle and several small lines of store steers and heifers, with many in plain condition.  Three regular processors operated at stronger rates than last year, supported by two regular feeder operators and opportunity restockers. Cattle were drawn Hughenden to Einsaleigh and the local area.
 
A small sample of vealer steers to restockers sold to 320c to average 309c, with light heifers making to 198c to average 190c/kg. A small sample of yearling steers above 330kg to feed reached 264c to average 258c/kg.
Yearling heifers above 280kg to feed sold to 246c to average 220c, restocker lines reached 272c to average 229c/kg. 

Limited numbers of grown steers to feed sold to 276c to average 266c/kg. A good sample of grown heifers returning to the paddock sold to 270c to average near 236c/kg, a small number of heifers to the trade made to 272c to average 270c/kg.

A limited number of full mouthed bullocks to export slaughter topped at 274c to average 265c/ kg.
Medium weight 3 score cows sold to 266 to average 251-256c, isolated single cows to 270c/kg. A pen of prime heavyweight cows made 252c/kg.  Heavy bulls to processors reached 270c to average 257c/kg.

Market Reporter, Mick Kingham"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Steer,400-500,Feeder,D,3,1,NQ,120.0,120.0,120,NQ,230.8,230.8,230.8,486.0,486.0,486
Grown Steer,400-500,Feeder,E,2,2,NQ,166.0,166.0,166,NQ,319.2,319.2,319.2,722.1,722.1,722.0999755859375
Grown Steer,400-500,Processor,D,3,4,NQ,246.0,246.0,246,NQ,473.1,473.1,473.1,1070.1,1070.1,1070.0999755859375
Grown Heifer,0-540,Feeder,D,2,3,-105,140.0,140.0,140,-32.3,269.2,269.2,269.2,483.0,483.0,483
Grown Heifer,0-540,Processor,C,3,3,-32,266.0,272.0,270,93.2,501.9,513.2,509.4,1263.5,1264.8,1264.36669921875
Grown Heifer,0-540,Processor,D,2,3,2,230.0,270.0,244,104.0,396.6,519.2,454.0,793.5,891.0,855.3666585286459
Grown Heifer,0-540,Processor,D,3,1,-19,258.0,258.0,258,79.0,496.2,496.2,496.2,1186.8,1186.8,1186.800048828125
Grown Heifer,0-540,Processor,E,3,1,NQ,228.0,228.0,228,NQ,456.0,456.0,456.0,843.6,843.6,843.5999755859375
Grown Heifer,0-540,Restocker,D,2,71,59,110.0,248.0,233.46478873239437,61.5,211.5,476.9,449.0,368.5,927.2,852.1211212588029
Grown Heifer,0-540,Restocker,D,3,2,NQ,278.0,278.0,278,NQ,534.6,534.6,534.6,1153.7,1153.7,1153.699951171875
Cows,0-400,Feeder,D,1,8,5,50.0,120.0,106.75,-13.3,111.1,260.9,236.5,135.0,396.0,331.42498779296875
Cows,0-400,Processor,D,1,1,NQ,180.0,180.0,180,NQ,391.3,391.3,391.3,657.0,657.0,657
Cows,0-400,Processor,D,2,26,-27,140.0,222.0,196.6153846153846,59.2,325.6,472.3,422.6,539.0,854.7,741.1192392202524
Cows,0-400,Processor,E,2,4,NQ,120.0,120.0,120,NQ,260.9,260.9,260.9,402.0,402.0,402
Cows,0-400,Restocker,E,1,1,NQ,20.0,20.0,20,NQ,45.5,45.5,45.5,52.0,52.0,52
Cows,400-520,Processor,C,3,16,13,256.0,256.0,256,91.0,512.0,512.0,512.0,1216.0,1216.0,1216
Cows,400-520,Processor,D,2,30,26,202.0,270.0,232.66666666666666,70.7,429.8,574.5,492.6,828.2,1134.6,958.8866739908855
Cows,400-520,Processor,D,3,66,-24,240.0,268.0,251.12121212121212,94.1,489.8,537.5,514.4,1008.6,1305.6,1126.3030210552793
Cows,520+,Processor,C,3,9,7,252.0,252.0,252,81.5,484.6,484.6,484.6,1348.2,1348.2,1348.199978298611
Calves,0-80,Restocker,D,2,2,NQ,100.0,100.0,100,NQ,192.3,192.3,192.3,80.0,80.0,80
Bulls,0-450,Feeder,D,2,30,-73,130.0,240.0,196.8,61.6,250.0,461.5,378.5,383.5,852.0,651.1066670735677
Bulls,0-450,Feeder,E,2,1,NQ,188.0,188.0,188,NQ,368.6,368.6,368.6,733.2,733.2,733.2000122070312
Bulls,0-450,Processor,C,2,6,NQ,248.0,248.0,248,NQ,467.9,467.9,467.9,1041.6,1041.6,1041.5999348958333
Bulls,0-450,Restocker,D,2,31,-55,140.0,240.0,200.96774193548387,40.6,274.5,461.5,386.8,312.0,556.5,444.30645161290323
Bulls,450-600,Feeder,D,2,12,8,146.0,260.0,242.5,72.5,280.8,500.0,466.3,817.6,1261.0,1167.6666666666667
Bulls,450-600,Feeder,D,3,4,NQ,250.0,250.0,250,NQ,480.8,480.8,480.8,1387.5,1387.5,1387.5
Bulls,450-600,Processor,C,3,5,NQ,260.0,260.0,260,NQ,481.5,481.5,481.5,1534.0,1534.0,1534
Bulls,600+,Feeder,C,2,3,2,160.0,160.0,160,-25.0,301.9,301.9,301.9,976.0,976.0,976
Bulls,600+,Processor,C,3,8,6,246.0,270.0,256.5,-17.5,473.1,509.4,488.4,1728.0,1943.4,1875.9750366210938
Bulls,600+,Processor,D,3,2,NQ,254.0,254.0,254,NQ,479.2,479.2,479.2,1600.2,1600.2,1600.199951171875
