Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Armidale
Report Date: 20/06/2024
Comparison Date: 13/06/2024
Total Yarding: 400 (-985)
Commentary
"Armidale penned 400 mixed cattle back 985. Plainer cattle dominated however pens of well bred yearlings and weaners suited feeder and background operators. Less quality and a lack of numbers reduced buying power to result in cheaper trends for the most part.

Well bred weaner steers sold to 394c/kg, Most steer weaners sold to cheaper trends. The tops of the heifer weaners were 7c/kg back making 218c to 270c/kg. Quality improvement for light background steers saw a rise of 11c/kg. Similar rises for medium steers 320c to 390c/kg. Plainer yearling heifers under 330kgs were considerably cheaper with medium weights to similar trends. 

Grown heifers to restockers sold 144c to 158c/kg. Medium cows 4c/kg dearer. Heavy cows bore the brunt of the correction 159c to 190c/kg.

Stephen Adams MLA"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,23,8,262.0,370.0,337.6521739130435,11.3,485.2,685.2,625.3,707.4,999.0,906.3391325577446
Yearling Steer,280-330,Restocker,C,2,24,NQ,194.0,350.0,314.5,NQ,359.3,648.1,582.4,620.8,1120.0,968.4166666666666
Yearling Steer,330-400,Feeder,C,2,11,-32,320.0,390.0,383.6363636363636,13.2,592.6,722.2,710.4,1216.0,1404.0,1386.909090909091
Yearling Steer,330-400,Restocker,C,2,22,NQ,180.0,370.0,287.3636363636364,NQ,333.3,685.2,532.2,666.0,1352.8,1027.8727361505682
Yearling Steer,400+,Restocker,C,2,1,NQ,262.0,262.0,262,NQ,485.2,485.2,485.2,1441.0,1441.0,1441
Yearling Heifer,200-280,Restocker,C,2,3,NQ,240.0,250.0,243.33333333333334,NQ,452.8,471.7,459.1,624.0,650.0,632.6666666666666
Yearling Heifer,280-330,Restocker,C,2,20,7,182.0,240.0,211.7,-49.1,343.4,452.8,399.4,600.0,768.0,668.2299865722656
Yearling Heifer,330-400,Processor,C,2,3,NQ,230.0,256.0,243.66666666666666,NQ,434.0,483.0,459.7,851.0,882.0,867.8000081380209
Yearling Heifer,330-400,Restocker,C,2,12,1,210.0,260.0,244.75,-63.9,396.2,490.6,461.8,756.0,992.0,901.2333323160807
Yearling Heifer,400+,Processor,C,2,1,NQ,248.0,248.0,248,NQ,467.9,467.9,467.9,1488.0,1488.0,1488
Yearling Heifer,400+,Processor,C,3,7,NQ,238.0,238.0,238,NQ,449.1,449.1,449.1,1285.2,1285.2,1285.199916294643
Yearling Heifer,400+,Restocker,C,2,1,NQ,228.0,228.0,228,NQ,430.2,430.2,430.2,1003.2,1003.2,1003.2000122070312
Vealer Steer,0-200,Restocker,C,2,1,-21,200.0,200.0,200,-167.8,370.4,370.4,370.4,360.0,360.0,360
Vealer Steer,200-280,Restocker,C,2,10,-88,300.0,370.0,318.2,-40.8,555.6,685.2,589.3,668.8,917.6,767.0599914550781
Vealer Steer,280-330,Feeder,C,2,13,NQ,394.0,394.0,394,NQ,729.6,729.6,729.6,1260.8,1260.8,1260.800030048077
Vealer Steer,280-330,Restocker,C,2,2,1,320.0,320.0,320,-22.2,592.6,592.6,592.6,960.0,960.0,960
Vealer Steer,330+,Restocker,C,2,2,NQ,280.0,280.0,280,NQ,528.3,528.3,528.3,1232.0,1232.0,1232
Vealer Heifer,0-200,Restocker,C,2,4,-4,206.0,206.0,206,-30.2,388.7,388.7,388.7,329.6,329.6,329.6000061035156
Vealer Heifer,200-280,Processor,C,2,11,NQ,218.0,240.0,233.0909090909091,NQ,411.3,452.8,439.8,501.4,624.0,581.9272682883523
Vealer Heifer,200-280,Restocker,C,2,29,-5,218.0,270.0,251.10344827586206,-7.4,411.3,509.4,473.8,501.4,723.6,594.7903295056574
Vealer Heifer,280-330,Restocker,C,2,14,NQ,270.0,270.0,270,NQ,509.4,509.4,509.4,891.0,891.0,891
Grown Heifer,0-540,Processor,C,2,2,-2,167.0,167.0,167,-7.1,321.2,321.2,321.2,617.9,617.9,617.9000244140625
Grown Heifer,0-540,Processor,C,3,4,NQ,182.2,218.0,200.0999984741211,NQ,350.4,419.2,384.8,674.1,872.0,773.0700073242188
Grown Heifer,0-540,Restocker,C,2,13,9,144.0,158.0,154.6153846153846,-26.6,276.9,303.8,297.3,518.4,584.6,570.969228891226
Grown Heifer,540+,Processor,C,2,2,NQ,230.0,230.0,230,NQ,442.3,442.3,442.3,1380.0,1380.0,1380
Grown Heifer,540+,Processor,C,3,3,-5,220.0,230.0,223.33333333333334,-8.7,423.1,442.3,429.5,1276.0,1495.0,1400.3333333333333
Grown Heifer,540+,Restocker,C,2,1,NQ,176.0,176.0,176,NQ,338.5,338.5,338.5,968.0,968.0,968
Cows,400-520,Processor,D,2,14,-3,140.0,160.0,152.14285714285714,4.7,304.3,347.8,329.7,700.0,806.0,747
