Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Forbes
Report Date: 05/08/2024
Comparison Date: 29/07/2024
Total Yarding: 2071 (+1091)
Commentary
"There was a large lift in supply to 2,071 cattle at Forbes an increase of 1,091 head from the previous sale. The increase in numbers attracted additional export buyers into the market. The overall quality was good with a number of consignments of crop and access to grain. Prices were firm to dearer across most classes.

Medium weight yearling steers to feed averaged 379c and made to 418c/kg. Heavy weight yearling steers to feed sold to 415c on a number of occasions with the largest numbers from 392c to 405c/kg. Heavy weight yearling heifers to feed made to 370c with most sales from 294c to 342c/kg. Heavy weight yearling heifers to the local trade market averaged 352 with the very occasional sale to 400c/kg.

Heavy grown steers to export processors made to 372 and the bullock portion made to 368c/kg. However some excellent quality heavy export heifers made to 369c to average 366c/kg. A handful of 6 and 8 tooth bullocks made to 340c to average 333c/kg. 

Medium weight 2 score cows averaged 242c and made to 260c/kg. Heavy weight 3 score cows were noticeably dearer to averaged 288c and the best of the good heavy cows made to 315c to average 306c/kg. Heavy weight bulls made to 283c/kg.
  
Market Reporter, Trevor Hess."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,15,NQ,312.0,312.0,312,NQ,567.3,567.3,567.3,826.8,826.8,826.8
Yearling Steer,280-330,Feeder,C,2,1,-2,350.2,350.2,350.20001220703125,1.2,636.7,636.7,636.7,1050.6,1050.6,1050.5999755859375
Yearling Steer,280-330,Restocker,D,2,12,NQ,268.2,268.2,268.20001220703125,NQ,487.6,487.6,487.6,804.6,804.6,804.5999348958334
Yearling Steer,330-400,Feeder,C,2,121,84,350.0,418.0,385.0495867768595,-24.2,636.4,760.0,700.1,1296.0,1609.3,1477.3086744576447
Yearling Steer,330-400,Feeder,C,3,12,NQ,412.0,412.0,412,NQ,749.1,749.1,749.1,1586.2,1586.2,1586.1998697916667
Yearling Steer,400+,Feeder,C,2,552,459,322.6,415.0,396.44420612722206,12.5,586.5,754.5,720.8,1402.5,2204.2,1866.9202093594315
Yearling Steer,400+,Feeder,D,2,17,NQ,306.2,310.0,308.88235294117646,NQ,556.7,563.6,561.6,1317.5,1485.1,1366.7852711397059
Yearling Steer,400+,Feeder,D,3,10,NQ,290.0,290.0,290,NQ,527.3,527.3,527.3,1189.0,1189.0,1189
Yearling Steer,400+,Processor,C,3,39,36,362.2,383.0,376.8205128205128,86.8,658.5,696.4,685.1,1627.8,1901.6,1739.4615384615386
Yearling Heifer,200-280,Restocker,C,2,16,NQ,271.0,271.0,271,NQ,501.9,501.9,501.9,677.5,677.5,677.5
Yearling Heifer,330-400,Feeder,C,2,18,-41,230.0,350.0,296.6666666666667,-22.0,425.9,648.1,549.4,885.5,1347.5,1142.1666666666667
Yearling Heifer,330-400,Feeder,D,2,2,NQ,220.0,220.0,220,NQ,407.4,407.4,407.4,770.0,770.0,770
Yearling Heifer,400+,Feeder,B,3,8,NQ,400.0,400.0,400,NQ,727.3,727.3,727.3,1700.0,1700.0,1700
Yearling Heifer,400+,Feeder,C,2,69,13,260.0,370.0,294.3507261414459,-34.8,481.5,672.7,544.6,1131.0,1572.5,1268.3039444633152
Yearling Heifer,400+,Feeder,C,3,43,NQ,340.0,347.2,342.67907430959303,NQ,629.6,643.0,634.6,1510.3,1615.0,1576.0492823401162
Yearling Heifer,400+,Processor,B,3,2,NQ,400.0,400.0,400,NQ,714.3,714.3,714.3,1900.0,1900.0,1900
