Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Echuca
Report Date: 12/02/2025
Comparison Date: 05/02/2025
Total Yarding: 1400 (+324)
Commentary
"Supply lifted to 1400 head, and once again there was a wide range of cattle quality in regards to fat cover, weight and breed type. The highlight in this market was much keener domestic processor support, with buyers prepared go with auctioneer asking prices on the lead runs of fed steers and heifers. Bidding for any straight bred beef store calves and yearling feeders also lifted, particularly for lighter weight types which had struggled a week ago. Price gains across the young cattle yarding were in the vicinity of 10c to 30c/kg dearer compared to a week ago. There was also some price improvement for export and manufacturing cattle, but it was more modest at less than 10c for most categories.  Overall, saleyard data showed an average price of 308c/kg over all cattle sold across the yarding, compared to a baseline of 283c/kg last Wednesday.

The best high yielding trade steers and heifers sold from 360c to 397c/kg, with a stand out Limousin steer weighing 430kg topping the sale at 400c/kg. Underneath this was a run of handy trade types with less yield at 320c to 360c/kg. The price average for good C-muscle steers in the 330-480kg weight range was about 375c/kg, while similar sized heifers with muscle averaged 356c/kg. Some heavier fed steers weighing over 500kg topped at 388c/kg. The rate for most of the better bred steers and heifers which sold to restockers was 310c to 360c/kg. But noting demand was still selective for off-bred types or young cattle with horns or temperament issues and these still tracked under 300c/kg.

There was a lot of crossbred manufacturing types steers and heifers in the yarding. Most sold from 220c to 290c/kg, out to a top of about 320c for better covered types with some shape. Restockers were active on crossbred cattle with frame but lacking fat cover. Cow price averages improved slightly, driven up by better results on the plainer types. The heaviest cows remained in a range of 275c to 300c/kg. Leaner and lighter cows mostly 200c to 265c/kg. Most secondary dairy types down to 110c/kg.

Market reporter: Jenny Kelly"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,D,2,13,NQ,328.5,328.5,328.5,NQ,684.4,684.4,684.4,801.5,801.5,801.5399639423077
Yearling Steer,200-280,Restocker,E,2,2,NQ,236.2,236.2,236.1999969482422,NQ,472.4,472.4,472.4,654.3,654.3,654.2739868164062
Yearling Steer,280-330,Feeder,C,2,1,-1,335.0,335.0,335,6.8,656.9,656.9,656.9,1105.5,1105.5,1105.5
Yearling Steer,280-330,Restocker,C,2,6,4,349.6,349.6,349.6000162760417,21.4,685.5,685.5,685.5,1111.7,1111.7,1111.72802734375
Yearling Steer,280-330,Restocker,D,2,17,NQ,314.0,325.0,317.2352941176471,NQ,628.0,650.0,634.5,910.6,997.8,936.2323500689338
Yearling Steer,280-330,Restocker,E,2,3,NQ,282.2,282.2,282.20001220703125,NQ,587.9,587.9,587.9,821.2,821.2,821.2019856770834
Yearling Steer,330-400,Feeder,C,2,17,12,342.2,355.0,354.05883071001836,51.9,645.7,681.9,672.6,1308.5,1402.3,1354.5543356502758
Yearling Steer,330-400,Processor,C,2,3,NQ,356.2,360.0,357.4666748046875,NQ,654.5,659.6,657.9,1253.8,1296.0,1267.8827311197917
Yearling Steer,330-400,Processor,C,3,20,8,360.0,392.2,373.39000549316404,30.5,663.6,700.4,681.8,1241.0,1564.9,1391.9255310058593
Yearling Steer,330-400,Restocker,C,2,21,3,304.6,354.6,330.34286208379837,6.8,585.8,681.9,630.1,1117.9,1308.5,1214.7435477120537
Yearling Steer,330-400,Restocker,D,2,6,-2,287.6,295.0,290.06667073567706,12.1,575.2,578.4,576.3,998.0,1121.0,1038.9813639322917
Yearling Steer,330-400,Restocker,D,3,1,-1,280.6,280.6,280.6000061035156,0.6,529.4,529.4,529.4,1094.3,1094.3,1094.3399658203125
Yearling Steer,400+,Feeder,C,2,17,2,346.2,352.0,349.8823673023897,33.0,653.2,664.2,660.2,1419.4,1647.4,1526.9922018612133
Yearling Steer,400+,Feeder,C,3,2,NQ,336.2,346.6,341.40000915527344,NQ,622.6,641.9,632.2,1479.3,1542.4,1510.8250122070312
Yearling Steer,400+,Processor,B,2,8,4,397.6,397.6,397.6000061035156,27.6,697.5,697.5,697.5,1773.3,1773.3,1773.296142578125
Yearling Steer,400+,Processor,B,3,2,-1,400.6,400.6,400.6000061035156,32.3,702.8,702.8,702.8,1722.6,1722.6,1722.5799560546875
Yearling Steer,400+,Processor,C,2,4,NQ,368.0,375.0,370.25,NQ,669.1,681.8,673.2,1537.5,1646.5,1587.2000122070312
Yearling Steer,400+,Processor,C,3,61,8,335.0,394.6,373.55738005090933,14.5,620.4,704.6,677.7,1390.3,1981.9,1726.1005719294315
Yearling Steer,400+,Processor,C,4,2,NC,375.0,375.0,375,-1.6,669.6,669.6,669.6,2062.5,2062.5,2062.5
Yearling Heifer,200-280,Restocker,D,2,3,1,220.0,260.0,246.66666666666666,6.7,440.0,520.0,493.3,517.0,715.0,649
Yearling Heifer,200-280,Restocker,E,1,1,NQ,160.0,160.0,160,NQ,355.6,355.6,355.6,432.0,432.0,432
Yearling Heifer,280-330,Processor,C,2,1,NQ,348.6,348.6,348.6000061035156,NQ,657.7,657.7,657.7,1150.4,1150.4,1150.3800048828125
Yearling Heifer,280-330,Processor,D,3,2,1,280.2,280.2,280.20001220703125,-24.8,538.8,538.8,538.8,888.2,888.2,888.2340698242188
Yearling Heifer,280-330,Processor,E,3,1,NQ,250.0,250.0,250,NQ,480.8,480.8,480.8,812.5,812.5,812.5
Yearling Heifer,280-330,Restocker,D,2,12,-7,278.2,279.6,278.31668345133465,40.0,556.4,559.2,556.6,815.1,838.8,817.0988922119141
Yearling Heifer,280-330,Restocker,E,2,10,NQ,228.0,255.0,245.5,NQ,475.0,531.3,511.5,702.2,757.3,734.1789916992187
Yearling Heifer,330-400,Feeder,D,2,12,NQ,300.0,300.0,300,NQ,588.2,588.2,588.2,1026.0,1026.0,1026
Yearling Heifer,330-400,Processor,B,3,2,NQ,392.0,392.0,392,NQ,700.0,700.0,700.0,1470.0,1470.0,1470
Yearling Heifer,330-400,Processor,C,2,1,-1,354.2,354.2,354.20001220703125,-3.4,668.3,668.3,668.3,1239.7,1239.7,1239.7000732421875
Yearling Heifer,330-400,Processor,C,3,46,43,330.0,382.6,356.1304447339929,8.3,622.6,708.5,660.2,1139.3,1503.6,1337.3268618376358
Yearling Heifer,330-400,Processor,C,4,5,NQ,368.0,368.0,368,NQ,681.5,681.5,681.5,1361.6,1361.6,1361.6
Yearling Heifer,330-400,Processor,D,3,40,-2,280.0,344.2,311.12500152587893,19.4,538.5,649.4,588.3,965.7,1340.6,1141.973062133789
Yearling Heifer,330-400,Restocker,C,2,1,NQ,320.0,320.0,320,NQ,603.8,603.8,603.8,1072.0,1072.0,1072
Yearling Heifer,330-400,Restocker,C,4,6,NQ,335.0,335.0,335,NQ,620.4,620.4,620.4,1340.0,1340.0,1340
Yearling Heifer,330-400,Restocker,D,2,2,-30,264.2,265.6,264.90000915527344,7.3,510.8,550.4,530.6,1035.8,1056.8,1046.3200073242188
Yearling Heifer,330-400,Restocker,E,2,26,25,240.0,250.0,245.76923076923077,-4.2,500.0,520.8,512.0,806.4,827.5,824.4807692307693
Yearling Heifer,400+,Processor,B,3,8,7,365.0,395.0,391.25,5.0,663.6,705.4,700.1,1623.4,1806.8,1646.3624267578125
Yearling Heifer,400+,Processor,C,3,19,16,338.0,376.2,355.92631932308797,14.6,625.9,696.7,659.1,1426.1,1684.3,1505.6305381373356
