Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Vealer Steer,280-330,Restocker,B,2,1,NQ,334.6,334.6,334.6000061035156,NQ,631.3,631.3,631.3,1003.8,1003.8,1003.7999877929688
Vealer Heifer,200-280,Restocker,D,2,2,NQ,240.0,240.0,240,NQ,480.0,480.0,480.0,648.0,648.0,648
Vealer Heifer,280-330,Processor,C,3,4,NC,330.0,361.2,345.6000061035156,30.6,611.1,668.9,640.0,1072.5,1155.8,1114.1699829101562
Vealer Heifer,280-330,Processor,D,3,1,NQ,260.0,260.0,260,NQ,500.0,500.0,500.0,832.0,832.0,832
Vealer Heifer,330+,Processor,C,3,6,NQ,340.0,340.0,340,NQ,629.6,629.6,629.6,1156.0,1156.0,1156
Manufacturing Steer,0-540,Dairy,D,2,72,39,180.0,272.0,250.04722425672742,-40.1,375.0,544.0,511.6,684.0,1436.2,1196.8372260199653
Manufacturing Steer,0-540,Dairy,D,3,5,NQ,264.0,264.0,264,NQ,528.0,528.0,528.0,1320.0,1320.0,1320
Manufacturing Steer,0-540,Dairy,E,2,23,NQ,200.0,260.0,231.7565281080163,NQ,425.5,541.7,490.7,800.0,1352.0,1000.0017408288044
Manufacturing Steer,540+,Dairy,D,2,22,NQ,150.0,275.0,193.4090909090909,NQ,288.5,550.0,379.5,1200.0,1595.0,1331.7727272727273
Manufacturing Steer,540+,Dairy,D,3,36,NQ,241.6,300.0,280.17222764756946,NQ,464.6,567.3,537.3,1812.0,1976.5,1889.558322482639
Manufacturing Steer,540+,Processor,D,3,19,NQ,325.6,331.6,329.3894813939145,NQ,603.0,614.1,610.0,2181.5,2221.7,2206.909539473684
Manufacturing Steer,540+,Processor,D,4,8,NQ,315.0,315.0,315,NQ,583.3,583.3,583.3,2142.0,2142.0,2142
Grown Steer,400-500,Restocker,C,2,17,-2,290.0,311.6,299.21177404067095,-12.5,557.7,599.2,569.6,1218.0,1422.2,1340.455264820772
Grown Steer,400-500,Restocker,D,2,2,-3,300.0,300.0,300,10.0,576.9,576.9,576.9,1320.0,1320.0,1320
Grown Steer,400-500,Restocker,D,3,1,NQ,310.0,310.0,310,NQ,607.8,607.8,607.8,1550.0,1550.0,1550
Grown Steer,500-600,Feeder,C,3,15,NQ,335.0,376.6,371.05335286458336,NQ,632.1,697.4,688.7,1842.5,2221.9,2171.3479166666666
Grown Steer,500-600,Processor,B,3,5,-4,375.0,375.0,375,-5.0,657.9,657.9,657.9,2212.5,2212.5,2212.5
Grown Steer,500-600,Processor,C,2,3,-43,325.0,325.0,325,0.8,601.9,601.9,601.9,1787.5,1787.5,1787.5
Grown Steer,500-600,Processor,C,3,44,8,321.0,360.0,340.8727278275923,-7.7,590.9,654.5,619.6,1815.0,2124.0,1976.9349920099432
Grown Steer,500-600,Processor,D,2,3,NQ,285.0,285.0,285,NQ,537.7,537.7,537.7,1624.5,1624.5,1624.5
Grown Steer,500-600,Processor,D,3,8,NQ,301.6,301.6,301.6000061035156,NQ,558.5,558.5,558.5,1809.6,1809.6,1809.5999755859375
Grown Steer,500-600,Restocker,B,2,2,NQ,360.0,360.0,360,NQ,654.5,654.5,654.5,1980.0,1980.0,1980
Grown Steer,500-600,Restocker,C,2,15,NQ,324.6,335.0,328.65333658854166,NQ,612.5,621.9,618.5,1785.3,1959.8,1823.2266927083333
Grown Steer,500-600,Restocker,C,3,10,NQ,335.6,335.6,335.6,NQ,621.5,621.5,621.5,1912.9,1912.9,1912.9201171875
Grown Steer,600-750,Feeder,C,3,12,NQ,358.0,373.6,363.2000020345052,NQ,650.9,679.3,660.4,2353.7,2380.7,2371.6932779947915
Grown Steer,600-750,Processor,C,3,62,NQ,325.0,378.0,362.438712827621,NQ,590.9,687.3,654.0,2015.0,2608.2,2379.6248424899195
Grown Steer,600-750,Processor,C,4,31,-19,311.6,366.6,354.78064850837956,-5.3,566.5,666.5,645.1,2181.2,2529.5,2383.6609989289313
Grown Steer,600-750,Processor,D,3,52,NQ,302.6,331.6,316.41539118840143,NQ,560.4,614.1,586.0,1861.0,2221.7,2033.3892728365386
Grown Steer,600-750,Processor,D,4,9,NQ,315.0,315.0,315,NQ,583.3,583.3,583.3,2331.0,2331.0,2331
Grown Steer,600-750,Restocker,C,2,5,NQ,330.6,330.6,330.6,NQ,612.2,612.2,612.2,2049.7,2049.7,2049.719921875
Grown Steer,750+,Processor,C,4,4,NQ,314.6,314.6,314.6000061035156,NQ,572.0,572.0,572.0,2516.8,2516.8,2516.800048828125
Grown Steer,750+,Processor,D,3,5,NQ,307.6,307.6,307.6,NQ,569.6,569.6,569.6,2337.8,2337.8,2337.7599609375
Grown Steer,750+,Processor,D,4,9,NQ,310.0,310.0,310,NQ,563.6,563.6,563.6,2635.0,2635.0,2635
Grown Heifer,0-540,Dairy,D,3,5,NQ,270.0,270.0,270,NQ,519.2,519.2,519.2,1161.0,1161.0,1161
Grown Heifer,0-540,Processor,C,3,5,-14,307.6,340.0,325.44000244140625,-16.0,569.6,629.6,602.7,1415.0,1792.8,1550.143994140625
Grown Heifer,0-540,Processor,C,4,17,NQ,331.6,334.0,333.29411764705884,NQ,614.1,618.5,617.2,1525.4,1803.6,1721.7646484375
Grown Heifer,0-540,Processor,D,2,2,-33,240.0,240.0,240,-32.7,461.5,461.5,461.5,1080.0,1080.0,1080
Grown Heifer,0-540,Processor,D,3,30,15,265.0,320.0,289.4600006103516,-31.5,500.0,603.8,547.8,1060.0,1728.0,1382.6803344726563
