Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Muchea
Report Date: 20/01/2025
Comparison Date: 13/01/2025
Total Yarding: 2101 (+1361)
Commentary
"There was just over 2000 head today almost tripling last weeks total. The sale consisted of generous volumes of local weaner steers and heifers penned in large lines along with good runs of cows while bulls and pastoral supplies remained conservative. The buying field contained the usual faces as well as several seasonal buyers chasing weaners. Weaners strs and heifers lifted as expected with the extra buyers and were stronger by 20c while cows and slaughter bulls also gained 10/12c/kg.
Weaner steers under 330kg were started from 174c up to 364c with more fat cover while heavier bodies returned 290c to 354c/kg.  Lighter weaner heifers ranged from 80c to 254c and heavier heifers topped at 322 c/kg.  Yearling steers sold from 232c to 356c quality dependent while plain yearling heifers sold from 160c to 230c and better conditioned heifers sold to a top of 300c/kg.
Grown steers ranged from 224c to 316c while grown heifers made 220c to 280c/kg . Cows were in demand with all grades gaining as light cows sold from 100c to 180c, medium weights from 188c to 208c and prime cows realized 246c/kg. 
The limited lines of shipping bulls sold from 220c to 308c and slaughter bulls lifted 10c to return 150c to 242c/kg.
Terry Birkin MLA"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,0-200,Pastoral Cattle,D,2,5,NQ,90.0,90.0,90,NQ,180.0,180.0,180.0,175.5,175.5,175.5
Yearling Steer,200-280,Pastoral Cattle,D,2,16,14,80.0,170.0,137.5,17.5,160.0,340.0,275.0,188.8,460.7,362.1875
Yearling Steer,200-280,Pastoral Cattle,D,3,7,NQ,180.0,262.0,191.71428571428572,NQ,339.6,494.3,361.7,464.4,529.2,473.662841796875
Yearling Steer,280-330,Feeder,C,3,6,-2,278.0,300.0,281.6666666666667,-27.8,505.5,545.5,512.1,859.0,930.0,870.8500162760416
Yearling Steer,280-330,Pastoral Cattle,D,3,13,12,252.0,272.0,269.6923076923077,19.7,475.5,513.2,508.9,780.3,818.7,803.3830801156851
Yearling Steer,280-330,Processor,C,2,8,NQ,268.0,268.0,268,NQ,515.4,515.4,515.4,809.4,809.4,809.3599853515625
Yearling Steer,280-330,Restocker,C,3,3,-1,300.0,300.0,300,40.0,545.5,545.5,545.5,921.0,921.0,921
Yearling Steer,330-400,Feeder,C,3,34,26,232.0,356.0,313.3529411764706,34.4,421.8,647.3,569.7,870.0,1352.8,1167.481179630055
Yearling Steer,330-400,Feeder,D,3,5,NQ,300.0,300.0,300,NQ,566.0,566.0,566.0,993.0,993.0,993
Yearling Steer,330-400,Processor,C,3,8,NQ,288.0,288.0,288,NQ,523.6,523.6,523.6,1057.0,1057.0,1056.9599609375
Yearling Steer,400+,Feeder,C,3,35,29,266.0,340.0,318.2857142857143,46.6,483.6,618.2,578.7,1181.0,1519.8,1440.1628836495536
Yearling Steer,400+,Processor,C,3,13,11,300.0,300.0,300,36.0,545.5,545.5,545.5,1233.0,1605.0,1490.5384615384614
Yearling Steer,400+,Processor,D,3,7,2,240.0,240.0,240,-13.6,452.8,452.8,452.8,1075.2,1075.2,1075.199916294643
Yearling Heifer,200-280,Live Export,D,3,13,NQ,200.0,226.0,208,NQ,384.6,452.0,405.3,470.0,617.0,515.224609375
Yearling Heifer,200-280,Pastoral Cattle,D,2,16,-4,76.0,126.0,109.125,13.6,152.0,252.0,218.3,186.2,338.9,280.053747177124
Yearling Heifer,280-330,Feeder,C,3,10,4,174.0,280.0,259.2,-4.1,334.6,538.5,498.5,511.6,905.3,824.0280029296875
Yearling Heifer,280-330,Live Export,C,3,5,NQ,254.0,254.0,254,NQ,488.5,488.5,488.5,792.5,792.5,792.47998046875
Yearling Heifer,280-330,Live Export,D,3,18,NQ,256.0,256.0,256,NQ,512.0,512.0,512.0,796.2,796.2,796.1599934895834
Yearling Heifer,280-330,Pastoral Cattle,D,3,2,-13,192.0,192.0,192,-9.2,369.2,369.2,369.2,581.8,581.8,581.760009765625
Yearling Heifer,280-330,Restocker,C,2,2,NQ,160.0,160.0,160,NQ,320.0,320.0,320.0,488.0,488.0,488
Yearling Heifer,280-330,Restocker,C,3,10,NQ,224.0,278.0,261.8,NQ,430.8,534.6,503.5,725.8,911.8,856.0160400390625
Yearling Heifer,330-400,Feeder,C,2,5,4,274.0,274.0,274,74.0,548.0,548.0,548.0,937.1,937.1,937.07998046875
Yearling Heifer,330-400,Feeder,C,3,34,16,230.0,298.0,279.52941176470586,10.8,442.3,573.1,537.6,920.0,1170.1,1060.8070427389705
Yearling Heifer,330-400,Feeder,D,3,2,-6,282.0,282.0,282,20.0,542.3,542.3,542.3,1085.7,1085.7,1085.699951171875
Yearling Heifer,330-400,Pastoral Cattle,D,2,14,8,100.0,148.0,124,-76.0,208.3,308.3,258.3,352.0,535.8,443.8800048828125
Yearling Heifer,330-400,Pastoral Cattle,D,3,5,-6,196.0,196.0,196,-31.5,376.9,376.9,376.9,717.4,717.4,717.3599609375
