Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Blackall
Report Date: 15/08/2024
Comparison Date: 08/08/2024
Total Yarding: 961 (-3139)
Commentary
"With scattered showers in the supply area Blackall Agents had a reduced yarding to 961 head. All the regular processors present as well as feedlotters and backgrounders. A mixed quality yarding of cattle penned.

Light weight yearling steers under 200kg topped 318c/kg. Medium weight yearling steers  sold from 292c to 334c/kg. 

Light weight yearling heifers under 200kg topped 258c to average 237c/kg. Yearling heifers 200 to 280kg with the majority selling from 246c to 290c/kg for the better quality lines. Yearling heifers 280 to 330kg sold to a firm market and sold to 275c/kg. Yearling heifers 400 to 480kg to feed made from 216c to 235c/kg.

Grown steers over 600kg topped 296c/kg. Grown heifers over 540kg sold well to 276c/kg. A small number of cows penned and sold to a stronger trend. The 2 score cows sold from 200c to 235c/kg. The 3 score cows made to 286c to average 269c/kg. A large number of bulls also penned. Bulls over 600kg made from 150c to a top of 232c/kg. Bulls under 450kg made to 294c/kg. A quality line Santa cross cow & calves sold to $1740/head

Market Reporter David Friend."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,0-200,Restocker,C,2,42,15,318.2,318.2,318.20000930059524,-71.8,636.4,636.4,636.4,604.6,604.6,604.5800316220239
Yearling Steer,280-330,Restocker,C,2,17,-15,302.2,334.2,322.90589815027573,-32.0,604.4,668.4,645.8,967.0,1002.6,990.0493738511029
Yearling Steer,330-400,Feeder,C,2,1,-32,300.0,300.0,300,-53.1,600.0,600.0,600.0,1140.0,1140.0,1140
Yearling Steer,330-400,Restocker,C,2,2,-112,292.2,292.2,292.20001220703125,-45.8,584.4,584.4,584.4,1110.4,1110.4,1110.360107421875
Yearling Heifer,0-200,Processor,D,1,10,NQ,120.0,172.2,166.97999267578126,NQ,240.0,344.4,334.0,240.0,344.4,333.9599853515625
Yearling Heifer,0-200,Restocker,C,2,27,-98,220.0,258.2,236.977783203125,-69.1,440.0,516.4,474.0,396.0,516.4,449.51112196180554
Yearling Heifer,0-200,Restocker,D,1,22,NQ,168.2,172.2,171.10908647017047,NQ,336.4,344.4,342.2,275.5,336.4,292.12362393465907
Yearling Heifer,200-280,Feeder,C,2,36,NQ,230.2,236.2,235.70000203450522,NQ,460.4,472.4,471.4,598.5,637.7,634.471666124132
Yearling Heifer,200-280,Processor,D,1,3,NQ,198.2,198.2,198.19999186197916,NQ,396.4,396.4,396.4,406.3,406.3,406.3099772135417
Yearling Heifer,200-280,Restocker,C,2,67,-205,246.2,290.2,256.170143241313,-25.1,492.4,580.4,512.3,546.0,689.4,661.6071850221548
Yearling Heifer,200-280,Restocker,D,1,34,NQ,58.2,150.2,104.44117647058823,NQ,116.4,300.4,208.9,163.0,420.6,292.43528837316177
Yearling Heifer,280-330,Feeder,C,2,24,NQ,244.2,244.2,244.19999186197916,NQ,488.4,488.4,488.4,732.6,732.6,732.5999348958334
Yearling Heifer,280-330,Restocker,C,2,100,-7,246.2,275.0,246.77599609375,-15.8,492.4,550.0,493.6,763.2,880.0,784.365263671875
Yearling Heifer,330-400,Feeder,C,2,154,-30,212.2,266.2,255.10779918323863,-8.8,424.4,532.4,510.2,742.7,1011.6,927.6619191355519
Yearling Heifer,330-400,Restocker,C,2,36,5,216.2,254.2,253.1444443596734,1.3,432.4,508.4,506.3,730.8,859.2,855.6282602945963
Yearling Heifer,400+,Feeder,C,2,43,15,216.2,262.2,244.2883740802144,-41.0,432.4,524.4,484.7,972.9,1179.9,1097.623296693314
Yearling Heifer,400+,Processor,C,2,1,NQ,230.0,230.0,230,NQ,460.0,460.0,460.0,1012.0,1012.0,1012
Yearling Heifer,400+,Processor,D,1,2,NQ,193.2,193.2,193.1999969482422,NQ,386.4,386.4,386.4,869.4,869.4,869.4000244140625
Yearling Heifer,400+,Restocker,C,2,6,NQ,235.0,235.0,235,NQ,470.0,470.0,470.0,1057.5,1057.5,1057.5
