Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Naracoorte
Report Date: 27/08/2024
Comparison Date: 
Total Yarding: 655 (NQ)
Commentary
" Cattle numbers increased by 200 with 655 yarded this week. Numbers were made up of 411 young cattle, 229 cows 5 grown bulls and a few open auction young cattle. Quality was mixed with well finished processing cattle in limited numbers, but with a few pens of grain assisted steers and heifers penned. The usual buying group attended and operated in a similar market on the grown steers and heifers, dearer on the few quality pens off grain to be up by 10c to 20/kg. Vealers and yearlings sold to the trade from 260c to 405c for the better types. Cows generally eased 10c to 20c on last week’s high levels with bulls selling to 300c to be a little dearer. 

Young cattle sold to the trade from 260 to 405c with feeders paying from 240c to 406c/kg. Plainer types sold from 80c to 180c/kg. 

Light and medium weight grown steers sold from 340c to 392c with feeders paying from 345c to 365c. Heavy steers sold to the trade from 382c to 400c. Medium weight grown heifers sold from 270c to 388c with heavy weights selling from 318c to 388c/kg. Feeders and restockers paid from 265f to 365c/kg. 

Light 1 and 2 score cows sold from 100c to 170c. Medium weight 2 and 3 score cows sold from 130 to 240c with the heavy 3 and 4 score cows selling from 308c to 350c, and  the 1 and 2 scores selling from 140c to 306c/kg. Medium bulls sold from 140c to 162, heavy weights sold from 290c to 300c with feeders paying from 140c to 270c/kg. 


Market Reporter - Graham Pymer."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Vealer Heifer,280-330,Feeder,D,2,1,NQ,242.0,242.0,242,NQ,465.4,465.4,465.4,689.7,689.7,689.7000122070312
Vealer Heifer,330+,Feeder,C,3,3,NQ,310.0,364.0,343,NQ,563.6,674.1,631.7,1069.5,1244.9,1179.7100016276042
Vealer Heifer,330+,Feeder,D,2,1,NQ,320.0,320.0,320,NQ,603.8,603.8,603.8,1200.0,1200.0,1200
Vealer Heifer,330+,Processor,C,3,3,NQ,405.0,405.0,405,NQ,736.4,736.4,736.4,1478.3,1478.3,1478.25
Vealer Heifer,330+,Processor,D,3,3,NQ,398.0,398.0,398,NQ,737.0,737.0,737.0,1572.1,1572.1,1572.0999348958333
Manufacturing Steer,0-540,Feeder,D,2,13,NQ,262.0,300.0,282.46153846153845,NQ,524.0,576.9,552.5,1310.0,1575.0,1452.6923076923076
Manufacturing Steer,0-540,Restocker,D,1,11,NQ,200.0,200.0,200,NQ,400.0,400.0,400.0,570.0,570.0,570
Grown Steer,500-600,Feeder,C,3,2,NQ,345.0,345.0,345,NQ,638.9,638.9,638.9,1811.3,1811.3,1811.25
Grown Steer,500-600,Feeder,D,3,7,NQ,365.0,365.0,365,NQ,688.7,688.7,688.7,1916.3,1916.3,1916.25
Grown Steer,500-600,Processor,C,3,38,37,370.0,392.0,381.39473684210526,21.4,672.7,722.2,699.8,1984.5,2320.5,2188.0907689144738
Grown Steer,500-600,Processor,C,4,4,NQ,380.0,380.0,380,NQ,703.7,703.7,703.7,2280.0,2280.0,2280
Grown Steer,500-600,Processor,D,3,3,NQ,340.0,370.0,350,NQ,641.5,698.1,660.4,1989.0,2164.5,2047.5
