Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Forbes
Report Date: 17/03/2025
Comparison Date: 10/03/2025
Total Yarding: 2130 (+1449)
Commentary
"Numbers jumped this sale with agents yarding 2130head. Quality was very mixed with some handy lines of well bred cattle penned along with the plainer and secondary lines. Yearlings made up the majority of the yarding. The was an extra buyers present and competing in a firm to dearer market. 

Yearling steers to feed lifted 10c to 15c/kg to sell from 320 to 403c/kg for middle and heavyweights. Those to processors sold from 325 to 386c/kg. The heifer portion to feed was also 5 to 10c better to receive from 270 to 342c/kg. Finished lines to processors ranged in price from 310 to 353c/kg. 

Heavy steers and bullocks sold from 315 to 385c/kg. Grown heifers reached 305c/kg. Cows held fairly steady with heavy 2 score from 269 to 275c and the better finished 3 score ranging from 267 to 293c/kg. The best heavy bull reached 310c/kg."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,22,21,338.0,383.2,377.036376953125,15.0,625.9,709.6,698.2,919.7,946.4,923.3236416903409
Yearling Steer,280-330,Feeder,C,2,4,-7,330.0,330.0,330,-35.4,611.1,611.1,611.1,1056.0,1056.0,1056
Yearling Steer,280-330,Feeder,C,3,5,NQ,345.0,345.0,345,NQ,638.9,638.9,638.9,1104.0,1104.0,1104
Yearling Steer,330-400,Feeder,C,2,233,188,320.0,403.6,382.6369144292348,23.9,592.6,747.4,708.6,1152.0,1614.4,1469.9280068065987
Yearling Steer,330-400,Feeder,C,3,72,NQ,346.0,400.0,378.7444491916233,NQ,640.7,740.7,701.4,1258.0,1560.0,1416.1533338758682
Yearling Steer,330-400,Processor,C,3,6,5,355.0,370.0,357.5,7.5,657.4,685.2,662.0,1349.0,1480.0,1370.8333333333333
Yearling Steer,330-400,Restocker,C,2,51,43,340.0,365.2,356.3725538066789,-9.6,629.6,676.3,659.9,1156.0,1460.8,1339.1917700674019
Yearling Steer,400+,Feeder,C,2,137,67,320.0,403.0,387.8919757926551,24.9,592.6,746.3,718.3,1312.0,1852.7,1638.563640510949
Yearling Steer,400+,Feeder,C,3,135,91,330.0,403.6,385.07705258969906,16.1,611.1,747.4,713.1,1353.0,1752.1,1627.0287254050927
Yearling Steer,400+,Processor,C,3,97,71,325.0,385.0,361.97113477569263,0.8,601.9,713.0,670.3,1449.0,2079.0,1847.0950462105347
Yearling Heifer,200-280,Restocker,C,2,9,7,314.0,315.0,314.3333333333333,34.3,581.5,583.3,582.1,753.6,787.5,764.8999565972222
Yearling Heifer,200-280,Restocker,C,3,4,-5,300.0,300.0,300,10.6,555.6,555.6,555.6,840.0,840.0,840
Yearling Heifer,280-330,Feeder,C,2,2,NQ,290.0,290.0,290,NQ,537.0,537.0,537.0,899.0,899.0,899
Yearling Heifer,280-330,Restocker,C,3,8,-4,297.0,297.0,297,-22.0,550.0,550.0,550.0,891.0,891.0,891
