Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Forbes
Report Date: 17/03/2025
Comparison Date: 10/03/2025
Total Yarding: 2130 (+1449)
Commentary
"Numbers jumped this sale with agents yarding 2130head. Quality was very mixed with some handy lines of well bred cattle penned along with the plainer and secondary lines. Yearlings made up the majority of the yarding. The was an extra buyers present and competing in a firm to dearer market. 

Yearling steers to feed lifted 10c to 15c/kg to sell from 320 to 403c/kg for middle and heavyweights. Those to processors sold from 325 to 386c/kg. The heifer portion to feed was also 5 to 10c better to receive from 270 to 342c/kg. Finished lines to processors ranged in price from 310 to 353c/kg. 

Heavy steers and bullocks sold from 315 to 385c/kg. Grown heifers reached 305c/kg. Cows held fairly steady with heavy 2 score from 269 to 275c and the better finished 3 score ranging from 267 to 293c/kg. The best heavy bull reached 310c/kg."
Yearling Heifer,330-400,Feeder,C,2,66,43,271.0,340.0,317.54545454545456,3.4,501.9,629.6,588.0,921.4,1224.0,1151.415157433712
Yearling Heifer,330-400,Feeder,C,3,98,75,326.0,342.0,333.197960678412,17.7,603.7,633.3,617.0,1165.5,1368.0,1268.9036690848213
Yearling Heifer,330-400,Processor,C,3,47,40,310.0,349.2,331.20425609832114,17.8,574.1,646.7,613.3,1105.0,1361.9,1232.292345412234
Yearling Heifer,330-400,Restocker,C,2,12,NQ,310.0,333.2,323.53334554036456,NQ,574.1,617.0,599.1,1085.0,1332.8,1250.2167154947917
Yearling Heifer,400+,Feeder,C,2,22,-1,325.0,330.2,326.89091352982956,11.2,601.9,611.5,605.4,1365.0,1485.9,1408.9636452414773
Yearling Heifer,400+,Feeder,C,3,49,3,333.6,338.2,334.6938775510204,15.5,617.8,626.3,619.8,1367.8,1386.6,1372.2449378188776
Yearling Heifer,400+,Processor,C,3,96,59,310.0,383.6,339.76666768391925,4.1,574.1,710.4,629.2,1302.0,1918.0,1558.0112571716309
Vealer Heifer,0-200,Restocker,C,2,3,NQ,285.0,285.0,285,NQ,527.8,527.8,527.8,513.0,513.0,513
Grown Steer,400-500,Processor,C,2,6,NQ,320.0,320.0,320,NQ,592.6,592.6,592.6,1472.0,1472.0,1472
Grown Steer,500-600,Processor,C,3,14,-2,315.0,377.0,364.3000008719308,9.2,583.3,698.1,674.6,1648.3,1998.1,1944.1728254045759
Grown Steer,600-750,Processor,C,3,3,2,320.0,320.0,320,-20.0,592.6,592.6,592.6,2041.6,2041.6,2041.5999348958333
Grown Heifer,0-540,Processor,C,1,7,NQ,240.0,240.0,240,NQ,480.0,480.0,480.0,1056.0,1056.0,1056
Grown Heifer,0-540,Processor,C,2,15,11,260.2,280.0,261.52001953125,1.5,481.9,518.5,484.3,1327.0,1456.0,1335.61875
Grown Heifer,0-540,Processor,C,3,13,8,310.0,320.0,316.8923152043269,46.9,574.1,592.6,586.8,1426.0,1612.6,1554.9969200721155
Grown Heifer,540+,Processor,C,3,3,NQ,305.0,305.0,305,NQ,564.8,564.8,564.8,1738.5,1738.5,1738.5
Cows,400-520,Processor,D,2,15,NQ,241.2,255.0,243.039990234375,NQ,482.4,510.0,486.1,1157.8,1275.0,1173.3919921875
Cows,400-520,Processor,D,3,10,4,260.0,260.0,260,-10.7,520.0,520.0,520.0,1300.0,1300.0,1300
Cows,400-520,Processor,E,2,15,NQ,226.2,226.2,226.2,NQ,481.3,481.3,481.3,1108.4,1108.4,1108.3799479166667
Cows,400-520,Restocker,D,1,7,NQ,230.2,230.2,230.20000348772322,NQ,489.8,489.8,489.8,1151.0,1151.0,1151
Cows,520+,Processor,D,1,62,NQ,221.2,258.2,233.93225885206652,NQ,442.4,516.4,467.9,1238.7,1549.2,1315.326439642137
Cows,520+,Processor,D,2,109,74,260.0,275.0,264.4366992635465,0.9,520.0,550.0,528.9,1430.0,1768.8,1534.770073286984
Cows,520+,Processor,D,3,223,180,267.2,293.2,284.5452954758443,-3.8,534.4,586.4,569.1,1549.8,2407.0,1880.2340837829315
Cows,520+,Restocker,D,1,17,NQ,250.0,250.0,250,NQ,500.0,500.0,500.0,1425.0,1425.0,1425
Bulls,450-600,Processor,C,2,2,NQ,260.0,275.0,267.5,NQ,481.5,509.3,495.4,1248.0,1595.0,1421.5
Bulls,600+,Processor,C,2,17,10,245.0,292.0,274.8235294117647,-19.4,453.7,540.7,508.9,1494.5,2394.4,1911.87646484375
Bulls,600+,Processor,C,3,1,NQ,310.0,310.0,310,NQ,574.1,574.1,574.1,2635.0,2635.0,2635
