Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Naracoorte
Report Date: 03/09/2024
Comparison Date: 27/08/2024
Total Yarding: 516 (-139)
Commentary
"Naracoorte agents yarded 576 cattle following a week of wild windy weather. Numbers were back by 139 head and made up of 186 young cattle, 234 cows, 29 grown bulls and 67 open auction young cattle. Quality was mixed with the regular buying group in attendance and operating in a mostly firm market, dearer in spots on the quality lots. Medium weight grain fed steers sold to the trade at 400c and to feeders at 410c to be a little dearer. Heavy cows eased 8c with the lighter weights gaining 5c to 10/kg. Bulls sold to 333c to be dearer. 

Young cattle sold to the trade from 260c to 400c and sold to feeders from 300c to 410c/kg. Plainer types sold from 240c to 292c. 

Light and medium grown steers sold from 380c to 410c, heavy weights were scarce and sold from 380c to 390c/kg. Feeders paid from 400c to 408c/kg. Medium weight grown heifers sold from 238c to 370c with heavier weights selling from 314c to 342c/kg. Feeders and restockers paid from 268c to 332c/kg. Medium weight 2 and 3 score cows sold from 186c to 254c. Heavy 3 and 4 score cows sold from 300c to 342c with plainer heavy cows selling from 280c to 310c/kg. Restocker’s paid to 182c/kg for cows. Light and medium weight bulls sold to 250c, with heavy bulls selling from 238c to 333c/kg. Feeders paid from 252c to 286c/kg for bulls. A run of open auction calves and young cattle sold to feeders and restockers from $60 to $760/head for steers and from $60 to $580/head for the heifers. 

Market Reporter - Graham Pymer."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Feeder,D,2,7,4,246.0,325.0,302.42857142857144,32.4,464.2,601.9,562.5,787.2,1056.3,979.3785749162946
Yearling Steer,280-330,Processor,D,2,1,NQ,220.0,220.0,220,NQ,423.1,423.1,423.1,715.0,715.0,715
Yearling Steer,330-400,Feeder,C,2,3,-28,280.0,320.0,306.6666666666667,-76.3,518.5,592.6,567.9,1050.0,1200.0,1150
Yearling Steer,330-400,Feeder,D,2,2,-4,250.0,250.0,250,-83.3,471.7,471.7,471.7,862.5,862.5,862.5
Yearling Steer,330-400,Processor,C,2,1,NQ,260.0,260.0,260,NQ,472.7,472.7,472.7,1040.0,1040.0,1040
Yearling Steer,400+,Feeder,C,3,7,-19,410.0,410.0,410,23.6,745.5,745.5,745.5,1742.5,1742.5,1742.5
Yearling Steer,400+,Processor,C,3,13,NQ,400.0,400.0,400,NQ,727.3,727.3,727.3,1820.0,1820.0,1820
Yearling Heifer,280-330,Restocker,D,2,4,NQ,246.0,246.0,246,NQ,473.1,473.1,473.1,799.5,799.5,799.5
Yearling Heifer,330-400,Feeder,C,2,3,NQ,275.0,275.0,275,NQ,518.9,518.9,518.9,976.3,976.3,976.25
Yearling Heifer,330-400,Feeder,D,2,9,7,255.0,284.0,271.1111111111111,51.1,481.1,535.8,511.5,892.5,951.4,925.2222222222222
Yearling Heifer,330-400,Restocker,C,2,13,10,292.0,292.0,292,-48.0,550.9,550.9,550.9,1007.4,1007.4,1007.4000150240385
Yearling Heifer,400+,Feeder,C,2,6,NQ,305.0,305.0,305,NQ,575.5,575.5,575.5,1479.3,1479.3,1479.25
Yearling Heifer,400+,Processor,C,4,11,NQ,355.0,355.0,355,NQ,645.5,645.5,645.5,1863.8,1863.8,1863.75
Vealer Steer,200-280,Restocker,D,1,7,NQ,130.0,130.0,130,NQ,260.0,260.0,260.0,325.0,325.0,325
Vealer Steer,280-330,Feeder,D,2,1,NQ,322.0,322.0,322,NQ,607.5,607.5,607.5,991.8,991.8,991.760009765625
Vealer Steer,330+,Feeder,C,3,18,NQ,330.0,390.0,379.3333333333333,NQ,600.0,709.1,689.7,1155.0,1462.5,1400.1944444444443
Vealer Heifer,280-330,Feeder,C,2,1,NC,240.0,240.0,240,-45.0,461.5,461.5,461.5,780.0,780.0,780
Vealer Heifer,330+,Feeder,C,3,11,8,300.0,376.0,333,-10.0,555.6,683.6,610.0,1080.0,1372.4,1208.6318359375
Grown Steer,400-500,Feeder,D,2,5,NQ,288.0,288.0,288,NQ,543.4,543.4,543.4,1396.8,1396.8,1396.8
Grown Steer,500-600,Feeder,C,3,3,1,400.0,400.0,400,55.0,727.3,727.3,727.3,2100.0,2100.0,2100
Grown Steer,500-600,Feeder,C,4,11,NQ,408.0,408.0,408,NQ,741.8,741.8,741.8,2264.4,2264.4,2264.3998579545455
Grown Steer,500-600,Processor,C,3,14,-24,390.0,410.0,407.14285714285717,25.7,709.1,759.3,752.1,2242.5,2357.5,2341.0714285714284
Grown Steer,500-600,Processor,C,4,7,3,380.0,380.0,380,NC,678.6,678.6,678.6,2223.0,2223.0,2223
Grown Steer,600-750,Processor,C,3,7,NQ,380.0,388.0,383.42857142857144,NQ,690.9,705.5,697.1,2375.0,2425.0,2396.4285714285716
Grown Steer,600-750,Processor,C,4,3,-11,390.0,390.0,390,-2.3,709.1,709.1,709.1,2437.5,2437.5,2437.5
Grown Heifer,0-540,Feeder,C,3,3,NQ,332.0,332.0,332,NQ,638.5,638.5,638.5,1743.0,1743.0,1743
Grown Heifer,0-540,Feeder,D,1,4,NQ,162.0,215.0,196.75,NQ,337.5,447.9,409.9,486.0,967.5,696.5
Grown Heifer,0-540,Feeder,D,2,2,-3,255.0,255.0,255,NC,510.0,510.0,510.0,1160.3,1160.3,1160.25
Grown Heifer,0-540,Processor,C,2,4,NQ,260.0,340.0,320,NQ,490.6,641.5,603.8,1365.0,1819.0,1705.5
Grown Heifer,0-540,Processor,C,3,4,-5,316.0,370.0,344,-32.0,596.2,711.5,655.8,1564.2,1942.5,1758.2999877929688
Grown Heifer,0-540,Processor,D,1,1,NQ,90.0,90.0,90,NQ,195.7,195.7,195.7,315.0,315.0,315
Grown Heifer,0-540,Processor,D,2,4,-2,238.0,238.0,238,-32.0,457.7,457.7,457.7,1190.0,1190.0,1190
Grown Heifer,0-540,Restocker,D,1,19,NQ,268.0,268.0,268,NQ,536.0,536.0,536.0,1299.8,1299.8,1299.8000616776317
Grown Heifer,540+,Feeder,C,2,4,NQ,292.0,292.0,292,NQ,550.9,550.9,550.9,1591.4,1591.4,1591.4000244140625
Grown Heifer,540+,Processor,C,3,7,-27,314.0,342.0,334,-21.3,570.9,633.3,615.5,1774.1,2086.2,1997.028564453125
Grown Heifer,540+,Processor,C,4,7,-70,340.0,340.0,340,-17.3,629.6,629.6,629.6,2193.0,2193.0,2193
Cows,400-520,Processor,D,1,16,5,244.0,254.0,252.125,68.5,508.3,552.2,544.0,1256.6,1270.0,1267.4874877929688
Cows,400-520,Processor,E,1,6,NQ,186.0,190.0,188.66666666666666,NQ,404.3,413.0,410.1,902.1,921.5,915.0333251953125
Cows,400-520,Restocker,D,1,5,-10,182.0,182.0,182,-70.0,395.7,395.7,395.7,864.5,864.5,864.5
Cows,520+,Processor,D,1,3,-1,280.0,280.0,280,49.5,583.3,583.3,583.3,1470.0,1470.0,1470
Cows,520+,Processor,D,2,61,16,220.0,310.0,273.344262295082,-1.5,449.0,620.0,554.1,1155.0,1860.0,1522.936059170082
Cows,520+,Processor,D,3,70,24,300.0,332.0,319.87142857142857,-1.3,566.0,638.5,606.3,1801.8,2174.6,1984.573566545759
Cows,520+,Processor,D,4,52,11,338.0,342.0,340.2692307692308,0.3,625.9,633.3,630.1,2213.9,2465.0,2285.05961726262
Bulls,0-450,Feeder,C,1,3,-1,252.0,252.0,252,86.0,504.0,504.0,504.0,919.8,919.8,919.7999674479166
Bulls,450-600,Feeder,C,2,5,2,286.0,286.0,286,16.0,520.0,520.0,520.0,1430.0,1430.0,1430
Bulls,450-600,Processor,C,1,1,-1,250.0,250.0,250,98.0,480.8,480.8,480.8,1462.5,1462.5,1462.5
Bulls,600+,Processor,B,1,1,NQ,256.0,256.0,256,NQ,465.5,465.5,465.5,1856.0,1856.0,1856
Bulls,600+,Processor,B,2,23,21,240.0,333.0,282.5652173913044,-12.4,428.6,594.6,506.5,1830.0,3003.0,2274.5760975713315
Bulls,600+,Processor,C,1,1,NQ,230.0,230.0,230,NQ,425.9,425.9,425.9,1552.5,1552.5,1552.5
Bulls,600+,Processor,C,2,6,NQ,238.0,320.0,274,NQ,432.7,571.4,494.8,1725.5,2880.0,2163.9166666666665
