Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: IRLX Inverell
Report Date: 14/05/2024
Comparison Date: 07/05/2024
Total Yarding: 1232 (+1018)
Commentary
"Inverell penned 1232 head an increase of 1018 from last week. It was a dearer market for the most part with the regular buyers attending however not all operated.

Weaner steers were 9c/kg dearer with strong competition from restockers.  Conversely heifers sold to a cheaper result of 23c/kg with an input of slightly plainer offerings. Backgrounders pushed light yearling steers to 396c/kg and an increase of 34c/kg. Medium feeders were considerably dearer and resulted in an average of 351c/kg. Restockers were competitive on light yearling heifers with a rise of 10c/kg. Medium weight feeder heifers followed similar category steers to be dearer topping at 306c/kg.

No numbers of grown steers to quote however heavy grown heifers to process sold to a rise of 23c/kg. All cows were dearer the medium weights selling to 208c/kg. The heavy categories to 18c/kg better selling 204c to 235c/kg. Bulls made 248c/kg.

Stephen Adams  MLA"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Feeder,C,2,1,NQ,328.2,328.2,328.20001220703125,NQ,607.8,607.8,607.8,919.0,919.0,918.9600219726562
Yearling Steer,200-280,Feeder,D,2,6,NQ,126.2,126.2,126.19999186197917,NQ,233.7,233.7,233.7,353.4,353.4,353.3599853515625
Yearling Steer,200-280,Restocker,C,2,8,-11,290.2,396.2,346.7000045776367,34.6,537.4,733.7,642.0,812.6,1030.1,908.6750106811523
Yearling Steer,280-330,Feeder,C,2,22,NQ,290.2,372.2,342.0818231756037,NQ,537.4,689.3,633.5,841.6,1178.2,1077.9854542125356
Yearling Steer,280-330,Restocker,C,2,37,NQ,330.0,392.2,348.77298221072635,NQ,611.1,726.3,645.9,986.0,1166.2,1076.7613558382602
Yearling Steer,330-400,Feeder,C,2,87,81,320.0,374.2,351.42529577496407,51.4,592.6,693.0,650.8,1122.7,1414.4,1276.618649537536
Yearling Steer,330-400,Processor,C,2,2,NQ,350.0,350.0,350,NQ,648.1,648.1,648.1,1225.0,1225.0,1225
Yearling Steer,400+,Feeder,C,2,9,NQ,322.2,348.2,341.53333875868054,NQ,596.7,644.8,632.5,1514.5,1804.3,1704.7333170572917
Yearling Heifer,200-280,Feeder,C,2,5,NQ,312.2,319.2,313.6000122070312,NQ,589.1,602.3,591.7,842.9,893.8,853.10400390625
Yearling Heifer,200-280,Live Export,C,2,9,NQ,262.2,262.2,262.20000542534723,NQ,494.7,494.7,494.7,707.9,707.9,707.9399956597222
Yearling Heifer,200-280,Processor,C,2,6,2,244.2,244.2,244.19999186197916,-40.4,460.8,460.8,460.8,610.5,610.5,610.5
Yearling Heifer,200-280,Restocker,C,2,3,-1,280.2,280.2,280.20001220703125,-28.0,528.7,528.7,528.7,784.6,784.6,784.5599772135416
Yearling Heifer,280-330,Feeder,C,2,70,NQ,278.2,324.2,311.95143345424106,NQ,524.9,611.7,588.6,881.0,1056.0,984.9668526785714
Yearling Heifer,280-330,Processor,C,2,3,NC,292.2,316.2,300.20001220703125,96.9,551.3,596.6,566.4,948.6,964.3,959.0400390625
Yearling Heifer,280-330,Restocker,C,2,80,77,260.2,320.2,286.770002746582,10.6,490.9,604.2,541.1,754.6,1024.6,878.4015022277832
Yearling Heifer,330-400,Feeder,C,2,40,NQ,235.0,324.0,305.9550048828125,NQ,443.4,611.3,577.3,846.0,1128.5,1066.710009765625
Yearling Heifer,330-400,Processor,C,3,13,NQ,270.2,335.0,330.015385554387,NQ,509.8,632.1,622.7,945.7,1239.5,1216.9000056340144
Yearling Heifer,330-400,Restocker,C,2,8,NQ,236.2,276.2,241.20000457763672,NQ,445.7,521.1,455.1,822.0,939.1,836.614013671875
Yearling Heifer,400+,Feeder,C,2,7,NQ,306.2,318.2,315.05714634486606,NQ,577.7,600.4,594.4,1286.0,1391.3,1368.4114815848213
Yearling Heifer,400+,Processor,C,2,1,NQ,304.2,304.2,304.20001220703125,NQ,574.0,574.0,574.0,1368.9,1368.9,1368.9000244140625
Yearling Heifer,400+,PTIC,C,2,9,NQ,310.2,310.2,310.20000542534723,NQ,585.3,585.3,585.3,1706.1,1706.1,1706.0999348958333
Vealer Steer,0-200,Restocker,C,2,16,15,260.0,348.2,342.6875,58.5,481.5,644.8,634.6,520.0,626.8,620.0875244140625
Vealer Steer,200-280,Processor,C,2,2,1,280.2,280.2,280.20001220703125,30.2,518.9,518.9,518.9,728.5,728.5,728.52001953125
Vealer Steer,200-280,Restocker,C,2,30,-9,320.2,392.2,366.46668904622396,9.9,593.0,726.3,678.6,736.5,1058.9,917.3119873046875
Vealer Heifer,0-200,Processor,C,2,4,1,250.0,250.0,250,10.0,471.7,471.7,471.7,425.0,425.0,425
Vealer Heifer,0-200,Restocker,C,2,4,1,250.0,250.0,250,-28.2,471.7,471.7,471.7,400.0,400.0,400
