Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Charters Towers
Report Date: 10/04/2024
Comparison Date: 03/04/2024
Total Yarding: 1650 (+706)
Commentary
"Numbers increased by 660 for a yarding of 1610 cattle.  Quality improved throughout, comprising of several good lines of heavy prime cows along with some good quality store steers and heifers. Buyer demand improved with two additional processors operating along with one live exporter, a regular feeder and several opportunity restockers and backgrounders.  Cattle were drawn from Richmond to Tully, with many from the local area.

Light steers returning to the paddock sold to 320c, while similar heifers reached 238c to average 232c/kg and processor types averaged 226c/kg. Yearling steers above 200kg to restockers made to 314c to average 273c, those above 280kg averaged 261c/kg.  Yearling steers above 330kg to feed averaged 258c, a small number of similar weight yearling heifers averaged 248c/kg.  Good quality heavy grown steers to the trade sold to 276c to average 270c/kg.  Heavy grown heifers to the trade reached 250c to average from 228c to 245c/kg.

A small sample of heavy bullocks to export slaughter sold to 258c. Medium weight 3 score cows sold to 232c to average 213c/kg. Prime heavyweight cows topped at 234c to average from 219c to 230c/kg.  Heavy bulls to live export sold to 278c, most from 260c to 266c/kg.

Cows and calves sold from $860 to $980 per unit.

Market Reporter, Mick Kingham"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Vealer Heifer,200-280,Restocker,D,2,21,5,180.0,230.0,223.33333333333334,72.0,346.2,442.3,429.5,432.0,583.0,564.4761904761905
Vealer Heifer,280-330,Processor,C,2,7,NQ,230.0,230.0,230,NQ,442.3,442.3,442.3,655.5,655.5,655.5
Manufacturing Steer,0-540,Feeder,D,3,3,NQ,258.0,258.0,258,NQ,486.8,486.8,486.8,1006.2,1006.2,1006.2000325520834
Manufacturing Steer,0-540,Processor,D,3,20,12,222.0,256.0,251.6,-8.4,426.9,483.0,473.8,865.8,1335.6,1185.5000091552733
Manufacturing Steer,0-540,Processor,E,2,1,NQ,100.0,100.0,100,NQ,196.1,196.1,196.1,390.0,390.0,390
Manufacturing Steer,540+,Processor,C,3,8,NQ,256.0,256.0,256,NQ,465.5,465.5,465.5,1484.8,1484.8,1484.800048828125
Manufacturing Steer,540+,Processor,D,4,2,NQ,244.0,244.0,244,NQ,443.6,443.6,443.6,1488.4,1488.4,1488.4000244140625
Grown Steer,0-400,Feeder,D,2,1,-7,256.0,256.0,256,52.3,492.3,492.3,492.3,972.8,972.8,972.7999877929688
Grown Steer,0-400,Processor,D,2,1,-5,200.0,200.0,200,-35.0,384.6,384.6,384.6,780.0,780.0,780
Grown Steer,400-500,Feeder,C,3,17,NQ,274.0,274.0,274,NQ,507.4,507.4,507.4,1328.9,1328.9,1328.9000459558824
Grown Steer,400-500,Feeder,D,3,2,NQ,247.0,247.0,247,NQ,466.0,466.0,466.0,1222.7,1222.7,1222.6500244140625
Grown Steer,400-500,Processor,C,3,2,NQ,242.0,242.0,242,NQ,456.6,456.6,456.6,1185.8,1185.8,1185.800048828125
Grown Steer,400-500,Processor,D,2,8,-3,239.0,244.0,239.625,-14.4,459.6,469.2,460.8,1000.4,1027.7,1024.2874298095703
Grown Steer,400-500,Processor,D,3,7,6,256.0,256.0,256,-4.0,474.1,474.1,474.1,1254.4,1254.4,1254.3999720982142
Grown Steer,500-600,Processor,C,3,28,NQ,266.0,276.0,270.2142857142857,NQ,483.6,511.1,498.8,1542.8,1581.2,1571.7713797433037
Grown Heifer,0-540,Feeder,C,2,10,NQ,250.0,250.0,250,NQ,480.8,480.8,480.8,887.5,887.5,887.5
Grown Heifer,0-540,Processor,C,3,21,NQ,230.0,246.0,245.23809523809524,NQ,460.0,464.2,464.0,908.5,1070.1,1062.404761904762
Grown Heifer,0-540,Processor,D,2,6,NQ,172.0,236.0,220,NQ,330.8,472.0,437.8,584.8,955.8,826.7666625976562
Grown Heifer,0-540,Processor,D,3,20,17,222.0,238.0,228.4,-14.9,435.3,457.7,444.3,943.5,1142.4,1023.060009765625
Grown Heifer,0-540,Restocker,D,2,4,NQ,162.0,162.0,162,NQ,311.5,311.5,311.5,502.2,502.2,502.20001220703125
Cows,0-400,Feeder,D,1,58,NQ,88.0,154.0,142.74137931034483,NQ,195.6,342.2,317.2,290.4,562.5,425.59827502020477
Cows,0-400,Feeder,D,2,28,NQ,120.0,152.0,142.64285714285714,NQ,260.9,330.4,310.3,426.0,562.5,503.5892900739397
Cows,0-400,Processor,B,3,1,NQ,154.0,154.0,154,NQ,327.7,327.7,327.7,608.3,608.3,608.2999877929688
Cows,0-400,Processor,D,1,4,NQ,150.0,150.0,150,NQ,326.1,326.1,326.1,540.0,540.0,540
Cows,0-400,Processor,D,2,31,18,80.0,188.0,164.7741935483871,-20.3,173.9,400.0,354.5,276.0,742.6,632.787093623992
Cows,0-400,Processor,D,3,20,NQ,150.0,176.0,165.5,NQ,319.1,374.5,352.1,570.0,704.0,649.8799987792969
Cows,0-400,Processor,E,2,8,7,152.0,152.0,152,-18.0,330.4,330.4,330.4,554.8,554.8,554.7999877929688
Cows,0-400,Restocker,D,1,20,18,186.0,186.0,186,86.0,413.3,413.3,413.3,651.0,651.0,651
Cows,400-520,Processor,C,3,20,NQ,230.0,232.0,230.7,NQ,451.0,464.0,456.9,954.5,1161.5,1109.625
Cows,400-520,Processor,C,5,1,NQ,226.0,226.0,226,NQ,434.6,434.6,434.6,1175.2,1175.2,1175.199951171875
Cows,400-520,Processor,D,2,35,34,160.0,204.0,175.02857142857144,-35.0,340.4,434.0,373.0,668.3,887.4,738.1457170758929
Cows,400-520,Processor,D,3,223,163,170.0,230.0,213.28699551569505,-12.5,361.7,475.0,439.0,688.5,1173.0,989.5197296826829
Cows,400-520,Processor,D,4,2,NQ,210.0,210.0,210,NQ,420.0,420.0,420.0,987.0,987.0,987
Cows,400-520,Restocker,D,2,1,NQ,196.0,196.0,196,NQ,417.0,417.0,417.0,813.4,813.4,813.4000244140625
Cows,520+,Processor,C,3,14,NQ,216.0,224.0,219.42857142857142,NQ,423.5,439.2,430.3,1176.0,1177.2,1176.6856863839287
Cows,520+,Processor,C,4,22,NQ,222.0,234.0,229.86363636363637,NQ,435.3,458.0,453.6,1176.6,1298.7,1249.2250255237925
