Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Forbes
Report Date: 06/01/2025
Comparison Date: 16/12/2024
Total Yarding: 471 (-470)
Commentary
"The first sale for 2025 saw agents yard 471 head. Quality was mixed but fair with some handy lines of finished cattle offered along with the plainer types. The usual buyers were present and competing in a market that opened strongly showing a 15 to 25c/kg increase from the previous sale. 

Yearling steers to feed sold from 320c to 413c/kg. Heavyweight finished lines to processors received from 340 to 394c/kg. The heifer portion was also strong with feeders paying from 340 to 372c/kg. Those to processors received from 300c to 350c/kg. 

Heavy steers and bullocks ranged in price from 338 to 367c/kg with grown heifers reaching 348c/kg. Some handy runs of heavy cows sold from 290c to 310c with plainer types receiving from 260c to 288c/kg."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Feeder,C,2,4,NQ,362.0,362.0,362,NQ,670.4,670.4,670.4,1158.4,1158.4,1158.4000244140625
Yearling Steer,330-400,Feeder,C,2,36,-17,347.2,413.0,382.01111178927954,41.4,643.0,764.8,707.4,1349.0,1444.0,1399.4877590603298
Yearling Steer,330-400,Feeder,C,3,9,NQ,380.0,410.0,396.6666666666667,NQ,703.7,759.3,734.6,1406.0,1640.0,1536
Yearling Steer,330-400,Processor,C,3,3,NQ,320.0,320.0,320,NQ,592.6,592.6,592.6,1216.0,1216.0,1216
Yearling Steer,400+,Feeder,C,2,37,-258,359.2,412.2,395.88108372043916,48.3,665.2,763.3,733.1,1575.0,1690.0,1655.7621410472973
Yearling Steer,400+,Feeder,C,3,33,NQ,320.0,397.2,385.7212283972538,NQ,592.6,735.6,714.3,1504.0,1787.4,1679.381776751894
Yearling Steer,400+,Processor,C,3,34,28,340.0,394.2,366.65882783777573,53.7,629.6,730.0,679.0,1734.0,2336.0,2075.251780790441
Yearling Heifer,280-330,Processor,C,3,6,NQ,300.0,300.0,300,NQ,555.6,555.6,555.6,900.0,900.0,900
Yearling Heifer,330-400,Feeder,C,3,4,NQ,340.0,340.0,340,NQ,629.6,629.6,629.6,1224.0,1224.0,1224
Yearling Heifer,330-400,Processor,C,3,11,-13,300.0,340.0,320,9.4,555.6,629.6,592.6,1110.0,1326.0,1190.5454545454545
Yearling Heifer,330-400,Processor,D,3,4,NQ,300.0,300.0,300,NQ,555.6,555.6,555.6,1140.0,1140.0,1140
Yearling Heifer,330-400,Restocker,C,3,6,NQ,320.0,320.0,320,NQ,592.6,592.6,592.6,1088.0,1088.0,1088
Yearling Heifer,400+,Feeder,C,2,4,-91,300.0,300.0,300,-17.2,555.6,555.6,555.6,1290.0,1290.0,1290
Yearling Heifer,400+,Feeder,C,3,35,NQ,372.2,372.2,372.2,NQ,689.3,689.3,689.3,1563.2,1563.2,1563.239955357143
Yearling Heifer,400+,Live Export,C,3,2,NQ,343.2,343.2,343.20001220703125,NQ,635.6,635.6,635.6,1784.6,1784.6,1784.6400146484375
Yearling Heifer,400+,Processor,C,2,2,NQ,310.0,310.0,310,NQ,574.1,574.1,574.1,1333.0,1333.0,1333
Yearling Heifer,400+,Processor,C,3,25,-3,325.0,350.0,342.6,22.3,601.9,648.1,634.4,1419.0,1560.0,1469.08
Grown Steer,400-500,Feeder,C,2,5,NQ,290.0,327.2,297.44000244140625,NQ,537.0,605.9,550.8,1305.0,1374.2,1318.847998046875
Grown Steer,500-600,Processor,C,3,4,NQ,339.2,350.2,344.70001220703125,NQ,628.1,648.5,638.3,1831.7,1961.1,1896.4000244140625
Grown Steer,600-750,Processor,C,3,7,NQ,338.2,347.2,339.4857264927455,NQ,626.3,643.0,628.7,2130.7,2569.3,2193.319893973214
Grown Heifer,0-540,Processor,C,2,3,NQ,280.0,280.0,280,NQ,518.5,518.5,518.5,1120.0,1120.0,1120
Grown Heifer,0-540,Processor,C,3,2,NQ,285.0,344.2,314.6000061035156,NQ,527.8,637.4,582.6,1453.5,1755.4,1604.4600219726562
Grown Heifer,540+,Processor,C,3,24,NQ,338.2,348.2,343.61667887369794,NQ,626.3,644.8,636.3,2096.8,2263.3,2187.005859375
Cows,400-520,Processor,D,2,3,-10,250.0,250.0,250,-7.7,500.0,500.0,500.0,1250.0,1250.0,1250
Cows,520+,Processor,D,2,40,NQ,260.0,288.0,282.8,NQ,520.0,576.0,565.6,1430.0,1872.0,1744.25
Cows,520+,Processor,D,3,61,54,290.0,310.0,301.37704918032784,22.1,580.0,620.0,602.8,1682.0,2108.0,1949.5344198258197
Bulls,450-600,Processor,C,2,8,NQ,300.0,300.0,300,NQ,555.6,555.6,555.6,1740.0,1740.0,1740
Bulls,600+,Processor,C,2,4,NQ,250.0,292.2,272.8500061035156,NQ,463.0,541.1,505.3,1850.0,2746.7,2308.260009765625
