Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: HRLX Singleton
Report Date: 11/09/2024
Comparison Date: 04/09/2024
Total Yarding: 618 (-253)
Commentary
"
A 30% reduction in numbers saw Singleton agents pen 618 cattle perhaps lacking the bloom of last sale. Despite this the market saw dearer trends for most weaner categories as commission buyers came with a few new orders. Butchers competed strongly on the few grain assisted high yielding types, the few yearlings generally held firm whilst 2 score cows were dearer and heavier types were cheaper.
 
Light weaner steers generally 30c to 70c/kg dearer selling from 292c to 458c/kg averaging over $4 a kg, B muscle butcher calves just under 400kg to 374c/kg. Light weaner heifers followed suit trading from 260c to 346c/kg. Medium and heavy yearling steers to both re-stock and feed positive trends selling from 300c to 418c/kg.
 
Heavy grown steers and bullocks little change making up to 334c/kg. Light 2 score cows dearer by 3c/kg making from 220c to 272c/kg, heavy 3 scores cheaper by 16c/kg, selling from 270c to 298c/kg.
 
Market Operator Angus Barlow."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,330-400,Feeder,C,2,5,NQ,400.0,400.0,400,NQ,769.2,769.2,769.2,1340.0,1340.0,1340
Yearling Steer,330-400,Feeder,C,3,6,5,316.0,376.0,358,-6.0,607.7,709.4,677.4,1232.4,1355.2,1296.3333536783855
Yearling Steer,330-400,Restocker,C,2,6,-1,418.0,418.0,418,122.0,803.8,803.8,803.8,1442.1,1442.1,1442.0999348958333
Yearling Steer,330-400,Restocker,C,3,18,-5,372.0,372.0,372,22.2,701.9,701.9,701.9,1246.2,1246.2,1246.199978298611
Yearling Steer,400+,Feeder,C,2,25,NQ,300.0,372.0,344.4,NQ,576.9,715.4,662.3,1380.0,1636.8,1531.32
Yearling Steer,400+,Feeder,C,3,8,4,302.0,378.0,316.5,-34.5,569.8,726.9,601.8,1432.9,1644.3,1516.9500122070312
Yearling Steer,400+,Processor,C,3,3,NQ,310.0,310.0,310,NQ,584.9,584.9,584.9,1658.5,1658.5,1658.5
Yearling Steer,400+,Restocker,C,2,2,-7,334.0,334.0,334,58.0,642.3,642.3,642.3,1386.1,1386.1,1386.0999755859375
Yearling Heifer,330-400,Feeder,C,2,1,-2,330.0,330.0,330,20.0,634.6,634.6,634.6,1155.0,1155.0,1155
Yearling Heifer,330-400,Feeder,C,3,3,-2,292.0,320.0,301.3333333333333,-18.7,561.5,615.4,579.5,1124.2,1232.0,1160.13330078125
Yearling Heifer,400+,Feeder,C,3,11,6,316.0,334.0,325.8181818181818,-0.2,607.7,630.2,620.0,1386.1,1627.4,1520.0727317116477
Yearling Heifer,400+,Processor,C,3,1,-1,334.0,334.0,334,18.0,630.2,630.2,630.2,1503.0,1503.0,1503
Vealer Steer,0-200,Restocker,C,2,5,-14,376.0,448.0,427.6,104.8,723.1,861.5,822.3,695.6,752.4,733.12001953125
Vealer Steer,200-280,Restocker,B,3,1,NQ,400.0,400.0,400,NQ,754.7,754.7,754.7,1100.0,1100.0,1100
