Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Powranna
Report Date: 26/11/2024
Comparison Date: 19/11/2024
Total Yarding: 138 (-44)
Commentary
"There was a smaller yarding of 138 trade and export cattle at Powranna on Thursday with not as many secondary yearlings as last week.
The market was generally similar with yearling steers making 248c to 276 and heifers 230c to 266c.
Grown steers and bullocks made 250c to 282c. The was a similar number of 50 cows and market was fully firm with heavy pens making 220c to 250c and leaner 130c to 190c/kg liveweight.

Market Reporter Richard Bailey"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,330-400,Processor,C,3,2,1,264.0,264.0,264,-36.0,471.4,471.4,471.4,1016.4,1016.4,1016.4000244140625
Yearling Steer,330-400,Restocker,C,3,6,4,276.0,276.0,276,NC,530.8,530.8,530.8,1057.1,1057.1,1057.0799153645833
Yearling Steer,400+,Processor,C,3,8,NC,252.0,266.0,261.5,3.0,458.2,483.6,474.4,1033.2,1407.1,1279.1100006103516
Yearling Steer,400+,Restocker,C,3,1,-11,248.0,248.0,248,-29.7,450.9,450.9,450.9,1140.8,1140.8,1140.800048828125
Yearling Heifer,330-400,Processor,C,3,1,NQ,242.0,242.0,242,NQ,456.6,456.6,456.6,847.0,847.0,847
Yearling Heifer,330-400,Restocker,C,2,4,1,202.0,250.0,238,15.3,396.1,480.8,459.6,727.2,1000.0,931.8000030517578
Yearling Heifer,330-400,Restocker,C,3,4,NQ,260.0,260.0,260,NQ,481.5,481.5,481.5,910.0,910.0,910
Yearling Heifer,400+,Processor,C,2,3,NQ,230.0,230.0,230,NQ,451.0,451.0,451.0,1064.9,1064.9,1064.9000651041667
Yearling Heifer,400+,Processor,C,3,9,-6,244.0,266.0,255.77777777777777,-25.6,451.9,494.3,476.7,1083.6,1436.4,1202.7555609809028
Yearling Heifer,400+,Restocker,C,3,2,NC,250.0,250.0,250,-5.0,471.7,471.7,471.7,1200.0,1200.0,1200
Grown Steer,400-500,Restocker,C,2,4,NQ,198.0,198.0,198,NQ,388.2,388.2,388.2,831.6,831.6,831.5999755859375
Grown Steer,400-500,Restocker,C,3,3,NQ,255.0,255.0,255,NQ,481.1,481.1,481.1,1257.2,1257.2,1257.1500651041667
Grown Steer,500-600,Processor,C,3,4,3,260.0,266.0,264,14.0,464.3,483.6,475.7,1452.0,1508.0,1491.4500122070312
Grown Steer,500-600,Restocker,C,3,4,NC,250.0,262.0,257,NC,471.7,485.2,478.1,1325.0,1480.3,1430.1749877929688
Grown Steer,600-750,Processor,C,3,4,NC,258.0,282.0,270.5,4.0,460.7,503.6,480.9,1876.0,2030.4,1940.6500244140625
Grown Steer,750+,Processor,C,3,1,-1,254.0,254.0,254,-16.0,453.6,453.6,453.6,1930.4,1930.4,1930.4000244140625
Cows,400-520,Processor,D,3,4,3,220.0,228.0,222,12.0,423.1,438.5,426.9,1003.2,1128.6,1097.2499542236328
Cows,400-520,Restocker,D,1,12,-3,130.0,190.0,160,48.0,282.6,422.2,352.4,676.0,767.6,721.7999674479166
Cows,520+,Processor,D,3,23,-1,220.0,250.0,233.1304347826087,2.6,415.1,463.0,433.8,1265.0,1987.5,1559.282619310462
Cows,520+,Restocker,D,1,7,NQ,130.0,158.0,134,NQ,282.6,329.2,289.3,708.5,916.4,738.2000034877232
Bulls,600+,Processor,C,2,4,1,220.0,225.0,221.25,15.9,379.3,387.9,383.1,1936.0,2205.0,2014.25
