Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Bairnsdale
Report Date: 16/10/2024
Comparison Date: 09/10/2024
Total Yarding: 192 (-159)
Commentary
"There were approximately 165 export and 30 young cattle penned representing a decrease of 160 head week-on-week. Most of the usual buyers were present and operating in a cheaper market. Quality was limited again with cows making up over half of the sale. The young cattle sold mostly to restockers. Grown lots sold to weaker demand from processors as quality remained an issue. Cows eased 10c to 15c/kg on most sales. Heavy bulls sold firm. 

Yeraling steers to restockers sold from 266c to 289c with one to the trade at 340c/kg. Yearling heifers to restockers made between 243c and 320c/kg. Grown steers sold between 310c and 340c/kg. 

Heavy manufacturing steers made from 260c to 290c/kg. Most light and medium weight cows sold from 190c to 288c/kg. Heavy weight cows made mostly between 257c and 295c/kg. Heavy bulls sold between 282c and 336c/kg. 

This report was prepared remotely.
Market reporter: Brendan Fletcher."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,330-400,Restocker,C,2,3,-4,289.0,289.0,289,-11.9,535.2,535.2,535.2,1147.3,1147.3,1147.3299153645833
Yearling Steer,330-400,Restocker,D,2,2,NQ,266.0,266.0,266,NQ,511.5,511.5,511.5,997.5,997.5,997.5
Yearling Steer,400+,Processor,C,3,2,NQ,340.0,340.0,340,NQ,618.2,618.2,618.2,1536.8,1536.8,1536.800048828125
Yearling Heifer,330-400,Processor,D,2,4,3,248.0,248.0,248,-32.0,476.9,476.9,476.9,853.1,853.1,853.1199951171875
Yearling Heifer,330-400,Restocker,D,2,5,-7,243.0,243.0,243,-45.2,486.0,486.0,486.0,833.5,833.5,833.4900390625
Yearling Heifer,400+,Processor,C,2,5,NQ,320.0,320.0,320,NQ,592.6,592.6,592.6,1459.2,1459.2,1459.2
Yearling Heifer,400+,Processor,D,2,2,NQ,286.0,286.0,286,NQ,550.0,550.0,550.0,1287.0,1287.0,1287
Yearling Heifer,400+,Processor,D,3,1,NQ,310.0,310.0,310,NQ,574.1,574.1,574.1,1333.0,1333.0,1333
Yearling Heifer,400+,Restocker,C,2,1,NQ,295.0,295.0,295,NQ,546.3,546.3,546.3,1327.5,1327.5,1327.5
Yearling Heifer,400+,Restocker,D,2,1,-9,280.0,280.0,280,20.0,538.5,538.5,538.5,1330.0,1330.0,1330
Manufacturing Steer,0-540,Dairy,D,1,7,NQ,202.0,250.0,236.28571428571428,NQ,429.8,520.8,495.1,727.2,1182.5,1059.67143031529
Manufacturing Steer,0-540,Processor,D,1,8,NQ,190.0,269.0,241.875,NQ,395.8,560.4,503.9,579.5,1315.4,1075.5687866210938
Manufacturing Steer,0-540,Restocker,D,2,2,NQ,270.0,270.0,270,NQ,519.2,519.2,519.2,1269.0,1269.0,1269
Manufacturing Steer,540+,Dairy,D,2,9,NQ,260.0,272.0,264,NQ,500.0,523.1,513.1,1466.4,1755.0,1537.3466796875
Manufacturing Steer,540+,Processor,D,2,1,-8,290.0,290.0,290,-18.0,557.7,557.7,557.7,1580.5,1580.5,1580.5
