Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Bairnsdale
Report Date: 06/06/2024
Comparison Date: 30/05/2024
Total Yarding: 497 (+37)
Commentary
"There were approximately 380 export and 120 young cattle penned representing an increase of 40 head week-on-week. Most of the usual buying group was present and operating in a dearer market in places. Quality improved with more prime cattle and fewer cows. Trade cattle sold to stronger demand however there were too few yarded previously for comparison. Grown steers and bullocks sold firm. Manufacturing steers sold up to 30c/kg dearer. Cows kicked 20c to 40c/kg. Heavy bulls sold firm. 

Vealers sold from 244c to 322c/kg. A sprinkling of yearling trade steers reached 330c/kg. A small but good selection of yearling heifers to the trade made between 290c and 310c/kg. Grown steers and bullocks sold between 270c and 331c/kg. A good quality selection of grown heifers with finish made from 280c to 320c/kg. 

Heavy manufacturing steers sold from 250c to 322c/kg. Most light and medium weight cows made between 155c and 242c/kg. Heavy weight cows sold mostly between 192c and 285c/kg. Heavy bulls sold between 212c and 247c/kg. 

Market reporter: Brendan Fletcher."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Steer,600-750,Processor,D,3,4,2,290.0,300.0,295,-17.0,537.0,555.6,546.3,1860.0,1980.7,1920.3499755859375
Grown Steer,750+,Processor,D,3,2,NQ,278.0,278.0,278,NQ,514.8,514.8,514.8,2426.9,2426.9,2426.93994140625
Grown Heifer,0-540,Processor,D,2,2,-8,230.0,230.0,230,-7.0,460.0,460.0,460.0,1018.9,1018.9,1018.9000244140625
Grown Heifer,0-540,Processor,D,3,13,NQ,280.0,320.0,302.46153846153845,NQ,538.5,592.6,567.8,1372.0,1660.8,1541.0154278094951
Grown Heifer,540+,Processor,C,3,8,NQ,310.0,310.0,310,NQ,563.6,563.6,563.6,2018.1,2018.1,2018.0999755859375
Grown Heifer,540+,Processor,D,2,7,3,278.0,278.0,278,40.3,534.6,534.6,534.6,1512.3,1512.3,1512.3198939732142
Grown Heifer,540+,Processor,D,3,11,NC,280.0,290.0,284.54545454545456,15.5,522.2,553.8,530.6,1568.0,1872.0,1765.5126953125
Grown Heifer,540+,Restocker,D,2,2,1,245.0,245.0,245,21.0,471.2,471.2,471.2,1347.5,1347.5,1347.5
Cows,0-400,Restocker,E,1,10,8,100.0,150.0,140,-17.0,250.0,357.1,335.7,350.0,598.5,548.8
Cows,400-520,Dairy,E,1,19,-12,155.0,182.0,174.89473684210526,30.4,387.5,433.3,421.3,643.3,848.1,791.524748149671
