Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Shepparton
Report Date: 22/10/2024
Comparison Date: Date not set
Total Yarding: 4000 (NQ)
Commentary
"There were 1870 cattle offered at Shepparton, of that 1300 export and 570 were trade cattle. The majority of buyers were present. There were fewer bullocks over 600kg liveweight. The trade cattle were of mixed quality, as both supplementary fed finished cattle and store lines were on offer. 

Store buyers were more subdued. Some cattle clearly showing the affects of the drier spring conditions. The yearling steers ranged from 310c to a top of 392c/kg to average 343c/kg. The yearling heifers made from 280c to 385c/kg to av 325c/kg lwt. 

Finished Freisian steers made to 290c/kg. The 500 to 600kg grown steers C3 and C4 made from 300c to 352c/kg, while the 600kg plus bullocks reached 365c/kg. There were fewer cows about and dairy cows ranged from 218c to 280c/kg to average 244c/kg. The beef cattle made from 244c to 310c/kg with the majority selling around 285c/kg."
"There were 1870 cattle offered at Shepparton, of that 1300 export and 570 were trade cattle. The majority of buyers were present. There were fewer bullocks over 600kg liveweight. The trade cattle were of mixed quality, as both supplementary fed finished cattle and store lines were on offer. 

Some cattle clearly showing the affects of the drier spring conditions. The yearling steers ranged from 310c to a top of 392c/kg to average 343c/kg. The yearling heifers made from 280c to 385c/kg to av 325c/kg lwt. 

Finished Freisian steers made to 290c/kg. The 500 to 600kg grown steers C3 and C4 made from 300c to 352c/kg, while the 600kg plus bullocks reached 365c/kg. There were fewer cows about and dairy cows ranged from 218c to 280c/kg to average 244c/kg. The beef cattle made from 244c to 310c/kg with the majority selling around 285c/kg."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Manufacturing Steer,540+,Dairy,D,2,140,48,275.0,292.0,282.2142857142857,21.2,528.8,572.5,551.3,1523.5,1606.0,1565.9285714285713
Manufacturing Steer,540+,Processor,C,2,18,9,285.0,285.0,285,NC,537.7,537.7,537.7,1667.3,1667.3,1667.25
Grown Steer,0-400,Restocker,D,1,10,5,240.0,240.0,240,NC,480.0,480.0,480.0,924.0,924.0,924
Grown Steer,400-500,Feeder,C,2,30,15,315.0,315.0,315,NC,594.3,594.3,594.3,1527.8,1527.8,1527.75
Grown Steer,400-500,Feeder,C,3,12,6,329.0,329.0,329,NC,632.7,632.7,632.7,1595.7,1595.7,1595.6500651041667
Grown Steer,400-500,Processor,C,3,16,8,315.0,315.0,315,NC,594.3,594.3,594.3,1527.8,1527.8,1527.75
Grown Steer,500-600,Feeder,C,3,18,-6,348.0,348.0,348,-14.4,656.6,656.6,656.6,1896.6,1896.6,1896.6000434027778
Grown Steer,500-600,Processor,B,2,36,18,350.0,350.0,350,NC,625.0,625.0,625.0,1925.0,1925.0,1925
Grown Steer,500-600,Processor,C,2,52,23,285.0,305.0,297.3076923076923,-2.9,558.8,586.5,575.9,1553.3,1662.3,1620.326923076923
Grown Steer,500-600,Processor,C,3,148,30,320.0,352.0,336.47297297297297,-1.6,603.8,651.9,629.9,1760.0,2059.2,1867.6499947212837
Grown Steer,500-600,Processor,C,4,28,14,313.0,330.0,325.14285714285717,NC,590.6,622.6,613.5,1799.8,1897.5,1869.5714285714287
Grown Steer,600-750,Processor,C,3,12,-56,300.0,300.0,300,-56.9,566.0,566.0,566.0,1935.0,1935.0,1935
Grown Steer,600-750,Processor,C,4,68,3,337.0,365.0,352.5,-1.1,633.3,675.9,654.5,2069.1,2551.4,2320.470588235294
Grown Heifer,0-540,Dairy,D,1,10,5,270.0,270.0,270,NC,540.0,540.0,540.0,1228.5,1228.5,1228.5
Grown Heifer,0-540,Dairy,D,2,28,14,279.0,279.0,279,NC,547.1,547.1,547.1,1213.7,1213.7,1213.6499720982142
Grown Heifer,0-540,Feeder,C,3,30,15,293.0,308.0,301,NC,552.8,581.1,567.9,1333.2,1401.4,1369.55
Grown Heifer,0-540,Feeder,D,3,90,45,272.0,317.0,289.6666666666667,NC,533.3,621.6,568.0,1210.4,1410.7,1259.4877821180555
Grown Heifer,0-540,Processor,C,3,58,24,290.0,325.0,315.7241379310345,-1.4,547.2,613.2,595.7,1319.5,1680.0,1534.6868938577586
Grown Heifer,0-540,Processor,C,4,56,11,315.0,325.0,317.2857142857143,-6.0,583.3,601.9,590.7,1383.3,1576.3,1488.0071847098213
Grown Heifer,0-540,Processor,D,1,54,27,222.0,246.0,230,NC,472.3,492.0,478.9,965.7,1107.0,1012.7999855324074
Grown Heifer,0-540,Processor,D,2,28,12,285.0,285.0,285,5.6,558.8,558.8,558.8,1325.3,1325.3,1325.25
Grown Heifer,0-540,Processor,D,3,34,-13,266.0,312.0,294.2352941176471,3.0,511.5,588.7,561.8,1210.3,1395.0,1338.3470818014705
Grown Heifer,0-540,Restocker,D,1,24,12,248.0,248.0,248,NC,527.7,527.7,527.7,1128.4,1128.4,1128.4000651041667
Grown Heifer,0-540,Restocker,D,2,4,NC,305.0,305.0,305,10.0,586.5,586.5,586.5,1418.3,1418.3,1418.25
Grown Heifer,540+,Dairy,D,1,18,9,280.0,280.0,280,NC,583.3,583.3,583.3,1820.0,1820.0,1820
Grown Heifer,540+,Processor,C,3,20,-2,336.0,336.0,336,4.8,634.0,634.0,634.0,1848.0,1848.0,1848
Grown Heifer,540+,Processor,C,4,6,-22,320.0,320.0,320,-3.8,603.8,603.8,603.8,1760.0,1760.0,1760
Cows,0-400,Dairy,D,1,14,7,175.0,175.0,175,NC,388.9,388.9,388.9,673.8,673.8,673.75
Cows,400-520,Dairy,D,1,116,58,201.0,245.0,224.68965517241378,NC,446.7,569.8,506.3,874.3,1188.3,1071.124124461207
Cows,400-520,Dairy,D,2,12,6,232.0,232.0,232,NC,493.6,493.6,493.6,1009.2,1009.2,1009.2000325520834
Cows,400-520,Dairy,E,1,94,44,156.0,220.0,206,3.4,371.4,511.6,480.4,694.2,1045.0,971.52978515625
Cows,400-520,Processor,C,1,6,3,286.0,286.0,286,NC,550.0,550.0,550.0,1487.2,1487.2,1487.1998697916667
Cows,400-520,Processor,D,1,30,5,248.0,248.0,248,18.2,527.7,527.7,527.7,1215.2,1215.2,1215.2
Cows,400-520,Processor,D,4,24,12,285.0,285.0,285,NC,548.1,548.1,548.1,1467.8,1467.8,1467.75
Cows,400-520,Restocker,D,1,26,13,275.0,275.0,275,NC,572.9,572.9,572.9,1333.8,1333.8,1333.75
Cows,400-520,Restocker,D,2,32,3,260.0,260.0,260,-4.3,541.7,541.7,541.7,1261.0,1261.0,1261
Cows,520+,Dairy,D,1,254,50,218.0,280.0,243.33858267716536,4.4,488.9,608.7,543.2,1144.5,1657.5,1412.8523622047244
Cows,520+,Processor,C,3,2,1,310.0,310.0,310,NC,584.9,584.9,584.9,1999.5,1999.5,1999.5
Cows,520+,Processor,D,1,18,9,244.0,244.0,244,NC,519.1,519.1,519.1,1281.0,1281.0,1281
Cows,520+,Processor,D,2,30,-91,254.0,254.0,254,-0.7,529.2,529.2,529.2,1397.0,1397.0,1397
Cows,520+,Processor,D,3,126,-85,265.0,286.0,277.6507936507937,-2.9,530.0,558.8,544.9,1465.9,1787.5,1636.8920510912699
Cows,520+,Processor,D,4,130,-13,284.0,300.0,292.8615384615385,-4.3,546.2,576.9,563.2,1547.8,1870.5,1693.146484375
