Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Dalby
Report Date: 04/12/2024
Comparison Date: 27/11/2024
Total Yarding: 5604 (-1867)
Commentary
"The supply of stock at Dalby reduced by 1,867 head however still remained the highest in the nation at 5,604 head. The regular panel of export and feeder buyers were in attendance and operating plus a good lineup of restockers. 

Light weight yearling steers returning to the paddock averaged 8c to 10c/kg better. Medium and heavy weight yearling steers to feed sold to a dearer trend with top end quality lines noticeably better. Light weight yearling heifers to restockers were the highlight of the sale to average 25c to 30c/kg dearer. Heavy grown steers and bullocks generally sold to a firm market. Cows were firm to 3c/kg less. 

Light weight yearling steers to restockers made to a top of 472c to average from 408c to 419c/kg. Yearling steers to feed for the domestic market sold to a high of 440c to average 391c/kg. Heavy weight yearling steers to feed made to 403c to average 389c with one consignment of 99 head making 400c/kg. A good selection of light weight yearling heifers returning to the paddock made to 360c with most sales from 325c to 343c/kg. Medium weight yearling heifers to feed made to 360c to average 329c and a run of 126 head made 354c/kg.  Heavy weight yearling heifers to feed averaged 334c and made to 350c/kg.

 A small sample of bullocks made to 350c/kg. Medium weight 2 score cows averaged 255c and made to 265c/kg. Medium weight 3 scores made to 279c to average 269c/kg. Heavy weight 3 score cows averaged 273c and the best of the cows made to 290c to average 285c/kg. Heavy weight bulls made to 293c/kg.	
Market Reporter, Trevor Hess."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Steer,500-600,Processor,C,4,21,-41,350.0,350.0,350,6.9,636.4,636.4,636.4,2005.5,2005.5,2005.5
Grown Steer,600-750,Processor,C,3,13,5,323.2,323.2,323.2000075120192,3.2,587.6,587.6,587.6,2178.4,2178.4,2178.3680889423076
Grown Steer,600-750,Processor,C,4,2,-78,350.0,350.0,350,11.9,636.4,636.4,636.4,2222.5,2222.5,2222.5
Grown Heifer,0-540,Feeder,C,3,22,NQ,266.2,293.2,278.8818248401989,NQ,509.8,553.2,532.6,1131.4,1339.6,1227.1550736860795
Grown Heifer,0-540,Feeder,D,2,4,NQ,224.2,224.2,224.1999969482422,NQ,415.2,415.2,415.2,952.8,952.8,952.8499755859375
Grown Heifer,0-540,Processor,C,2,12,-10,250.0,278.2,271.15000406901044,-5.1,520.8,524.9,523.9,1212.5,1460.6,1398.5375162760417
Grown Heifer,0-540,Processor,C,3,91,-10,290.0,315.0,301.0637408246051,13.2,541.1,594.3,569.5,1241.9,1685.3,1504.2293258499312
Grown Heifer,0-540,Processor,C,4,40,NQ,318.0,320.2,319.7100036621094,NQ,600.0,604.2,603.2,1433.6,1713.1,1632.8655029296874
Grown Heifer,0-540,Restocker,C,3,49,NQ,316.2,316.2,316.20001594387753,NQ,596.6,596.6,596.6,1549.4,1549.4,1549.3799426020407
Grown Heifer,0-540,Restocker,D,2,2,-1,282.2,282.2,282.20001220703125,110.0,587.9,587.9,587.9,1199.4,1199.4,1199.35009765625
Grown Heifer,540+,Processor,C,3,5,1,310.0,310.0,310,2.8,596.2,596.2,596.2,1813.5,1813.5,1813.5
Grown Heifer,540+,Processor,C,4,21,15,316.2,325.0,319.971435546875,-15.2,596.6,625.0,604.3,1836.3,1901.3,1868.7376302083333
Cows,0-400,Processor,D,2,16,-27,240.0,246.0,245.625,-20.1,521.7,534.8,534.0,876.0,984.0,977.25
Cows,0-400,Restocker,D,1,6,NQ,220.2,220.2,220.19999186197916,NQ,500.5,500.5,500.5,803.7,803.7,803.72998046875
Cows,0-400,Restocker,E,1,2,NQ,150.0,150.0,150,NQ,340.9,340.9,340.9,547.5,547.5,547.5
Cows,400-520,Processor,D,1,60,-1,151.2,240.0,222.87333272298176,-7.1,343.6,545.5,506.5,642.6,1115.5,1004.2117797851563
Cows,400-520,Processor,D,2,213,81,240.0,265.0,255.4723027905388,0.6,512.7,565.2,539.0,1020.0,1285.3,1214.9716189388937
Cows,400-520,Processor,D,3,254,164,263.0,279.0,268.59291665385086,-3.4,536.7,569.4,548.1,1275.6,1420.6,1308.6802449864665
Cows,400-520,Processor,D,4,43,13,280.0,283.2,281.67907430959303,-1.9,549.0,555.3,552.3,1421.7,1441.0,1429.8962118459303
Cows,400-520,Restocker,D,1,7,-28,203.2,232.2,223.9142848423549,-16.0,461.8,527.7,508.9,863.6,986.8,951.6357073102679
Cows,400-520,Restocker,D,2,17,NQ,256.2,256.2,256.20002297794116,NQ,557.0,557.0,557.0,1173.4,1173.4,1173.3961397058824
Cows,520+,Processor,D,2,11,-43,253.2,255.2,254.654541015625,-4.7,550.4,554.8,553.6,1347.0,1365.3,1360.3301225142045
Cows,520+,Processor,D,3,158,-4,270.0,280.0,275.09620531299447,-0.8,528.8,571.4,559.2,1452.6,2024.2,1633.443476809731
Cows,520+,Processor,D,4,190,-132,280.0,290.0,284.67789788497123,-2.9,548.1,568.6,558.0,1508.3,1946.2,1784.696931537829
Bulls,0-450,Feeder,C,2,34,3,284.2,312.2,304.14119047277114,-7.6,516.7,567.6,553.0,1207.9,1326.8,1292.60009765625
Bulls,0-450,Processor,C,2,5,NQ,280.0,280.0,280,NQ,509.1,509.1,509.1,798.0,798.0,798
Bulls,0-450,Restocker,C,2,32,-68,260.0,342.2,302.15625762939453,11.3,472.7,622.2,549.4,781.5,1231.9,995.8893966674805
Bulls,450-600,Feeder,C,2,2,-53,286.2,286.2,286.20001220703125,-0.5,520.4,520.4,520.4,1388.1,1388.1,1388.0699462890625
Bulls,450-600,Processor,C,2,2,-8,264.2,264.2,264.20001220703125,-13.4,480.4,480.4,480.4,1281.4,1281.4,1281.3701171875
Bulls,600+,Processor,C,2,3,NQ,244.2,258.2,252.20000203450522,NQ,444.0,469.5,458.5,1550.7,1652.3,1614.1800130208333
Bulls,600+,Processor,C,3,95,-132,261.2,293.2,272.29264108758224,-8.5,470.0,533.1,495.1,1684.0,2868.6,1990.24357396176
Bulls,600+,Processor,D,2,2,NQ,229.2,229.2,229.1999969482422,NQ,416.7,416.7,416.7,2062.8,2062.8,2062.800048828125
