Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Gunnedah
Report Date: 18/02/2025
Comparison Date: 11/02/2025
Total Yarding: 1895 (+790)
Commentary
"Following last weeks rain reduced offering there was a significant increase in supply. Cows made up 1/3rd of the penning. Overall the quality of the offering was mixed with some very good quality young cattle on offer. Processors seeking females were well catered for however heavy steers supplies were limited. The regular processors and commission buyers were in attendance.

 Limited supplies of lightweight young cattle saw the vealer steers to restock keenly sought. The heifer portion attracted much weaker demand apart from a single pen of lightweights. Medium and heavyweight yearling steers to restock and feed sold on a firm to slightly dearer market trend while a quality variation saw a reduction in the top price in both classes. Despite reduced competition the medium and heavyweight yearling heifers to restock and feed experienced little but a quality related price change.

Too few heavy grown steers to quote. The strong demand for females saw well finished grown heifers to process sell to a dearer trend. The large increase in supply showed little sign of satisfying processor requirements in the cow market.This resulted in dearer trends through all classes. The best of the well finished heavyweights improving by as much as 35c/kg. Mediumweight also experienced strong gains. Heavy bulls also sold to much dearer trends."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,5,NQ,315.0,355.0,323,NQ,605.8,682.7,621.2,852.0,866.3,863.4
Yearling Steer,280-330,Restocker,C,2,18,-18,316.0,380.0,354.22222222222223,2.7,607.7,730.8,681.2,948.0,1235.0,1078.911105685764
Yearling Steer,330-400,Feeder,C,2,35,5,380.0,390.0,384.45714285714286,9.9,730.8,750.0,739.3,1443.0,1520.0,1482.297154017857
Yearling Steer,330-400,Restocker,C,2,102,1,310.0,412.0,381.1078431372549,20.1,596.2,792.3,732.9,1128.8,1498.5,1381.3558804381128
Yearling Steer,330-400,Restocker,C,3,4,NQ,360.0,360.0,360,NQ,692.3,692.3,692.3,1386.0,1386.0,1386
Yearling Steer,400+,Feeder,C,2,287,188,335.0,394.0,375.5853658536585,-1.5,644.2,757.7,722.3,1491.0,1891.2,1721.800695332916
Yearling Steer,400+,Feeder,C,3,43,38,350.0,392.0,373.5581395348837,5.2,648.1,753.8,711.4,1512.0,1890.0,1771.4116097383721
Yearling Steer,400+,Processor,C,2,1,NQ,328.0,328.0,328,NQ,630.8,630.8,630.8,1590.8,1590.8,1590.800048828125
Yearling Steer,400+,Restocker,C,2,40,NQ,390.0,390.0,390,NQ,750.0,750.0,750.0,1599.0,1657.5,1625.325
Yearling Heifer,200-280,Restocker,C,2,4,NQ,290.0,348.0,304.5,NQ,557.7,669.2,585.6,797.5,835.2,814.1750030517578
Yearling Heifer,280-330,Feeder,C,2,16,-10,308.0,308.0,308,16.3,592.3,592.3,592.3,1016.4,1016.4,1016.4000244140625
Yearling Heifer,280-330,Processor,C,2,11,9,289.0,289.0,289,4.0,555.8,555.8,555.8,867.0,867.0,867
Yearling Heifer,280-330,Processor,C,3,1,-1,310.0,310.0,310,10.0,584.9,584.9,584.9,1023.0,1023.0,1023
