Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Gunnedah
Report Date: 14/01/2025
Comparison Date: 07/01/2025
Total Yarding: 3650 (+2830)
Commentary
"There was a significant increase in numbers with markets back in full swing. Young cattle and cows accounted for the bulk of the numbers with limited supplies of grown cattle  suitable to processors. The quality of the offering was generally good as was condition. There were very few light weight young cattle penned. The full compliment of regular buyers were in attendance.

The increased supply of young cattle was somewhat negated by high demand from restocks and more so feedlots. The few light weight steers sold to dearer trends with breed contributing. The medium weight yearling steers to restock and feed were keenly sought with breed and quality contributing to price change. The heavy weight feeder steers were mostly firm. There were however some cheaper sales in some of the breed specific feeders. Strong demand for well finished steers to the supermarket trade. Demand was strong for medium and heavy weight yearling heifers to feed with the market trend dearer. Improvements of as much as 14c/kg common.

Export processor demand was strong for heavy grown steers and well finished heavy grown heifers with trends dearer throughout. Increased supply minimised improvement in the cow market with market trends generally firm."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Heifer,0-540,Processor,C,4,7,NQ,320.0,320.0,320,NQ,603.8,603.8,603.8,1696.0,1696.0,1696
Grown Heifer,0-540,Processor,D,3,20,17,287.0,325.0,311.4,8.1,562.7,625.5,596.2,1219.8,1625.0,1481.6625
Grown Heifer,0-540,Restocker,D,2,5,NQ,284.0,284.0,284,NQ,568.0,568.0,568.0,1192.8,1192.8,1192.8
Grown Heifer,540+,Processor,C,3,31,24,330.0,339.0,338.4193548387097,-3.9,622.6,639.6,638.5,1897.5,1966.2,1961.7676411290322
Grown Heifer,540+,Processor,C,4,16,NQ,326.0,350.0,344.4375,NQ,615.1,660.4,649.9,1793.0,2310.0,2082.6875
Grown Heifer,540+,Processor,D,3,1,NQ,311.0,311.0,311,NQ,609.8,609.8,609.8,1694.9,1694.9,1694.949951171875
Cows,400-520,Feeder,D,3,8,NQ,284.0,292.0,289,NQ,591.7,608.3,602.1,1377.4,1518.4,1465.5250244140625
Cows,400-520,Processor,D,3,132,107,250.0,298.0,281.68939393939394,7.3,520.8,620.8,582.1,1125.0,1549.6,1386.2200909238873
Cows,520+,Feeder,D,4,9,NQ,297.0,297.0,297,NQ,594.0,594.0,594.0,1737.4,1737.4,1737.449978298611
Cows,520+,Processor,C,3,24,NQ,306.0,315.0,310.5416666666667,NQ,588.5,605.8,597.2,1989.0,2268.0,2101.2083333333335
Cows,520+,Processor,C,4,13,NQ,308.0,308.0,308,NQ,592.3,592.3,592.3,1971.2,1971.2,1971.199969951923
Cows,520+,Processor,D,3,163,134,270.0,305.0,295.6871165644172,-4.5,574.5,614.6,598.1,1417.5,2074.0,1641.4730059851897
Cows,520+,Processor,D,4,298,269,290.0,310.0,300.87919463087246,-3.3,580.0,620.0,602.2,1675.8,2146.0,1837.712417909763
Cows,520+,Processor,D,5,4,NQ,298.0,298.0,298,NQ,596.0,596.0,596.0,1996.6,1996.6,1996.5999755859375
Bulls,0-450,Processor,C,2,9,NQ,284.0,310.0,295.77777777777777,NQ,525.9,596.2,562.1,752.6,1395.0,1055.8666449652778
Bulls,450-600,Processor,C,2,4,NQ,240.0,270.0,262.5,NQ,444.4,500.0,486.1,1140.0,1350.0,1243.5
Bulls,450-600,Processor,C,3,2,NQ,308.0,308.0,308,NQ,570.4,570.4,570.4,1463.0,1463.0,1463
Bulls,600+,Processor,B,2,11,10,280.0,306.0,294.27272727272725,-0.7,500.0,535.7,520.4,2360.0,3392.5,2547.1363636363635
Bulls,600+,Processor,B,3,18,15,282.0,291.0,286.94444444444446,2.9,503.6,519.6,512.4,1861.2,2837.3,2283.0916341145835
Bulls,600+,Processor,B,4,1,NQ,280.0,280.0,280,NQ,500.0,500.0,500.0,2520.0,2520.0,2520
Bulls,600+,Processor,C,2,14,11,240.0,296.0,282.42857142857144,25.8,444.4,538.2,517.3,1612.0,2184.0,2036.721435546875
Bulls,600+,Processor,C,3,2,NQ,260.0,270.0,265,NQ,472.7,490.9,481.8,2236.0,2376.0,2306
