Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Shepparton
Report Date: 12/11/2024
Comparison Date: 05/11/2024
Total Yarding: 2200 (0)
Commentary
"There were  1700 exports and 560 trade cattle yarded, amongst the exports were  790 cows. The quality within the export  section was fair to good with heavy beef cows having plenty of condition. Although not as many as previous weeks there were still some good lines of heavy bullocks on hand. Buyer numbers were back, as several large exporters were missing. The market in general saw a softer trend, with the trade cattle experiencing a greater variation due to the very mixed quality offering. 

The best of the vealers made to 355c/kg. The yearling steers and heifers had a considerable number of lean under done types that were more suited to feedlotters and opportunistic buyers. The yearling steers to the trade that had some finish made from 320c to 375c/kg, although any numbers were hard to come by. The yearling heifer portion made from 282c to a top of 382c/kg for some supplementary fed B muscled heifers, with most averaging around 315c/kg. 

The Friesian steers made from 255c to 285c/kg. The grown steers, 400 to 500kg range, to kill made from 285c to 345c/kg, while the 600kg plus bullocks made from 290c to 350c/kg.  

The good run of heavy beef cows mainly 5c to 8c/kg cheaper and made from 242c to 300c/kg to average 289c/kg for the D4’s.  Dairy cows over 520kg live weight made from 212c to 285c/kg to average 229c/kg for the D1’s."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Feeder,D,1,8,NQ,240.0,240.0,240,NQ,489.8,489.8,489.8,660.0,660.0,660
Yearling Steer,280-330,Dairy,D,1,5,NQ,170.0,170.0,170,NQ,354.2,354.2,354.2,518.5,518.5,518.5
Yearling Steer,280-330,Feeder,D,1,4,NQ,256.0,256.0,256,NQ,512.0,512.0,512.0,832.0,832.0,832
Yearling Steer,280-330,Restocker,C,1,11,NQ,312.0,312.0,312,NQ,600.0,600.0,600.0,982.8,982.8,982.7999822443181
Yearling Steer,280-330,Restocker,C,2,12,NQ,370.0,370.0,370,NQ,711.5,711.5,711.5,1091.5,1091.5,1091.5
Yearling Steer,280-330,Restocker,D,1,12,NQ,248.0,272.0,258,NQ,496.0,555.1,520.6,706.8,856.8,769.3000081380209
Yearling Steer,330-400,Feeder,C,2,12,1,292.0,330.0,309.3333333333333,7.3,561.5,634.6,594.9,1065.8,1212.8,1170.1999918619792
Yearling Steer,330-400,Processor,B,2,7,NQ,375.0,375.0,375,NQ,681.8,681.8,681.8,1481.3,1481.3,1481.25
Yearling Steer,330-400,Processor,C,2,2,NQ,320.0,320.0,320,NQ,603.8,603.8,603.8,1168.0,1168.0,1168
Yearling Steer,330-400,Processor,C,3,5,-2,340.0,349.0,345.4,-19.6,641.5,646.3,644.4,1343.0,1343.7,1343.3900390625
Yearling Steer,330-400,Restocker,C,1,2,-7,348.0,348.0,348,45.0,669.2,669.2,669.2,1165.8,1165.8,1165.800048828125
Yearling Steer,330-400,Restocker,D,1,32,NQ,232.0,260.0,252.875,NQ,464.0,520.0,505.8,812.0,897.0,876.9375
Yearling Steer,400+,Processor,C,1,1,NQ,335.0,335.0,335,NQ,598.2,598.2,598.2,1474.0,1474.0,1474
Yearling Steer,400+,Processor,C,3,18,-30,320.0,356.0,334.3888888888889,1.4,603.8,659.3,626.8,1372.8,1513.0,1433.8833346896702
Yearling Heifer,200-280,Restocker,D,1,16,NQ,262.0,262.0,262,NQ,534.7,534.7,534.7,733.6,733.6,733.5999755859375
Yearling Heifer,330-400,Feeder,C,2,12,NQ,270.0,315.0,303.75,NQ,519.2,605.8,584.1,1066.5,1086.8,1081.6875
Yearling Heifer,330-400,Feeder,D,1,5,-14,270.0,270.0,270,18.2,529.4,529.4,529.4,958.5,958.5,958.5
Yearling Heifer,330-400,Feeder,D,2,4,-9,270.0,270.0,270,-26.2,529.4,529.4,529.4,931.5,931.5,931.5
Yearling Heifer,330-400,Processor,B,2,8,NQ,350.0,382.0,358,NQ,625.0,694.5,642.4,1356.1,1400.0,1389.0249938964844
