Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Blackall
Report Date: 07/03/2024
Comparison Date: 
Total Yarding: 1800 (NQ)
Commentary
"A total of 1800 head of cattle were yarded for the weekly Blackall prime and store sale. Good numbers of heavy prime cows and grown steers were yarded and were met by firm competition from all the usual processors. Feeder cattle and light weight yearlings could not maintain the levels of the previous week mainly due to quality and buyers operated selectively. 

Restocker steers 280 to 330kg sold to 378.2c to average 367c, heavy feeders steers sold to 335c to average 310c/kg and feeder heifers sold to 262.2c to average 249c/kg.

Heavy heifers to the processor sold to 258.2c, heavy grown steers sold to 286.2c to average 272c and medium cows sold to 225c to average 220c/kg. Good heavy cows remained firm selling to 242.2c to average 234c and the addition of a live export order saw heavy bulls to 246.2c/kg.
A run of good quality young cows and calves sold from $1800 to $1980/unit.
Market reporter, 
Sam Hart."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,44,-612,342.0,368.0,361.45454545454544,-61.9,684.0,736.0,722.9,889.2,956.8,939.7817937677556
Yearling Steer,200-280,Restocker,D,2,6,-145,176.0,276.0,194,-109.9,352.0,552.0,388.0,422.4,662.4,465.59999593098956
Yearling Steer,280-330,Feeder,C,2,21,NQ,288.0,328.0,293.7142857142857,NQ,576.0,656.0,587.4,864.0,984.0,881.1428571428571
Yearling Steer,280-330,Feeder,D,2,11,-39,174.0,233.0,190.0909090909091,-115.6,348.0,466.0,380.2,522.0,722.3,576.6272638494319
Yearling Steer,280-330,Processor,D,2,6,NQ,120.0,168.0,160,NQ,240.0,336.0,320.0,360.0,537.6,508
Yearling Steer,280-330,Restocker,C,2,145,-180,330.0,378.0,366.8,-46.9,660.0,756.0,733.6,990.0,1183.0,1112.8137661637932
Yearling Steer,280-330,Restocker,D,2,23,NQ,220.0,250.0,239.56521739130434,NQ,440.0,500.0,479.1,693.0,787.5,754.6304347826087
Yearling Steer,330-400,Feeder,C,2,91,-192,298.0,340.0,314.5274725274725,-22.1,596.0,680.0,629.1,1038.5,1279.2,1148.5318469372423
Yearling Steer,330-400,Feeder,D,2,90,NQ,182.0,290.0,269.8222222222222,NQ,364.0,580.0,539.6,655.2,1131.0,959.6066704644097
Yearling Steer,330-400,Processor,D,2,1,NQ,120.0,120.0,120,NQ,240.0,240.0,240.0,420.0,420.0,420
