Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Gunnedah
Report Date: 21/01/2025
Comparison Date: 14/01/2025
Total Yarding: 4650 (+1000)
Commentary
"In what’s likely to be the largest penning since the end of the drought numbers lifted by 1000 head. Producers taking the opportunity of a reasonably buoyant market to offload as many as possible. The yarding was dominated by yearlings along with a good supply of cows. There was a fair supply of heavy grown steers. The quality of the young cattle was quite mixed with large numbers of mixed breed pens. Condition varied from fair to very good through all categories. There was a bit less processor activity while feedlot demand waned.

Limited supplies of vealers to suit restockers sold to a much cheaper trend. Cheaper trends were the order of the day through the large numbers of yearlings where the supply outweighed demand for the first time in a while. Medium and heavy weight yearling steers to restock and feed saw trends 5c to 10c/kg cheaper with the medium weights least affected. There was little in the way of breed premiums in the heavy weight feeders. Yearlings heifers suffered the same fate as the steer portion with cheaper trends the norm. The medium weights were back as much as 20c/kg while the heavy weights were less affected. There was a more pronounced breed premium in the heifer yearlings for the right quality and weight. Heavy yearlings to the trade also sold to cheaper trends on the back of the reduced demand from feedlotters.

An improved quality penning of heavy grown steers suitable to the processors sold on a cheaper trend however that improvement in quality did account for an increase in averages. Grown heifers to process also sold to cheaper trends. There were varying trends in the cow market where those going into a feed yard sold to a dearer trend. The meatworks cows saw a firm to cheaper trend with the higher yielding heavy weights showing little change while those showing a lowered yield potential were as much as 5c/kg cheaper."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,35,NQ,394.0,418.0,413.2,NQ,757.7,803.8,794.6,1083.5,1128.6,1119.5799665178572
Yearling Steer,280-330,Feeder,C,2,11,NQ,414.0,414.0,414,NQ,796.2,796.2,796.2,1200.6,1200.6,1200.5999644886363
Yearling Steer,280-330,Restocker,C,2,9,-1,383.0,390.0,388.44444444444446,-3.6,736.5,750.0,747.0,1263.9,1287.0,1281.866672092014
Yearling Steer,280-330,Restocker,D,2,3,NQ,250.0,250.0,250,NQ,480.8,480.8,480.8,725.0,725.0,725
Yearling Steer,330-400,Feeder,C,2,184,102,352.0,400.0,381.17934782608694,-2.7,676.9,769.2,733.0,1232.0,1504.0,1403.8209135636039
Yearling Steer,330-400,Restocker,C,2,41,-121,360.0,420.0,392.9756097560976,-6.7,692.3,807.7,755.7,1260.0,1432.5,1385.9292825838415
Yearling Steer,400+,Feeder,C,2,762,245,346.0,392.0,378.18766404199476,-10.5,665.4,753.8,727.0,1486.8,1929.2,1752.8632540164658
Yearling Steer,400+,Feeder,C,3,70,-20,365.0,382.0,373.3142857142857,-12.5,675.9,721.2,697.4,1650.0,2024.6,1869.5056919642857
Yearling Steer,400+,Processor,C,3,14,-2,346.0,380.0,356.57142857142856,-23.3,663.0,703.7,676.2,1861.6,1900.0,1876.94282749721
