Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Gunnedah
Report Date: 21/01/2025
Comparison Date: 14/01/2025
Total Yarding: 4650 (+1000)
Commentary
"In what’s likely to be the largest penning since the end of the drought numbers lifted by 1000 head. Producers taking the opportunity of a reasonably buoyant market to offload as many as possible. The yarding was dominated by yearlings along with a good supply of cows. There was a fair supply of heavy grown steers. The quality of the young cattle was quite mixed with large numbers of mixed breed pens. Condition varied from fair to very good through all categories. There was a bit less processor activity while feedlot demand waned.

Limited supplies of vealers to suit restockers sold to a much cheaper trend. Cheaper trends were the order of the day through the large numbers of yearlings where the supply outweighed demand for the first time in a while. Medium and heavy weight yearling steers to restock and feed saw trends 5c to 10c/kg cheaper with the medium weights least affected. There was little in the way of breed premiums in the heavy weight feeders. Yearlings heifers suffered the same fate as the steer portion with cheaper trends the norm. The medium weights were back as much as 20c/kg while the heavy weights were less affected. There was a more pronounced breed premium in the heifer yearlings for the right quality and weight. Heavy yearlings to the trade also sold to cheaper trends on the back of the reduced demand from feedlotters.

An improved quality penning of heavy grown steers suitable to the processors sold on a cheaper trend however that improvement in quality did account for an increase in averages. Grown heifers to process also sold to cheaper trends. There were varying trends in the cow market where those going into a feed yard sold to a dearer trend. The meatworks cows saw a firm to cheaper trend with the higher yielding heavy weights showing little change while those showing a lowered yield potential were as much as 5c/kg cheaper."
Yearling Heifer,200-280,Restocker,C,2,7,-10,320.0,324.0,323.42857142857144,5.8,615.4,623.1,622.0,880.0,891.0,889.4285714285714
Yearling Heifer,200-280,Restocker,D,2,12,NQ,314.0,314.0,314,NQ,628.0,628.0,628.0,785.0,785.0,785
Yearling Heifer,280-330,Feeder,C,2,78,59,315.0,338.0,325.38461538461536,-11.8,605.8,650.0,625.7,980.2,1092.3,1023.7179487179487
Yearling Heifer,280-330,Processor,C,2,19,13,308.0,330.0,316.10526315789474,46.1,592.3,634.6,607.9,1016.4,1056.0,1030.9895148026317
Yearling Heifer,280-330,Restocker,C,2,41,-46,290.0,340.0,328.1951219512195,-8.4,557.7,653.8,631.1,957.0,1082.4,1042.8292444740853
Yearling Heifer,280-330,Restocker,C,3,1,NQ,320.0,320.0,320,NQ,615.4,615.4,615.4,985.6,985.6,985.5999755859375
Yearling Heifer,330-400,Feeder,C,2,329,3,302.0,340.0,327.82978723404256,-20.5,580.8,653.8,629.9,1054.0,1309.0,1191.1960441798062
Yearling Heifer,330-400,Feeder,C,3,44,5,320.0,352.0,341.29545454545456,3.0,603.8,664.2,644.0,1152.0,1380.0,1269.9818004261363
Yearling Heifer,330-400,Processor,C,2,4,-8,350.0,350.0,350,28.0,648.1,648.1,648.1,1400.0,1400.0,1400
Yearling Heifer,330-400,Processor,C,3,6,-7,310.0,350.0,321.6666666666667,-33.7,596.2,660.4,614.4,1193.5,1347.5,1227.0833333333333
Yearling Heifer,330-400,Restocker,C,2,54,-7,325.0,336.0,330.9259259259259,-16.7,625.0,646.2,636.4,1105.0,1155.8,1126.931441695602
Yearling Heifer,330-400,Restocker,C,3,1,NQ,320.0,320.0,320,NQ,615.4,615.4,615.4,1088.0,1088.0,1088
Yearling Heifer,400+,Feeder,C,2,141,86,328.0,354.0,342.39716312056737,-5.5,630.8,680.8,658.5,1394.0,1707.2,1491.3769254210993
Yearling Heifer,400+,Feeder,C,3,123,-10,312.0,352.0,335.520325203252,-11.7,600.0,665.4,641.3,1319.7,1536.4,1471.440644054878
Yearling Heifer,400+,Feeder,D,3,8,NQ,314.0,314.0,314,NQ,603.8,603.8,603.8,1303.1,1303.1,1303.0999755859375
Yearling Heifer,400+,Processor,C,2,12,NQ,312.0,312.0,312,NQ,600.0,600.0,600.0,1326.0,1326.0,1326
Yearling Heifer,400+,Processor,C,3,58,47,316.0,366.0,341.7931034482759,0.3,607.5,690.6,646.7,1295.6,1830.0,1563.1792960331359
Vealer Steer,0-200,Restocker,D,2,41,NQ,318.0,318.0,318,NQ,636.0,636.0,636.0,572.4,572.4,572.400009527439
Vealer Steer,200-280,Restocker,C,2,19,12,370.0,396.0,381.6842105263158,-22.3,711.5,761.5,734.0,1001.7,1108.8,1053.794767680921
Vealer Steer,280-330,Restocker,C,2,10,-11,376.0,376.0,376,-68.0,723.1,723.1,723.1,1128.0,1128.0,1128
Vealer Heifer,0-200,Restocker,D,2,21,NQ,160.0,160.0,160,NQ,320.0,320.0,320.0,272.0,272.0,272
Vealer Heifer,200-280,Processor,C,2,23,NQ,326.0,348.0,340.95652173913044,NQ,626.9,669.2,655.7,749.8,935.0,882.4956691576087
Vealer Heifer,200-280,Restocker,C,2,9,NQ,350.0,350.0,350,NQ,673.1,673.1,673.1,962.5,962.5,962.5
Vealer Heifer,280-330,Restocker,C,2,6,NQ,338.0,338.0,338,NQ,650.0,650.0,650.0,1014.0,1014.0,1014
Manufacturing Steer,540+,Processor,C,4,3,NQ,292.0,292.0,292,NQ,540.7,540.7,540.7,2774.0,2774.0,2774
Grown Steer,0-400,Feeder,C,2,51,NQ,332.0,376.0,369.84313725490193,NQ,638.5,723.1,711.2,1278.4,1346.4,1317.5686274509803
Grown Steer,400-500,Feeder,C,2,23,7,306.0,379.0,349.39130434782606,-38.6,588.5,728.8,671.9,1484.1,1629.7,1560.060844089674
Grown Steer,500-600,Feeder,C,3,14,1,364.0,364.0,364,2.6,674.1,674.1,674.1,1929.2,1929.2,1929.199916294643
Grown Steer,500-600,Processor,C,3,26,24,342.0,366.0,358,13.0,633.3,690.2,664.4,1915.2,2141.1,2082.9692101111777
Grown Steer,600-750,Processor,C,3,52,NQ,350.0,368.0,358.0769230769231,NQ,648.1,681.5,663.1,2170.0,2392.0,2278.7846022385816
Grown Steer,750+,Processor,C,4,5,NQ,360.0,360.0,360,NQ,666.7,666.7,666.7,2880.0,2880.0,2880
Grown Heifer,0-540,Feeder,C,2,33,26,294.0,344.0,328.8484848484849,-1.2,565.4,661.5,632.4,1176.0,1479.2,1387.3211410984848
Grown Heifer,0-540,Feeder,C,3,11,-10,328.0,334.0,330.72727272727275,6.2,630.8,642.3,636.0,1705.6,1736.8,1719.7817826704545
Grown Heifer,0-540,Feeder,D,3,22,-3,290.0,315.0,294.54545454545456,1.3,568.6,617.6,577.5,1015.0,1464.8,1096.7727272727273
Grown Heifer,0-540,Processor,C,3,35,-54,292.0,330.0,314.2857142857143,-8.8,561.5,625.0,600.6,1268.4,1690.0,1527.6057059151785
Grown Heifer,0-540,Processor,C,4,1,-6,316.0,316.0,316,-4.0,607.7,607.7,607.7,1580.0,1580.0,1580
Grown Heifer,0-540,Processor,D,3,4,-16,285.0,285.0,285,-26.4,558.8,558.8,558.8,1382.3,1382.3,1382.25
Grown Heifer,540+,Processor,C,3,8,-23,315.0,320.0,315.625,-22.8,603.8,605.8,605.5,1795.5,1888.0,1807.0625
Grown Heifer,540+,Processor,C,4,42,26,310.0,330.0,325.5238095238095,-18.9,584.9,634.6,619.6,1787.5,2092.8,1860.259524390811
Cows,0-400,Feeder,D,2,7,NQ,274.0,274.0,274,NQ,608.9,608.9,608.9,986.4,986.4,986.4000418526786
Cows,400-520,Feeder,D,2,31,NQ,266.0,284.0,281.0967741935484,NQ,591.1,631.1,624.7,1236.9,1349.0,1330.9193548387098
Cows,400-520,Feeder,D,3,22,14,298.0,298.0,298,9.0,620.8,620.8,620.8,1549.6,1549.6,1549.5999644886363
Cows,400-520,Processor,D,2,23,NQ,286.0,286.0,286,NQ,635.6,635.6,635.6,1387.1,1387.1,1387.099949048913
Cows,400-520,Processor,D,3,78,-54,270.0,284.0,279.2692307692308,-2.4,562.5,604.3,592.2,1315.2,1414.4,1370.4025628505608
Cows,400-520,Processor,D,4,8,NQ,258.0,258.0,258,NQ,537.5,537.5,537.5,1290.0,1290.0,1290
Cows,520+,Feeder,D,3,50,NQ,283.0,292.0,288,NQ,589.6,608.3,601.3,1547.6,1618.4,1569.92599609375
Cows,520+,Feeder,D,4,10,1,286.0,286.0,286,-11.0,595.8,595.8,595.8,1687.4,1687.4,1687.4
Cows,520+,Processor,C,3,12,-12,305.0,312.0,307.3333333333333,-3.2,598.0,600.0,598.7,1647.0,2028.0,1774
Cows,520+,Processor,C,4,19,6,296.0,315.0,306,-2.0,592.0,594.3,593.2,2072.0,2299.5,2191.7368421052633
Cows,520+,Processor,D,3,40,-123,265.0,290.0,278.625,-17.1,552.1,604.2,583.2,1441.6,1682.0,1576.1824890136718
Cows,520+,Processor,D,4,399,101,272.0,311.0,294.64411027568923,-6.2,566.7,616.0,592.4,1526.4,2332.5,1836.1827065221648
Cows,520+,Processor,D,5,10,6,252.0,290.0,272.3,-25.7,525.0,597.9,564.9,1512.0,1894.2,1699.9599609375
Bulls,0-450,Processor,C,2,22,13,255.0,294.0,272.1818181818182,-23.6,472.2,565.4,520.1,882.0,1100.4,959.2363725142045
Bulls,600+,Processor,B,2,13,2,270.0,295.0,288.0769230769231,-6.2,482.1,526.8,511.7,2106.0,2565.0,2322
Bulls,600+,Processor,B,3,13,-5,275.0,295.0,286.6923076923077,-0.3,491.1,526.8,512.0,2062.5,2707.5,2301.549992487981
Bulls,600+,Processor,C,2,12,-2,202.0,280.0,247.66666666666666,-34.8,374.1,518.5,458.6,1656.4,2406.3,1913.7625020345051
Bulls,600+,Processor,C,3,2,NC,270.0,270.0,270,5.0,490.9,490.9,490.9,1890.0,1890.0,1890
Bulls,600+,Processor,C,4,1,NQ,200.0,200.0,200,NQ,370.4,370.4,370.4,2000.0,2000.0,2000
